NOID	Author	Title	Alternative title	Year	
5712m865m	Peters, Jacqueline Rose.	Curricular and teaching changes in universities	Curricular and teaching changes.	1996
5712m869q	Talpash, Olesia.	Towards the righting of music history: re-thinking the concept of nationalism in Western music historiography	Re-thinking the concept of nationalism in western music historiography	1996
4b29b8493	Bischoff, Dale Patrick.	A policy study of extension of BEd degree conferring authority in Alberta	Policy study of extension of BEd degree conferring authority.	1999
9306t1515	Opare, Mary Ama.	Preceptorship in the clinical education of senior student nurses: reflections on the relevance of a Canadian practice for the Ghanaian context	Preceptorship in clinical ed. of student nurses.	1997
9306t1515	Opare, Mary Ama.	Preceptorship in the clinical education of senior student nurses: reflections on the relevance of a Canadian practice for the Ghanaian context	Reflections on the relevance of a Canadian practice for the Ghanaian context.	1997
9019s423r	Jerat, Sandra Mary.	Effect of adrenomedullin on placental arteries in normal and preeclamptic pregnancies and the mechanism of adrenomedullin-induced relaxation	Adrenomedullin and placental circulation	2000
9019s4704	Ye, Wei.	Catalytic oxidation of methane over supported palladium catalysts	Catalytic oxidation of CH[subscript 4] over Pd catalysts	1999
4b29b7993	De Moissac, Donna Marie.	Changing intravenous administration sets: is 48 versus 24 hours safe for neutropenic cancer patients?	Is 48 versus 24 hours safe for neutropenic cancer patients?	1996
4b29b808v	Chana, Mundeep Singh.	Studies on the neck coiled-coil and highly charged regions of kinesin-like motor proteins Kif3A and Kif3B	Studies of kinesin-like motor proteins	2002
4b29b829m	Agar, John Gordon.	Geotechnical behaviour of oil sands at elevated temperatures and pressures.	Behavior of oil sands at elevated temperatures	1984
4b29b840m	Paul, Barbara Joan.	The development of a gross motor playground rating scale for three- and four-year-old preschoolers	Preschool gross motor rating scale.	1985
4b29b897r	Brennek, Andrew.	DISCO: a distributed computer control software system for engineering processes	DISCO: software for computer control	1979
8910jx41k	Narayan, Jay.	Fiji, a case study in social, economic, and political transformation	Fiji, a case study in political economy.	1976
0c483m66m	Abell, Darcy Cameron.	Analysis of potato glycoalkaloids by ELISA and matrix assisted laser desorption/ionization time-of-flight mass spectroscopy	Glycoalkaloid analysis by CE and MALDI-TOR MS	1997
3197xp09b	Ludwig, Susan Ruth	Abused womens experience with the justice system: concept mapping	Abused womens experience.	1996
9306t119d	Ungar, Maria.	Viktor E. Frankls meaning-oriented approach to counselling psychology	V.E. Frankls approach to couns. psychology.	1999
3197xn824	Ramirez, Lino Martin.	Support vector machines, radial basis functions neural networks, and fuzzy granulation in pattern recognition	SVMs RBFs and granulation in pattern recognition	2002
3197xn913	Dushinski, Karen Mae.	A phenomenological investigation of outreach work with adolescents involved in prostitution	Outreach work with adolescents.	2000
3197xp19k	Louie, Brian Edward.	A randomized controlled trial and cost effectiveness analysis of parenteral nutrition and enteral nutrition in severe pancreatitis: a model for health technology assessment	Nutrition support in severe pancreatitis	2002
3197xp324	Kanuka, Heather.	Screen design: effects of design principles on recall learning and study time	Effects of design principles on recall learning and study time	1997
8c97kt15f	Onyskiw, Judee E.	Processes underlying childrens responses to witnessing physical aggression in their families	Childrens responses to witnessing aggression	1999
8910jw403	Papadopoulos, Timothy C.	A cognitive approach to reading difficulties: assessment and remediation	Cognitive remediation of reading difficulties.	1998
8910jw46r	Tang, Yan.	Design of an RF wideband low-noise amplifier using 0.35uM CMOS technology	RF Low noise amplifier design	2002
8910jx213	Chen, Jianxin.	I. Chemoselective catalytic hydrogeneation of [alpha][beta]-unsaturated aldehydes and ketones using soluble copper(I) hydrides ; II. free radical alkylation of titanium(III) allyl and propargyl complexes	Free radical alkylation of titanium(III) allyl and propargyl complexes	1999
0c483m07f	Law, Donald James.	The effect of fabric on the mechanical behaviour of a tailings sand	Fabric effect on behaviour of a tailings sand	1991
8c97ks80j	Korvemaker, Benjamin Franklin.	You cant always be right ... but sometimes itd be nice: predicting Unix command lines	Predicting Unix command lines	2001
9306t1893	Lunde, Lynn.	Rochdale College: a 1960s adult education experiment as viewed through situated learning theory	Rochdale College and situated learning theory.	1996
8049g770g	Gagné, Stéphane M.	Structures, dynamics and energetics of troponin C.: the tale of a muscular calcium-binding protein	Structures, dynamics and energetics of TNC	1999
8049g770g	Gagné, Stéphane M.	Structures, dynamics and energetics of troponin C.: the tale of a muscular calcium-binding protein	Tale of a muscular calcium-binding protein	1999
8049g7411	DiMarcello, Sandro Adrian.	Until the conversion of the Jews: the apocalyptic thought of Joachim of Fiore : a reassessment	Apocalyptic thought of Joachim of Fiore	2002
8049g766w	Campbell, Rachel Gillian.	Constructing the teenage girl idealized images and lived experiences of the telephone and cellular phone	Constructing the teenage girl	2001
8049g787n	Dzwiniel, Trevor L.	Seven-membered carbocycle synthesis by cobalt-mediated [3 + 2 +2] allyl/alkyne cycloaddition reactions and novel ]5 + 2] cyclopentadiene/alkyne ring expansions	Cobalt-mediated allyl/alkyne cycloadditions	1999
8c97ks40k	Barry, Pamela.	Teachers awareness and response to cultural diversity in the classroom	Teachers awareness of cultural diversity.	1997
8c97ks56g	Stuart, Caroline.	The experiences of mid-career professionals in a non-traditional masters program	Experience in a non-traditional masters prog.	2002
8c97ks709	Yiannakoulias, Nikoloas William.	Child pedestrian injury in an urban environment: risk in space and time	Child injury in an urban environment	2000
8c97kt02c	Neuman, Bonnie Gail.	Influence and integrity: women managers in higher education	Women managers in higher education.	1996
fj236467d	Donnelly, Linda Marie Asfodel.	The anonymous fairy-knight lays: Tydorel,  Tyolet,  Doon and Espine	Tydorel,  Tyolet,  Doon and Espine	1998
3n2041706	He, Min.	Immobilization of poly(amidoamine) (PAMAM) dendrimers on zirconia chromatographic support	Immobilization of PAMAM dendrimers on zirconia	2000
4q77ft79n	Munro, Denise Florence.	The effects of a cervical collar in the treatment of apnea of prematurity	Cervical collars in apnea of prematurity	2002
wh246t94z	Hoy, Diane Jacobson	The municipal recreation agency as deliverer of leisure services to the handicapped in small Alberta communities	Leisure services for the handicapped in Alberta.	1981
41687k66r	Wilson, Kier R.	Validation of an intermittent sprint cycle test for female hockey players	Validation of cycle & on-ice tests for hockey	1999
dr26z088x	Quach, Judy Tinh Nhi.	The validity of the modified ordinal scales of psychological development (M-OSPD) for use with people in late stages of Alzheimers disease	Validity of the M-OSPD	1999
vd66w270q	Frauts, Katie Elizabeth.	Relationships between perceived motivational climates, perceived autonomy support, and physical self-perceptions of university and college students	Relationships b/n perceived MCS, AS and PSPs.	2001
7h149r949	Yan, Qigang.	A comparative study of contemporary Canadian and Chinese women writers	Comparative study of women writers	1997
6q182n43x	Samuels, Susan Elizabeth Collins.	Protein metabolism during catch-up growth following escherichia coli infection in weanling rats	Catch-up growth after E coli infection	1993
v979v531s	Brown, Barbara.	Technology mentorship: a staff development opportunity for educators	Staff development opportunity for educators.	2000
vd66w2639	Armstrong, James Edward	Variability in groundwater monitoring data used to assess natural attenuation of hydrocarbon contamination at upstream oil and gas facilities	Data variability & natural attenuation	2008
mw22v730c	Han, Zhuolin.	The function of plasmid 0157 on escherichia coli 0157 binding to tissue culture cells	Function of plasmid 0157 on escherichia coli	2002
bv73c272r	Alderson, Kevin.	The experience of building a positive gay identity	Building a positive gay identity.	1998
73666698j	Neale, Graham Henry.	The prediction of transport processes occurring within unconsolidated porous media	Transport processes in porous media	1972
f7623f58f	MacDonald, Irene.	School violence: administrative leadership in decision making	Administrative decision making.	1998
f7623f58f	MacDonald, Irene.	School violence: administrative leadership in decision making	Administrative leadership in decision.	1998
bc386m82r	Wallace, Ian W.	Duetting: the effects of politeness on narrative turn-taking	Duetting: politness in narrative turn-taking	1999
bc386m82r	Wallace, Ian W.	Duetting: the effects of politeness on narrative turn-taking	Effects of politeness on narrative turn-taking	1999
73666627k	Boddington, Steven Paul.	Education from the top down: a biography of W.H. Swift	Biography of W.H. Swift.	1998
cn69m693w	Dahal, Ram Babu.	Analysis and computation of power system transients in frequency domain	Computation of transients in frequency domain	2000
70795b18k	Woolstencroft, Robert Peter.	National, regional, provincial and constituency effects in Canadian voting behaviour, 1953-1965	Effects in Canadian voting behaviour, 1953-1965	1977
th83m184f	Kagoda, Alice Merab T.	Geography education in Uganda: a critical analysis of geography programs in National Teachers Colleges	Critical analysis of geography programs in National Teachers Colleges.	1997
0g354h30g	Dobbs, Bonnie Marie	Self-perceptions of competence as determinants of driving patterns	Self-perceptions of compentence and driving patterns	1999
0g354h21h	Banks, Craig S.	Geochronology, general geology and structure of Hill Island Lake, Tazin Lake areas	Geochronology of Hill Island and Tazin areas	1980
736666447	Stepaniuk, Darin W.	Planning for woodland caribou winter habitat needs in west-central Alberta	Caribou habitat needs in west-central Alberta	1997
zw12z771c	Hughes, Linda Ann.	Medical pluralism, collaboration and efficacy studies: explorations in medical anthropology and alternative medicines	Explorations in medical anthroplogy and alternative medicines	1997
d217qr518	Howorko, Adam.	Phenomenology of mother-son psychological boundary violations	Mother-son psychological boundary violations.	1996
cn69m710b	Rhéaume, Julia Gill.	Intégration des technologies dinformation et de communication: où en sommes-nous?	Intégration des TIC, où en sommes-nous?	2001
6d56zz71z	Bell, Allan	Five rituals: for woodwind quintet and two percussionists	5 rituals	1980
fb494b308	Varieur, Michael J.	Prevalence and severity of substance use by adolescents of a rural secondary school in Northern Canada	Substance use by adolescents in Northern Canada.	1999
3f462795k	Goebel, Allison Frances Wanda.	No spirits control the trees: history, culture and gender in the social forest in a Zimbabwean resettlement area	History, culture and gender in the social forest in a Zimbabwean resettlement area	1997
5x21th88r	Rouse, Susan Jill.	Selected effects of progressive relaxation training on female gymnasts	Effects of relaxation training on female gymnasts.	1984
w6634555n	Brown, David William.	Athleticism in selected Canadian private schools for boys to 1918	Athleticism in Canadian private schools.	1984
kp78gh95v	Dence, Alexandra Charlotte.	The nineteenth-century novels divided personality: gothic worlds in Dickens, Hardy, and James	Nineteenth century novels divided personality	1992
cn69m655g	Olmsted, Anthony A.	We shall overcome: economic stress, articulation and the life of Folkways Record and Service Corp., 1948-1969	Economic stress, articulation and the life of Folkways Record and Service Corp., 1948-1969	1999
2514nn343	Harris, Alison Marie.	School-community relationships: a Namibian case study	Namibian case study.	1998
5x21th78h	Imoro, Peter Tupawuni	La cultural popular como ideologia: el amor, las sexualidad y los placeres de la muerte en las cuatro primeras novelas de Manuel Puig (una lectura lacaniana)	Amor, las sexualidad y los placeres de la muerte en las cuatro primeras novelas de Manuel Puig (una lectura lacaniana)	1999
8g84mp52m	Bongco, Mila Francsica J.	Reading comics: analysing language, culture and the concept of superheroes in comicbooks	Language, culture and superheroes in comics	1995
0g354h674	Xiao, Jin	Relationship between immune dysfunction and hypertension in spontaneously hypertensive rats	Relationship in immunodysfunction & hypertension	1994
0g354h52h	Bowker, Samantha L.	The pathogenesis of human immunodeficiency virus in a cohort of patients co-infected with hepatitis C virus	Progression of HIV in HCV co-infected patients	2001
s4655j69g	Zhang, Ruichuan.	Gibberellin A9: a possible biochemical marker in early selection at the family and clonal levels of radiata pine and coastal Douglas-fir	Possible biochemical marker in early selection at the family and clonal levels of radiata pine and coastal Douglas-fir.	1996
70795b314	Choudhury, Romita.	Representations of language, gender, and subalternity in Indian womens writing in English	Indian womens writing in English	1999
ns064820w	Hayden, Dana L.	An economic analysis of the private use of public grazing land in Alberta	Economic analysis of public grazing land use	1984
8g84mp43n	Chaka, Mubita Villem.	Learner-centered education in Namibia: a case study	Learner centered educ in Namibia.	1997
3484zj87r	Vanterpool, Gail.	Bright ambiguities of heaven: fantastic and magic realist elements in the novels of Charles Williams	Fantastic and magic realist elements in the novels of Charles Williams	1997
0g354h37d	Fenwick, Tara Jane Amelia.	Womens continuous learning in the workplace	Womens learning in the workplace.	1996
9g54xk79p	Haddow, Scott D.	Morphometric analysis of the dentition from Bronze Age Tell Leilan, Syria: a contribution to the dental anthropology of ancient Mesopotamia	Contribution to the dental anthropology of ancient Mesopotamia.	2001
9g54xk79p	Haddow, Scott D.	Morphometric analysis of the dentition from Bronze Age Tell Leilan, Syria: a contribution to the dental anthropology of ancient Mesopotamia	Dental anthropology of Bronze Age Tell Leilan	2001
5m60qv07r	Anderson, Kerry Robert	Models to predict lightning occurrence and frequency over Alberta	Models to predict ltg. occur. & freq. over Alta.	1991
ns0648215	Bozkaya, Burçin.	Political districting: a Tabu search algorithm and geographical interfaces	Tabu search algorithm and geographical interfaces	1999
3484zk67g	Jabs, Jennifer Helena.	Effects of regulatory mechanisms on anglers and walleye populations in northern Alberta lakes	Regulating recreational fishing in N. Alberta	2002
kp78gj50q	Urquhart, Gayle.	Timing of hemodynamic pressure measurements and thermodilutional cardiac outputs on derived hemodynamic parameters	Parameters pre-post T.D. C.O. measurements.	1999
9g54xm53r	Kahrim, Azamul.	Enthalpy of solution of CO₂ and H₂S in diethanolamine solutions	Enthalpy of solution of CO₂ and H₂S in DEA	1976
m900nw503	Denford, Joanna Rachel.	Tidy minds and untidy lives: the intertextual relationship between Stella Gibbons Cold Comfort Farm and the novels of Jane Austen and Charlotte, Emily, and Anne Brontë.	Intertextual relationship between Stella Gibbons Cold Comfort Farm and the novels of Jane Austen and Charlotte, Emily, and Anne Brontë.	1997
5m60qv42b	Smyth, Kathaleen Celia	The development and evaluation of a prototype multicultural counselling training program	Multicultural counselling training.	1997
9g54xm452	Booker, Richelle.	Effects of Hypericum perforatum (St. Johns wort) on the metabolism and uptake of γ-aminobutyric acid (GABA)	Effects of Hypericum perforatum (St. Johns wort) on the metabolism and uptake of [gamma]-aminobutyric acid (GABA)	2002
9g54xm452	Booker, Richelle.	Effects of Hypericum perforatum (St. Johns wort) on the metabolism and uptake of γ-aminobutyric acid (GABA)	GABAergic effects of St. Johns wort.	2002
m900nw49b	Dhillon, Nancy.	Morgenthauian realism and international relations	Morgenthauian realism and IR	2000
4x51hm416	Haverslew, Roderick E.	Geology and genesis of the Ruttan Lake Deposit, Manitoba	Geology & genesis of the Ruttan Lake Deposit, Man.	1976
8g84mp24f	Al-Jumily, Kais J.	Remote indentification [i.e. identification] of rain and hail with a polarization diversity radar	Hail detection with polarization measurements	1989
8g84mp24f	Al-Jumily, Kais J.	Remote indentification [i.e. identification] of rain and hail with a polarization diversity radar	Remote identification of rain and hail with a polarization diversity radar	1989
8g84mp24f	Al-Jumily, Kais J.	Remote indentification [i.e. identification] of rain and hail with a polarization diversity radar	Remote indentification of rain and hail with a polarization diversity radar	1989
9g54xm28d	Sridhar, Veena.	Region-based image retrieval using multiple features	Region-based image retrieval.	2002
8g84mp51b	Poon, Richard.	The role of visual testing when learning from instructional multimedia	Role of visual testing and multimedia.	1997
ns064810n	Jalil, Asif Mustafi.	Engineering molecular architecture of hydrophobically modified poly(N-isopropylacrylamide)	Engineering NiPAM polymer	2002
kp78gj36w	Nickerson, Christy Louise.	Ageless activists: a qualitative case study of senior environmental activists in Alberta	Case study of senior environmental activists	2001
5x21th69j	Phillips, Anthony D.	Narrative techniques in contemporary German womens literature	Narrative techniques in womens literature.	1986
3484zj91b	Moore, Roger Lyle.	Learner identified characteristics of quality learning experiences using the telewriter	Characteristics of quality learning experiences.	1997
cn69m695f	Rochon, Christopher John.	A case study of an effective third sector organization	Case study of an effective organization	1997
s4655j81r	Siamatowe, Clement M. M.	Comparison of females and males in school achievement, enrollment patterns and school attitude in Zambian schools	Gender differences in Zambian schools.	1996
r207tr26p	Graham, Andrew G.	The thermal stability of supported bimetallic catalysts	Thermal stability of bimetallic catalysts	1978
9g54xk91z	Walsh, Carmel Brigid.	Factors contributing to writing development in deaf individuals	Factors contributing to writing development.	1996
cn69m696q	Gokiert, Rebecca Jayne.	At-risk attitudes and behaviours for eating disorders and sport involvement of students in two rural communities	Disordered eating and sport in adolescence	2001
5x21th87g	Supynuk, Allen George.	The use of adaptive logic networks as fast predictors of motion	Use of ALNs as fast predictors of motion	1991
m900nw52n	Gerdes, Brigitte Simone.	Johanna Nestroys Der Talisman: an English performance translation	English performance translation	1997
s4655j94t	Shan, Jing.	Adrenomedullin regulates neuroendocrine and central autonomic functions	ADM affects neuroendocrine & autonomic system	2000
r207tr40h	Miller, Catherine Susan.	Monitoring of biomedical research in Canada	Biomedical research in Canada	2000
s4655j732	Ndalichako, Joyce L.	Comparison of number right, item response, and finite state approaches to scoring multiple-choice items	Comparison of approaches to scoring mc items.	1997
9g54xm08x	Khalideen, Rosetta.	Linc programs in Edmonton as adult education practice: learners perspectives	Linc programs as adult ed practice.	1998
4x51hm67b	McKee, Ian William.	The accuracy of panoramic radiography in the assessment of mesiodistal tooth angulations at varying horizontal and vertical head positions	Tooth angulation with panoramic radiography	2001
pc289m290	Squair, Leanne Elizabeth.	An analysis of a mainstreamed physical education environment	Analysis of mainstreamed physical education	1987
5m60qv209	Ulrich, Michele Leslie.	Phosphatidylinositol cycle and bipolar disorder: investigation of intracellular calcium	Investigation of intracellular calcium.	2001
w6634558g	Alexander, Jane.	Cognitive decline and Alzheimers disease in persons with Down syndrome	Cognitive decline in Down syndrome.	1997
m900nx02n	Jancewicz, Peter Michael.	Four piano recitals and an essay: Franz Liszts sonata in B-minor : interpreting articulation markings	Franz Liszts sonata in B-minor	1997
m900nx02n	Jancewicz, Peter Michael.	Four piano recitals and an essay: Franz Liszts sonata in B-minor : interpreting articulation markings	Interpreting articulation markings	1997
5x21th38j	Locker, John Gary.	The petrographic and engineering properties of fine-grained sedimentary rocks of central Alberta	Engineering properties of Alberta rocks	1969
s4655k15c	Walker, Ralph David.	Preparation of Alberta postsecondary vocational instructors	Preparation of Alberta vocational instructors.	2000
4x51hm43r	De, Suman Kumar.	Geochemical and istopic study of granites from Taltson Magmatic Zone, NE Alberta: implications for early proterozic tectonics in the western North American craton	Implications for early proterozic tectonics in the western North American craton	1998
kp78gj553	Goos, Timothy Otto	A finite-element method applied to a two-level quasi-geostrophic model atmosphere	Finite-element baroclinic atmospheric model	1981
5m60qv02c	Kanyi, Eunice.	Entrepreneurship development in Kenyan technical education: exploring the State of the Art	Entrepreneurship devpt in Kenyan tec educ.	1999
5m60qv02c	Kanyi, Eunice.	Entrepreneurship development in Kenyan technical education: exploring the State of the Art	Exploring the State of the Art.	1999
9g54xk87c	Magrath, Jane L.	Corporal punishment: womens bodies and their eighteenth-century readers	Womens bodies and their eighteenth century readers	1997
8g84mp46g	Mason, Daniel Scott.	Agency theory and athlete representation in professional hockey	Agents and agency theory in pro hockey	1999
0g354h19g	Dunne, James Aloysius.	A descriptive analysis of the vocational, pre-vocational and industrial arts programs in resident schools for the hearing impaired in Canada	Programs for hearing impaired in Canada.	1977
qz20sv33j	Tomkowicz, Joanna Teresa.	Community members interest in being involved with mentally handicapped residents of group homes	Community interest in being involved with mentally handicapped residents of group homes.	1997
qz20sv76b	Lowen, Heather A.	Characterization of crude oil associated hydrophobic soil sites in Alberta	Characterization of hydrophobic soil sites	2001
th83m1347	Hughes, Patricia Anne.	Using social learning theory to enhance the social/emotional development and status of students who are hard of hearing in inclusive educational settings	Hard of hearing students, social issues.	1996
s4655k143	Gotzmann, Andrea Julie.	The effect of large ability differences on type I error and power rates using SIBTEST and TESTGRAF DIF detection procedures	Ability differences	2001
th83m139m	Khadour, Fadi H.	Cardiovascular nitric oxide generation: changes with exercise training and heart failure	Changes with exercise training and heart failure	1999
pc289m11j	Bereska, Tami M.	The construction of masculinity in young adult novels for boys, 1940-1997	Constructing masculinity in young adult books	1999
zw12z7550	Li, Guilong.	Accurate estimation of standard errors in the global averaging of surface temperatures	Accurate estimation of surface temperature	2001
pc289m19r	Barr, Leslie Anne Fox	A critical study of Gismond of Salerne: the first English revenge tragedy	First English revenge tragedy	1981
w6634516z	Bains, Piara Singh	Pea leaf mesophyll protoplasts: isolation and infection with clover yellow mosaic virus	Pea protoplasts/CYMV	1980
9g54xk88n	Triska, Olive H.	The validity of clinicians judgements in standard setting	Clinicians judgement in setting standards.	1996
t722hb82x	He, Daxiong.	Effect of surface conditions on electrochemical and mechanical properties of pipeline steels in near-neutral pH environment	Surface conditions on properties of pipeline	2002
0z7090031	Craig, Michael Andrew.	Interaction of dietary bovine [beta]2-microglobulin with class I MHC and classI-like molecules in humans and mice: a possible immunological mechanism for the association of cows milk consumption with autoimmune diabetes	Bovine beta 2-microglobin and IDDM	1998
0z7090031	Craig, Michael Andrew.	Interaction of dietary bovine [beta]2-microglobulin with class I MHC and classI-like molecules in humans and mice: a possible immunological mechanism for the association of cows milk consumption with autoimmune diabetes	Possible immunological mechanism for the association of cows milk consumption with autoimmune diabetes	1998
s7526g018	Petruskevich, Lori.	Individual differences, the effects of diversity in the ESL classroom	Individual differences, effects of diversity.	1997
dn39x335n	Cabrera, Jorge.	Insurance fraud: a legal and sociological approach	Insurance fraud: a legal and sociological view	2001
k3569642f	McKay, Ryan Todd.	Defining the interactions of troponin-C with troponin-I by nuclear magnetic resonance spectroscopy	Defining TnC interactions with TnI by NMR	1999
k35696415	Bell, Sylvia Noreen.	Peace education and poetry: dialoguing toward transformation with women poets of the south	Dialoguing toward transformation with women poets of the south.	1999
tb09j8137	Bhanot, Kanwal Lal.	Behaviour of scaled and full-length cast-in-place concrete piles	Cast-in-place concrete piles.	1968
pr76f528q	Dorn, Tamara Judith.	Relationships amongst guilt-proneness, shame-proneness and the forgiveness of others	Shame, guilt, and the forgiveness of others.	1998
6q182n68s	Lockhart, Andrew J.	An analysis of salary vrsus fee for service general practitioners, Inuvik Region, Northwest Territories	Analysis FFS vrs G.P.s Inuvik, NWT	1999
5d86p280f	Wong, Gina	Family incidents: impacting hope of persons with HIV/AIDS	Impacting hope of persons with HIV/AIDS	1997
v979v496d	Yang, Xio-Hong.	Characterization of a novel β-cyclodextrin-IUdR prodrug complex	Characterization of a novel beta-cyclodextrin-IUdR prodrug complex	2000
7w62fb66b	Campbell, R. Joan.	Attitudes and behaviours of Alberta mental health nurses toward professional boundaries, boundary crossings, and boundary violations in patient care	Professional boundaries, crossings, and violations	2002
z603r067z	Paphangkorakit, Jarin.	Factors that affect the magnitude and the direction of incisal bite forces: a possible role for pulpal mechanoreceptors	Possible role for pulpal mechanoreceptors	1999
5d86p2927	Weir, Angela E.	Changing lives: the impact of a childs brain injury on his/her siblings	Impact of a childs brain injury on his/her siblings	1999
5d86p2927	Weir, Angela E.	Changing lives: the impact of a childs brain injury on his/her siblings	Impact of a childs brain injury on siblings	1999
m039k667q	Nair, Rajeev Kumar Sasidharan.	Fluid-absent melting of high-grade semi-pelites: P-T constraints on orthopyroxene formation and implications for granulite genesis	Fluid-absent melting of semi-pelites	2000
bv73c2510	Warke, Kathleen Joy.	Praise and empowerment: performing Mapambio in Dar es Salaam, Tanzania	Performing Mapambio in Dar es Salaam, Tanzania	1999
4q77ft705	Vermeer, Leslie Anne.	Mina Loy: the language of the body, the language of attack	Language of the body, the language of attack	1997
mw22v7493	Mutimer, Brian T. P.	Arnold and organised games in the English Public Schools of the nineteenth century	Arnold and organised games.	1971
wh246v350	Arnot, Michelle Ingrid.	Benzodiazepines and GABA[subscript A] receptor: effects of chronic exposure	Benzodiazepines and GABA receptor	1998
6m311r114	Desjardins, Diane Lynn.	Uncertainty and coping: older women living alone with the fear of falling	Older women living alone with the fear of falling.	1997
6m311r114	Desjardins, Diane Lynn.	Uncertainty and coping: older women living alone with the fear of falling	Uncertainty and coping with fear of falling.	1997
rv042w59f	Maxted, John.	Rediscovery: towards a local wilderness camp curriculum	Towards a local wilderness camp curriculum	1997
4q77ft25b	Brown, Jonathan Andrew Marc.	A study of the interactions between electromagnetic fields and microtubules: ferroelectric effects, signal transduction and electronic conduction	Electromagnetic fields and microtubules	1999
4q77ft25b	Brown, Jonathan Andrew Marc.	A study of the interactions between electromagnetic fields and microtubules: ferroelectric effects, signal transduction and electronic conduction	Ferroelectric effects, signal transduction and electronic conduction	1999
8s45qc19k	Grace, David W.	Assessment of the efficacy of topical diclofenac using the WOMAC VA3.0 and SF-36 as outcome measures	Assessment of topical diclofenac efficacy.	1999
vd66w214c	Otto, Steven Lloyd.	Evaluation of freeze separation as a treatment for salt-contaminated groundwater	Freeze separation of saline groundwater	2002
8s45qb71m	Milliken, Patricia Jane	Redefining parental identity: a grounded theory of caregiving and schizophrenia	Grounded theory of caregiving and schizophrenia	1998
rv042x06m	Lewis, Jack.	An approach to Chaucers concept of the dream	Chaucers concept of the dream	1970
z603r0733	Beilman, David W.	Localized permafrost peatlands in boreal western Canada: distributions, plant communities and peatland development	Distributions, plant communities and peatland development.	2001
z603r0733	Beilman, David W.	Localized permafrost peatlands in boreal western Canada: distributions, plant communities and peatland development	Localized permafrost bogs, plant communities.	2001
vd66w2507	Sutherby, Robert L.	Corrosion behavior of surgical implant materials	Corrosion of surgical implant materials	1984
6t053j02x	Murphy, Deirdre Ann.	Whos the bloody baritone?: Brendan Behans dramatic use of song	Brendan Behans dramatic use of song	1998
vd66w183k	Paré, David.	Culture stories: the narrative metaphor in postmodern therapeutic practice	Narrative metaphor in postmodern therapeutic practice.	1997
vd66w183k	Paré, David.	Culture stories: the narrative metaphor in postmodern therapeutic practice	Narrative metaphor in postmodern therapy.	1997
j6731627x	Andiel, Corinna.	Attributes, perceptions, and behaviours of staff caring for older adults with dementia in special care units and a residential care setting	Residential model and special care unit staff	1999
z603r0423	Gulayets, Michael John.	Analyzing violent events using qualitative comparative analysis	Analyzing violent events using QCA	1999
v979v546d	Baalbaki, Kim.	A womans place: female labour migration in Senegal	Female labour migration in Senegal	2001
6q182n61v	Lueke, Jason Sierzant.	Productivity improvement and risk reduction in trenchless pipe replacement	Studies in trenchless pipe replacement	1999
v979v517z	Couture, Jean-Claude	The gift of failure: teacher commitment in the postmodern classroom	Teacher commitment in the postmodern classroom.	1999
v979v564b	Jordan, Anne E.	The development and analysis of teaching strategies in an individualized instructional program of play skills	Teaching strategies in a play skills program.	1981
rv042w50z	Basaraba, Phyllis Rose.	Koliadky and Shchedrivky of Bukovyna: Ukrainian winter cycle songs	Ukrainian winter cycle songs	2002
j6731588f	Stormer, Lisa Anne.	The study of an old tyme fiddling club: re-creation of rural community	Re-creation of rural community	1997
vd66w223b	Hansen, Gregory A.	The effect of spaceflight on the patterns of myosin heavy chain and cross sectional area in rat crural diaphragm	Effect of spaceflight rat crural diaphragm	2001
wh246t97s	Lirette, Patricia R.	Barriers to education in early childhood development	Barriers to education.	2000
7w62fb32h	Heffern, Wendy Anne.	Symptom experiences of individuals diagnosed with vocal cord dysfunction with or without asthma and/or panic	Symptom experiences: VCD, asthma, panic	1999
7w62fb11r	Matheson, Mary Lynne.	A narrative inquiry into mothering & child caregiving	Narrative inquiry into mothering and child caregiving	2000
2j62s7331	MacDonald, Heather Dawn.	Women and men in conversation: persuasiveness and supportiveness	Persuasiveness and supportiveness	1997
s7526g02j	Abraham, Elyse K.	Rhetorical devices, markedness, & the prominence strategy: a study in the information management strategies used in discourse processing	RD types, markedness & the prominence strategy	1995
6t053j656	Fairey, Adrian Stuart.	Effect of exercise training on natural killer cell cytotoxic activity in postmenopausal breast cancer survivors: results from the REHAB (rehabilitation exercise for health after breast cancer) randomized controlled trial	REHAB trial	2002
mw22v775q	Turner Smy, Katherine.	The world and the poet: a study of the objective and subjective spaces in the courtly love-lyrics of Bernart de Ventadorn and Heinrich von Morungen	Space in the courtly love-lyric	1989
mw22v775q	Turner Smy, Katherine.	The world and the poet: a study of the objective and subjective spaces in the courtly love-lyrics of Bernart de Ventadorn and Heinrich von Morungen	Study of the objective and subjective spaces in the courtly love-lyrics of Bernart de Ventadorn and Heinrich von Morungen	1989
bz60cz466	Harman, Coleen Mary	The effects of beta-antagonist and epinephrine infusion on warm- and cold-acclimated sheep	Beta-adrenergic blockers in cold-exposed sheep	1992
fj236474t	Joshi, Hemanta.	Determinants of mathematics achievement using structural equation modeling	Determinants of mathematics achievement.	1997
s7526f62s	Hiemstra, Dayna.	The effects of lower limb strength training on the locomotor skills of subjects with a traumatic brain injury	Lwr. limb str. training & subjects with TBI	1994
