File_name,Title,Department,Community,Publisher,Creator
soilgroundwaterr00albe_0,Soil and groundwater remediation guidelines for diethyelene glycol and triethylene glycol,Alberta Environment and Parks.,Alberta Environment and Parks,"Edmonton, Alta. : Alberta Environment",Alberta. Alberta Environment
welcometoalberta1999albe,Welcome to Alberta : information for immigrants / 1999,Alberta Education; Alberta Labour. Alberta Learning. Alberta Learning. Immigrant Settlement Services. Alberta Human Resources and Employment.,Alberta Education; Alberta Labour,"Edmonton, AB : Alberta Learning, Immigrant Settlement Services",Alberta. Alberta Learning Alberta. Alberta Learning. Immigrant Settlement Services Alberta. Alberta Human Resources and Employment
whodecideswhatst00albe,Who decides what students should learn in school ...and how?,Alberta Education.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Alberta Education
summaryofalberta00albe_1,Summary of Alberta results from the 1987 follow-up of 1982 graduates,Alberta Career Development and Employment. Policy and Research Division.,Alberta Career Development and Employment,"Edmonton, AB : Alberta Career Development and Employment",Alberta. Alberta Career Development and Employment. Policy and Research Division Alberta. Alberta Career Development and Employment
grade12diplomae985albe_10,"Grade 12 diploma examination. English 30. Part B, Reading (Multiple choice) / 1985: June.quest.",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
art1102albe_0,Art 11 / First edition.,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Alberta Education Alberta. Distance Learning
reportonstrategi00gold,Report on strategic overview of riparian and aquatic condition of the South Saskatchewan River Basin,Alberta Environment and Parks.,Alberta Environment and Parks,Calgary : Golder Associates Ltd.,Golder Associates Alberta. Alberta Environment
communitysurveyh00nort_0,Community survey handbook : technical how-to guide,Government of Alberta.,Government of Alberta,"[Peace River, AB] : The Council",Northern Alberta Development Council
reporttominister00albe_0,Report to the ministers : Clean Air Strategy for Alberta,Alberta Energy. Alberta Environment.,Alberta Energy,"Edmonton, AB : Alberta Energy ; Alberta Environment",Alberta. Alberta Energy Alberta. Alberta Environment
science1406albe,Science 14 / Second edition,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Distance Learning Alberta. Alberta Education
mathematics403albe_0,Mathematics 4,Alberta Education. Learning Technologies Branch.,Alberta Education,"[Edmonton] : Alberta Education, Learning Technologies Branch",Alberta. Alberta Education. Learning Technologies Branch Alberta. Alberta Education
cornerstonejourn112albe,Cornerstone : the journal of the Alberta Historical Resources Foundation / 11: no.2,Government of Alberta. Alberta Historical Resource Foundation. The Foundation,Government of Alberta,[Edmonton] : The Foundation,Alberta Historical Resources Foundation
leplandactivitsd00albe_0,Le plan d'activités d'Alberta Learning. 2000/2001 à 2002/2003 / 2000,Alberta Education. Alberta Learning.,Alberta Education,Edmonton : Alberta Learning,Alberta. Alberta Learning
marketingfoodin1984albe_0,Marketing food in Alberta : an access directory / 1984-85,Alberta Agriculture and Forestry.,Alberta Agriculture and Forestry,[Edmonton] : Alberta Agriculture,Alberta. Alberta Agriculture
curriculumexpres2009albe,Curriculum express for parents. Catholic school version. Kindergarten in Alberta / 2009,Alberta Education.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education
programmediagnos25albe,Programme diagnostique de mathématiques : Élémentaire deuxième cycle. Résolution de problèmes,Alberta Education. Language Services.,Alberta Education,"Edmonton : Alberta Education, Language Services Branch",Alberta. Alberta Education. Language Services
westernaechmopho00hanu_1,"Western (Aechmophorus occidentalis) and eared (Podiceps nigricollis) grebes of central Alberta : inventory, survey techniques, and management concerns",Alberta Environment and Parks. Fish and Wildlife Division.,Alberta Environment and Parks,"[Edmonton] : Alberta Sustainable Resource Development, Fish & Wildlife Division, Resource Status and Assessment Branch","Hanus, Stephen Wollis, Hugh Wilkinson, Lisa Alberta. Fish and Wildlife Division Alberta. Alberta Sustainable Resource Development North American Water Fowl Management Plan"
survivalvolume2n25albe,"Survival, volume 2 no. 5 1964: May-Jun. / 2 no. 5",Government of Alberta. Alberta Emergency Measures Organization.,Government of Alberta,"Edmonton, Alta. : Alberta Emergency Measures Organization",Alberta Emergency Measures Organization
annualreportenvi1999albe,Annual Report : Environmental Appeal Board / 2000,Alberta Environment and Parks. Environmental Appeal Board.,Alberta Environment and Parks,Edmonton : The Board,Alberta. Environmental Appeal Board
art3105albe,Art 31,Alberta Education. Distance Learning.,Alberta Education,,"Alberta. Alberta Education, publisher Alberta. Distance Learning, distributor"
socialstudies3008albe_2,Social studies 30,Alberta Education. Distance Learning.,Alberta Education,,"Alberta. Alberta Education, publisher Alberta. Distance Learning, distributor"
enviroviews2n3,Environment views / 2,Alberta Environment and Parks. Alberta Environmental Protection.,Alberta Environment and Parks,Edmonton : Alberta Environment Edmonton : Alberta Environmental Protection [Edmonton] : Green Thread Publishing,Alberta. Alberta Environment Alberta. Alberta Environmental Protection
achievementtestg1984albe,Achievement test. Grade 6 English language arts,Alberta Education.,Alberta Education,"[Edmonton, Alta.?] : Alberta Education",Alberta. Alberta Education
policinginrelati02comm_0,Policing in relation to the Blood Tribe : report of a public inquiry,Government of Alberta. Commission of Inquiry--Policing in Relation to the Blood Tribe.,Government of Alberta,Alberta : The Commission,"Commission of Inquiry--Policing in Relation to the Blood Tribe (Alta.) Rolf, C. H"
examenenvuedudip00albe_51,Examen en vue du diplôme douzième année. Biologie 30. Janvier 2001 / 2001:janvier,Alberta Education.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education
economicdevelopm00nort_0,Economic development opportunities in northern Alberta : overview report,Government of Alberta. Northern Alberta Development Council.,Government of Alberta,"Grande Prairie, Alta.? : Northern Alberta Development Council","Northern Alberta Development Council Currie, Coopers & Lybrand Ltd J.F.T. Scott & Associates"
technicalappendi00nich,"Technical appendix, business involvement in education : public consultation findings",Alberta Education.,Alberta Education,"Edmonton, AB : Alberta Education",Nichols Education Consulting Group Alberta. Alberta Education
withinourborders00albe_20,"Within our borders, 1955-08-01 / 1955-08-01",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
breadmakersbread00albe,Breadmakers and breadwinners : the voices of Alberta women,Government of Alberta. Alberta Advisory Council on Women's Issues.,Government of Alberta,[Edmonton?] : Alberta Advisory Council on Women's Issues,Alberta Advisory Council on Women's Issues
appliedmathemati01albe_5,Applied mathematics 10,Alberta Education. Learning Technologies Branch.,Alberta Education,"Edmonton, Alta. : Alberta Learning, Learning Technologies Branch",Alberta. Alberta Learning. Learning Technologies Branch
yearforeveryone200wild,A year for everyone : 2001 is the International Year of Volunteers : a planning guide : tools for involving your community,Alberta Community and Social Services. Alberta Community Development.,Alberta Community and Social Services,[Edmonton?] : Wild Rose Foundation :,Wild Rose Foundation (Alta.) Alberta. Alberta Community Development
quantitativeappr00leer_0,Quantitative approaches to patient safety : research in risk analysis and risk management as applied to radiotherapy,Government of Alberta. Alberta Heritage Foundation for Medical Research.,Government of Alberta,Edmonton : Alberta Heritage Foundation for Medical Research,"Lee, Robert C., M.Sc Alberta Heritage Foundation for Medical Research"
municipalassist1987,Alberta municipal assistance programs : an inventory of provincial grants and cost sharing programs for Alberta municipalities and other local government entities / 1987,Alberta Municipal Affairs. Municipal Inspection and Advisory Services Branch. Municipal Services Branch.,Alberta Municipal Affairs,"Edmonton, Alta. : Alberta Municipal Affairs",Alberta. Alberta Municipal Affairs Alberta. Municipal Inspection and Advisory Services Branch Alberta. Municipal Services Branch
examenenvuedudip00albe_23,Examen en vue du diplôme 12e année. Etudes sociales 33. Janvier 1997. / 1997:janvier,Alberta Education. Student Evaluation Branch.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation Branch
puremathematics305albe_0,Pure mathematics 30,Alberta Education. Learning Technologies Branch.,Alberta Education,"Edmonton, Alta. : Alberta Learning, Learning Technologies Branch",Alberta. Alberta Learning. Learning Technologies Branch
reportonseptembe00albe,"Report on the September 14, 2009 Calgary-Glenmore by-election",Legislative Assembly Office. Chief Electoral Officer.,Legislative Assembly Office,[Edmonton] : Chief Electoral Office,Alberta. Chief Electoral Officer
lowerbowriverfis00rlle_0,Lower Bow River fish population status assessment : August 2000,Alberta Environment and Parks.,Alberta Environment and Parks,Edmonton : The Company,R L & L Environmental Services Alberta. Alberta Environment
boarddecisions77no18,Board decisions / 1977: no. 18,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,Calgary : The Board,Alberta. Energy Resources Conservation Board
innovativehouapri82,Innovative Housing Grants Program : [report summaries] / 1982: Apr.,Alberta Seniors and Housing. Innovative Housing Grants Program.,Alberta Seniors and Housing,[Edmonton] : The Program,Alberta. Innovative Housing Grants Program
english1303albe,English 13 / First edition,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Alberta Education Alberta. Distance Learning
educationofdeafh00albe,Education of deaf and hard of hearing students in Alberta: 1989-1990,Alberta Education. Response Centre.,Alberta Education,"Edmonton, Alta. : Alberta Education Response Centre",Alberta. Alberta Education. Response Centre
permnoer86no1,Permit no / ER 1986: no. 1,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"[Calgary] : Province of Alberta, Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
permnoer89no1,Permit no / ER 1989: no. 1,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"[Calgary] : Province of Alberta, Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
albertamuniurban1987,"Alberta municipalities, urban and rural, including the chief officials of all cities, towns, villages, counties and municipal districts / 1987",Alberta Municipal Affairs. Municipal Services Branch. Municipal Inspection Branch. Municipal Inspection and Advisory Services Branch. Alberta Municipal Affairs. Alberta Municipal Affairs. Local Government Development Branch.,Alberta Municipal Affairs,Edmonton : Alberta Municipal Affairs,Alberta. Municipal Services Branch Alberta. Municipal Inspection Branch Alberta. Municipal Inspection and Advisory Services Branch Alberta. Alberta Municipal Affairs Alberta. Alberta Municipal Affairs. Local Government Development Branch
writersguideford00albe_0,Writer's guide for departmental publications,"Alberta Energy; Alberta Environment and Parks. Alberta Forestry, Lands and Wildlife.",Alberta Energy; Alberta Environment and Parks,"Edmonton : Alberta Energy/Forestry, Lands and Wildlife","Alberta. Alberta Energy Alberta. Alberta Forestry, Lands and Wildlife"
proposedperforma00albe,A proposed performance-based funding mechanism for Alberta's public post-secondary education system,Alberta Advanced Education. Alberta Advanced Education and Career Development.,Alberta Advanced Education,Edmonton : Alberta Advanced Education and Career Development,Alberta. Alberta Advanced Education and Career Development
partnersinhealth00albe,Partners in health : the Government of Alberta's response to the Premier's Commission on Future Health Care for Albertans,Alberta Health.,Alberta Health,"[Edmonton : Communications Branch, Alberta Health]",Alberta. Alberta Health Premier's Commission on Future Health Care for Albertans. Rainbow report
albertapocketgop00niet,Alberta pocket gopher survey,Government of Alberta. Alberta Environmental Centre.,Government of Alberta,"Vegreville, Alta. : Alberta Environmental Centre","Nietfeld, Marie T. (Marie Theresa), 1957- Roy, Laurence D Alberta Environmental Centre"
science705albe_4,Science 7 / First edition,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Alberta Education Alberta. Distance Learning
permno87no116,Permit no / GR 1987: no. 116,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"[Calgary] : Province of Alberta, Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
science1407albe_0,Science 14 / Second edition,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Distance Learning Alberta. Alberta Education
preliminaryfinan00albe_0,Preliminary financial and economic analysis of storage alternatives in Willow Creek Basin,Alberta Environment and Parks.,Alberta Environment and Parks,[Edmonton? : Alta. Environment?],Alberta. Alberta Environment
provincialreport00albe_10,Provincial report. Grade 12 diploma examination. English 33 / 1984,Alberta Education. Student Evaluation Branch.,Alberta Education,"[Alberta] : Student Evaluation, Alberta Education",Alberta. Student Evaluation Branch
diplomaexaminat1995albe_5,Diploma examinations program. Biology 30 information bulletin / 1995,Alberta Education. Student Evaluation Branch.,Alberta Education,"Edmonton, Alta. : Student Evaluation, Alberta Education",Alberta. Student Evaluation Branch
curriculumexpre3200albe_2,Curriculum express for parents. Grade 3 / 2008,Alberta Education.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education
annualreportalbe1980albe,Annual Report : Alberta Hospitals & Medical Care / 1982,Alberta Health. Alberta Hospitals & Medical Care.,Alberta Health,"[Edmonton?, Alta.] : Alberta Hospitals and Medical Care",Alberta. Alberta Hospitals & Medical Care
examenenvuedudip00albe_54,Examen en vue du diplôme douzième année. Chimie 30. Janvier 1987. / 1987:janvier,Alberta Education. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation Branch
taskforcereporto00albe,Task force report on the future of Bonnyville Centralized High School,Alberta Education. Finance and Administration Division.,Alberta Education,"Edmonton, Alta. : Finance and Administration Division, Alberta Education",Alberta. Alberta Education. Finance and Administration Division
grade12diplomae1986albe_1,"Grade 12 diploma examination. English 33. Part B, Reading (Multiple choice) / 1986:Jan. rdgs.",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
science1004albe_2,Science 10,Alberta Education. Learning Technologies Branch.,Alberta Education,Edmonton : Alberta Learning,Alberta. Alberta Learning. Learning Technologies Branch Alberta. Alberta Learning
mathematics702albe_1,Mathematics 7 / First edition,Alberta Education. Distance Learning.,Alberta Education,,"Alberta. Alberta Education, publisher Alberta. Distance Learning., distributor"
guidelinesforreh00russ_0,Guidelines for the rehabilitation of designated historic resources,Alberta Culture and Tourism. Alberta Culture and Multiculturalism.,Alberta Culture and Tourism,[Edmonton] : Alberta Association of Architects ; Alberta Culture and Multiculturalism,"Russell, Karen Alberta. Alberta Culture and Multiculturalism Alberta Association of Architects"
science704albe,Science 7,Alberta Education. Learning Technologies Branch.,Alberta Education,[Edmonton] : Alberta Learning,Alberta. Alberta Learning. Learning Technologies Branch Alberta. Alberta Learning
carnivorescorrid00chet_0,Carnivores and corridors in the Crowsnest Pass,Alberta Environment and Parks. Fisheries and Wildlife Management Division.,Alberta Environment and Parks,"Edmonton : Alberta Sustainable Resource Development, Fisheries & Wildlife Management Division, Resource Status and Assessment Branch","Chetkiewicz, Cheryl-Lesley Alberta. Fisheries and Wildlife Management Division"
grade9achievemenalbe_3,Grade 9 achievement test. English language arts,Alberta Education.,Alberta Education,"[Edmonton, Alta.] : Alberta Education",Alberta. Alberta Education
mediayou00albe,Media and you,Alberta Education. Learning Technologies Branch.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education Alberta. Learning Technologies Branch
oilsandssludgede00john,Oil sands sludge dewatering by freeze-thaw and evapotranspiration,Alberta Environment and Parks. Alberta Environmental Protection. Land Conservation and Reclamation Council. Reclamation Research Technical Advisory Committee.,Alberta Environment and Parks,"Edmonton, Alta. : Alberta Conservation and Reclamation Council (Reclamation Research Technical Advisory Committee)","Johnson, R. L Alberta. Land Conservation and Reclamation Council Alberta. Reclamation Research Technical Advisory Committee Alberta. Alberta Environmental Protection"
childwelfareorie00albe_2,Child welfare orientation,Alberta Community and Social Services. Alberta Social Services.,Alberta Community and Social Services,"[Edmonton, Alta.] : Alberta Social Services",Alberta. Alberta Social Services
samplesofstudent00albe_8,"Samples of students' writing from the grade 6 Social studies achievement test, June 1993",Alberta Education. Student Evaluation.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Alberta Education. Student Evaluation
cropprotection00albe_9,Crop protection / 2009,Alberta Agriculture and Forestry. Food and Rural Development.,Alberta Agriculture and Forestry,"Edmonton : Alberta Agriculture, Food and Rural Development","Alberta. Alberta Agriculture, Food, and Rural Development Alberta. Alberta Agriculture and Food Alberta. Alberta Agriculture and Rural Development Alberta. Alberta Agriculture and Forestry"
english1305albe,English 13 / First edition,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Alberta Education Alberta. Distance Learning
mathematics30di1999unse_0,Mathematics 30 diploma examination results / Jan 1999,Alberta Education. Student Evaluation.,Alberta Education,"[Edmonton] : Alberta Education, Student Evaluation",
humanrightscompl00albe_3,Human rights complaint form and guide,Government of Alberta. Alberta Human Rights and Citizenship Commission.,Government of Alberta,[Edmonton] : Alberta Human Rights and Citizenship Commission,Alberta Human Rights and Citizenship Commission
grade12diplomae1994albe_1,"Grade 12 diploma examination. English 33. Part A, Written response / Jun 1994",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
rangeplantcommun00will_7,Range plant community types and carrying capacity for the subalpine and alpine subregions : third approximation / Rev.,Alberta Environment and Parks. Alberta Sustainable Resource Development. Public Lands Division.,Alberta Environment and Parks,"Edmonton : Alberta Sustainable Resource Development, Public Lands Division","Willoughby, Michael, 1959- Alexander, Michael J Alberta. Alberta Sustainable Resource Development Alberta. Public Lands Division"
mathematics522albe,Mathematics 5,Alberta Education. Learning Technologies Branch.,Alberta Education,Edmonton : Learning Technologies Branch,Alberta. Alberta Learning Alberta. Alberta Learning. Learning Technologies Branch
grade12diplomae1996albe_0,"Grade 12 diploma examination. English 33. Part A, Written response / 1996:June",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
companynameaddre00albe_21,Company name and address. Numeric list / 1993-01,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,Calgary : Energy Resources Conservation Board,Alberta. Energy Resources Conservation Board
grade12diplomae1987albe_9,"Grade 12 diploma examination. English 30. Part B, Reading (Multiple choice) / Jan 1987",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
fetalalcoholsynd00hueb,"Fetal Alcohol Syndrome and other alcohol-related birth defects / 2nd ed., rev.",Alberta Alcohol and Drug Abuse Commission. Information and Program Development Services.,Alberta Alcohol and Drug Abuse Commission,[Edmonton] : Alberta Alcohol and Drug Abuse Commission,"Huebert, Kathryn M. (Kathryn Mary), 1955- Alberta Alcohol and Drug Abuse Commission Alberta Alcohol and Drug Abuse Commission. Information and Program Development Services"
permnogr88no19,Permit no / GR 1988: no. 19,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"[Calgary] : Province of Alberta, Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
sportdevelopmentalbe_0,Sport development strategy,Alberta Culture and Tourism. Recreation Development Division.,Alberta Culture and Tourism,"Edmonton : Alberta Recreation and Parks, Recreation Development Division]",Alberta. Recreation Development Division
forestlandwildlife8807,"Forestry, lands & wildlife / 1988-07",Alberta Environment and Parks.,Alberta Environment and Parks,"[Edmonton] : Alberta Forestry, Lands and Wildlife","Alberta. Alberta Forestry, Lands and Wildlife"
soilsurveyofcoun00macy,Soil survey of the County of Two Hills No. 21 Alberta,Alberta Research Council.,Alberta Research Council,"Edmonton : Alberta Research Council, Natural Resources Division, Terrain Sciences Dept.","Macyk, T. M. (Terry M.) Greenlee, G. M Veauvy, C. F Alberta Research Council. Terrain Sciences Department"
albertanewslette116albe,"Alberta newsletter, volume 1 no. 16 1955-01 / 1 no. 16","Alberta Economic Development and Trade. Industrial Development Branch,",Alberta Economic Development and Trade,"Edmonton, Alta. : Dept. of Economic Affairs",Alberta. Industrial Development Branch
mathfactor04unse,Math factor,Government of Alberta. Access Alberta.,Government of Alberta,Edmonton : Access Alberta,
birthdeathstatistics1990,Birth and death statistics by health units of Alberta / 1984,Alberta Health. Community Health Division. Division Support Branch. Alberta Community and Occupational Health. Management Support Services. Management Support Services. Health Economics & Statistics.,Alberta Health,"[Edmonton, Alta.] : Division Support Branch, Community Health, Community and Occupational Health",Alberta. Community Health Division. Division Support Branch Alberta. Alberta Community and Occupational Health. Management Support Services Alberta. Alberta Health. Management Support Services Alberta. Health Economics & Statistics
annrepalbopp1986,Annual report / Alberta Opportunity Company / 1986,Government of Alberta. Alberta Opportunity Company.,Government of Alberta,[Edmonton] : Alberta Opportunity Company,Alberta Opportunity Company
educationalplace00albe,Educational placement of exceptional students : consultation paper,Alberta Education.,Alberta Education,"[Edmonton, AB] : Alberta Education",Alberta. Alberta Education
psublockprojappr199707,"PSU, block and project approvals, monthly update / 1997-07",Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,Calgary : Energy Resources Conservation Board,Alberta. Energy Resources Conservation Board Alberta Energy and Utilities Board
albertaapprentic00albe,"Alberta apprenticeship and industry training system : historical overview, April 1, 1994 to March 31, 1996",Alberta Advanced Education. Alberta Advanced Education and Career Development.,Alberta Advanced Education,[S.l.] : Alberta Apprenticeship and Industry Training Board : Alberta Advanced Education and Career Development,Alberta Apprenticeship and Industry Training Board Alberta. Alberta Advanced Education and Career Development
regulatoryoption00albe,Regulatory options for livestock operations : discussion paper,"Alberta Agriculture and Forestry. Alberta Agriculture, Food, and Rural Development. Alberta Environmental Protection. Alberta Health. Alberta Municipal Affairs.",Alberta Agriculture and Forestry,"[S.l.] : Alberta Agriculture, Food and Rural Development ; Alberta Environmental Protection ; Alberta Health ; Alberta Municipal Affairs","Alberta. Alberta Agriculture, Food, and Rural Development Alberta. Alberta Environmental Protection Alberta. Alberta Health Alberta. Alberta Municipal Affairs"
strengtheningcir00albe,Strengthening the circle : what aboriginal Albertans say about their health,Alberta Health. Aboriginal Health Unit.,Alberta Health,"Edmonton, AB : Alberta Health, Aboriginal Health Unit",Alberta. Alberta Health. Aboriginal Health Unit
statusofburrowin00todd_0,Status of the burrowing owl (Athene cunicularia) in Alberta / Update 2005.,Alberta Environment and Parks. Fish and Wildlife Division.,Alberta Environment and Parks,"[Edmonton] : Alberta Sustainable Resource Development, Fish & Wildlife Division, Resource Data and Species At Risk Section ; Alberta Conservation Association","Todd, Danielle Wellicome, Troy I Alberta. Fish and Wildlife Division Alberta Conservation Association"
abstatrev1988qu3,Alberta statistical review / 1988: 3rd  quar.,Alberta Treasury Board and Finance. Bureau of Statistics.,Alberta Treasury Board and Finance,"Edmonton, Alta. : Bureau of Statistics",Alberta. Bureau of Statistics
french1306albe_1,French 13,Alberta Education. Learning Technologies Branch.,Alberta Education,,Alberta. Alberta Education Alberta. Distance Learning
lawsofinterest196807,Laws of interest to the women of Alberta / 1968-07,Alberta Status of Women. Women's Cultural and Information Bureau.,Alberta Status of Women,"Edmonton : Women's Cultural and Information Bureau, Alberta Government",Alberta Women's Bureau Alberta. Women's Cultural and Information Bureau
albertasagricult2009albe,Alberta's Agricultural Processing Industry Directory / 2009,Alberta Agriculture and Forestry. Food and Rural Development.,Alberta Agriculture and Forestry,[Edmonton] : Alberta Agriculture,"Alberta. Alberta Agriculture Alberta. Alberta Agriculture, Food, and Rural Development Alberta. Alberta Agriculture and Food Alberta. Alberta Agriculture and Rural Development"
informationmanua00albe,Information manual for knowledge and employability courses : grades 8-12,Alberta Education. Curriculum Branch.,Alberta Education,"Edmonton, Alta. : Alberta Education, Curriculum Branch",Alberta. Curriculum Branch
toogoodtowastema00albe_0,Too good to waste : making conservation a priority,Alberta Environment and Parks.,Alberta Environment and Parks,[Edmonton] : Alberta Environment,Alberta. Alberta Environment
biologicalcontro00mccl,Biological control of leafy spurge in Alberta : progress and prospects,Alberta Environment and Parks. Alberta Environmental Protection.,Alberta Environment and Parks,"Vegreville, Alta. : Alberta Environmental Centre","McClay, A. S Alberta Environmental Centre Alberta. Alberta Environmental Protection"
annodominijesust00goad_0,Anno Domini : Jesus through the centuries. Exhibition catalogue,Government of Alberta. Provincial Museum of Alberta.,Government of Alberta,Edmonton : Provincial Museum of Alberta,"Goa, David J Distad, Linda Wangler, Matthew Provincial Museum of Alberta"
normesenmatireda00albe,Normes en matière d'adaptation des programmes préscolaires,Alberta Education. Direction de l'Ã©ducation franÃ§aise.,Alberta Education,"Edmonton : Alberta Education, Direction de l'éducation française",Alberta. Alberta Education Alberta. Direction de l'éducation française
understandingper00albe,Understanding personal directives / [Rev. ed.],Government of Alberta. Office of the Public Guardian.,Government of Alberta,"[Edmonton, Alta.] : Office of the Public Guardian",Alberta. Office of the Public Guardian
losttimeclaimscl2003albe,Lost-time claims and claim rates ... summary / 1986,Alberta Labour. Alberta Occupational Health and Safety. Research and Information Development. Alberta Occupational Health and Safety. Alberta Labour. Information Services. Alberta Human Resources and Employment. Information Services. Alberta Human Resources and Employment.,Alberta Labour,"[Edmonton, Alta.] : Alberta Community and Occupational Health",Alberta. Alberta Occupational Health and Safety. Research and Information Development Alberta. Alberta Occupational Health and Safety Alberta. Alberta Labour. Information Services Alberta. Alberta Human Resources and Employment. Information Services Alberta. Alberta Human Resources and Employment
waterqualityeval00bras,Water quality evaluation of Buffalo Lake stabilization project,Alberta Environment and Parks. Environmental Planning Division. Water Resources Management Services.,Alberta Environment and Parks,"[Edmonton, Alta.?] : Planning Division, Water Resources Management Service, Alberta Environment","Brassard, B Trimbee, Annette Alberta. Environmental Planning Division Alberta. Water Resources Management Services"
annualreport1991albe_0,Annual report / 1988,Government of Alberta. Alberta Labour Relations Board.,Government of Alberta,"Edmonton, Alta. : The Board",Alberta Labour Relations Board
enviroviews4n4,Environment views / 4,Alberta Environment and Parks. Alberta Environmental Protection.,Alberta Environment and Parks,Edmonton : Alberta Environment Edmonton : Alberta Environmental Protection [Edmonton] : Green Thread Publishing,Alberta. Alberta Environment Alberta. Alberta Environmental Protection
rockchipsnewslet2003albe,Rock Chips : A Newsletter Published by the Alberta Geological Survey for the Geoscience Community of Alberta / Spring / Summer 2003,Alberta Energy.,Alberta Energy,Edmonton : Alberta Energy,Alberta Geological Survey Alberta. Alberta Energy
seniorsprogramss00albe,Seniors programs and services information guide / 2004,Alberta Seniors and Housing. Alberta Seniors. Alberta Seniors and Community Supports.,Alberta Seniors and Housing,"[Edmonton, Alta.] : Alberta Seniors",Alberta. Alberta Seniors Alberta. Alberta Seniors and Community Supports
peopleprosperity00albe,"People and prosperity : a human resource strategy for Alberta, summary",Government of Alberta.,Government of Alberta,"Edmonton, AB : Government of Alberta",Alberta. Government of Alberta
withinourborders415albe,"Within our borders, volume 5 no. 15 1953-01-15 / 5 no. 15",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
mathematics2406albe_0,Mathematics 24,Alberta Education. Student Evaluation Branch.,Alberta Education,Edmonton : Alberta Learning,Alberta. Alberta Learning Alberta. Learning Technologies Branch
programmedesexam00albe_1,Programme des examens--diplôme de 12e année. Mathématiques & sciences. 1988-89. / 1988,Alberta Education. Student Evaluation Branch. Student Evaluation and Records.,Alberta Education,"[Edmonton] : Alberta Education, Student Evaluation Branch",Alberta. Student Evaluation Branch Alberta. Student Evaluation and Records
exploringmunicip00sand,Exploring municipal options for a greener Alberta,Government of Alberta. Environment Council of Alberta.,Government of Alberta,"[Edmonton, Alta.] : Environment Council of Alberta","Sanderson, Kim Environment Council of Alberta"
socialskillsdiag00fort,Social skills diagnostic screen administration manual,Alberta Education.,Alberta Education,"Edmonton, AB : Alberta Education",Fort McMurray School District No. 2833 Alberta. Alberta Education
withinourborders518albe,"Within our borders, volume 5 no. 18 1953-03-01 / 5 no. 18",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
