Filename	Identifier	Title	Name	Role	Publication_Statement	Date_Issued	Language	Place	Extent	Description	Subject	To	From	Address	Message	Postmark_Date	On_Back	On_Front	General_Note		
41/114	PC022866	Cutting the Grain in Manitoba CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English	Canada, Manitoba	1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of grain being cut by men and teams of horses; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Grains ; Land settlement--Canada	Miss [J]arvis c/o Mrs. Siss[d]o[n]		[Mo]derdown Farm Eddington Nr. Herne Bay	"Auntie Kate "" sends dear Phillis ""Many very happy returns of the day"" & all other loving good wishes Sidcup. 11/8/1917.	SIDCUP 2-PM 11 AU 17		Written on photograph: 105,277 J.V.	
42/114	PC024448	Canada's Golden West: Ranchers Building Hay Stacks CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of farmers using equipment to make hay stacks; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Land settlement--Canada								
43/114	PC026859	Harvesting, near Portage La Prairie, Man. CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English	Canada, Manitoba, Portage La Prairie	1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of farmers using teams of horses to harvest; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Land settlement--Canada							Written on photograph: 105,452 J.V.	
44/114	PC026853	In the Wheat Fields of Saskatchewan CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English	Canada, Saskatchewan	1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of an automobile on a prairie lane; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Land settlement--Canada	Mr A Ca[mpbell]	M.G.	168 Gl-George. St Hillhead Glasgow Scotland	Nov 30th I hope to write you next week, we are all well. I trust Miss Machiccan And your-self is alright. [u]e[y] this weather M.G.	COURTENAY PM NO 30 12 B.C.		Written on photograph: 103,776 J.V.	
45/114	PC026856	Threshing in Alberta CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English	Canada, Alberta	1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of farmers pitching a harvest into a machine for threshing; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Land settlement--Canada							Written on photograph: 105,281 J.V.	
46/114	PC024447	Canada's Golden West: Clearing the Fields CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a farmer pitching a harvest onto a horsedrawn wagon; surrounded by a golden border with maple leaves	Agriculture ; Harvesting ; Farming ; Land settlement--Canada							Written on photograph: 105,284 J.V.	
47/114	PC026854	Harrowing CANADIAN HOMESTEAD LIFE	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a farmer leading two workhorses through a field to harrow it	Agriculture ; Homesteading ; Farming ; Land settlement--Canada	Mr. W. Edgecombe	Ethel	Magnetawan Acct. Ont.	I have decided to stay till monday. Ethel	[?]RK'S FALLS		Written on photograph: 103,026 J.V.	
48/114	PC030376	The Milkmaid CANADIAN HOMESTEAD LIFE	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a woman carrying a wooden stool and a metal pail	Agriculture ; Homesteading ; Farming ; Land settlement--Canada	Miss Jane Chisholne	J.H.C.	Strathewen Man	hoping this will find you all well from J.H.C.	WINNIPEG, MAN. MAR 16 9:30 PM 1910		Written on photograph: 103,513 J.V.	
49/114	PC027916	At Work in the Field CANADIAN HOMESTEAD LIFE	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a young man tending to a crop in a field	Agriculture ; Homesteading ; Farming ; Land settlement--Canada	Isa Scott	John	Hilton Man	From John.			Written on photograph: 103,506 J.V.	
50/114	PC027918	Cleaning Up CANADIAN HOMESTEAD LIFE	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a farmer ploughing his field with the use of a horsedrawn plough	Agriculture ; Plowing ; Homesteading ; Farming ; Land settlement--Canada	Mary Scott	John		From John to Mary.			Written on photograph: 103,508 J.V.	
51/114	PC026857	Canada's Golden West: Threshing Scene CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of farmers loading a horse-drawn wagons of harvest into a threshing machine	Agriculture ; Farming ; Threshing ; Threshing machines ; Land settlement--Canada	Hariet[sic]			Dear Hariet[sic] how do you like this love to all			Written on photograph: 105,295 J.V.	
52/114	PC024458	Harvesting in Saskatchewan CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English	Canada, Saskatchewan	1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a team of horses pulling a harvester over a field of grain	Agriculture ; Farming ; Harvesting ; Land settlement--Canada		Frey		Un des nombreux champs qu'il y a au Canada			Written on photograph: 105,453 J.V.	English translation: One of the many fields in Canada
53/114	PC026858	Canada's Golden West: Cutting the Grain	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a team of horses pulling a grain harvester	Agriculture ; Farming ; Grains ; Harvesting ; Land settlement--Canada	Mr. G.G. Martin	L.S.	Cedar Bluffs Neb U.S.A.	[Llodsb?] Alberta Canada Apr. 7. [Written upside-down: how is [Su]y?] Greetings. Dear folks, we are all well we have been having real nice weather since we are here till the 29 of March it commenced to snow and is still snowing, the snow is from 1 1/2 to 2 feet dee[p] on the land and it looks as if it could snow as much again some of the farmers have done some seeding we are wondering what kind of weather you are having now lets hear from you soon with love to you all your sister L.S. L.S.	DA[?] AP 3 11 ALTA		Written on photograph: 105,297 J.V.	
54/114	PC027383	Planting the Seed CANADIAN HOMESTEAD LIFE	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of two farmers with metal pails full of potatoes	Agriculture ; Farming ; Homesteading ; Land settlement--Canada	Miss Izalia Abbot	Margaret	R7H#3 Lincoln Nebraska U.S.A.	Coronation all = Canada. Aug. 1. 1913. Dear niece, I rec'd your card. was very pleased to hear from you, [so] we thought you had forgotten us. I wonder if Esther remembers saying she would not be long in answering my letter we wonder what she calls long. Was glad to know your Papa is keeping well. We are all well here. Lizzie was out 4 days last week. John is down on his home stead. Are you going to go to school in L[uirhe] again? I suppose you will have your threshing done now. Our grain is no good. Well write soon. With love from all to all. Your Aunt, Margaret.	NATION		Written on photograph: 103, 510 J.V.	
55/114	PC030375	PICKING CORN CANADIAN HOMESTEAD LIFE	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a woman picking corn in a tall field	Agriculture ; Farming ; Women ; Homesteading	Madamoiselle A. Vincent	Carméline	93 Third Street Auburn Maine U.S.A.	J'ai eu beaucoup de visiteurs et Madame Morenoy, ma fille est venue ici avec une servante et 2 bébés - Cela faisait beau-coup de trouble et le bébé d'un an est mort pendant qu'elle était ici ce qui fait que j'ai été forcée de mettre bien des choses de côté - salut amical. Carméline			Written on photograph: 103,035 J.V.	English translation (could be improved): I had a lot of visitors and Mrs. Morenoy, my daughter came here with a maid and 2 babies - It was a lot of trouble and the one year old baby died while she was here so I I was forced to put a lot of things aside - hi friendly. Carmeline
56/114	PC026852	Canada's Golden West: Threshing CANADA'S GOLDEN WEST	Valentine & Sons	Publisher	The Valetine & Sons Publishing Co., Ltd. Montreal and Toronto Printed in Great Britain	1910s	English		1 postcard: col. ; 8.5 x 13.7 cm	Coloured photograph of a team of farmers threshing a harvest out on the field; horse-drawn wagons are piled up with the grain	Agriculture ; Farming ; Threshing ; Threshing machines ; Land settlement--Canada	Miss Marie Travis	D	Bakersfield Calif Box 805	How does this Compare with our own Golden [thr]esh? Don't believe it's quite as golden as the picture indicates at this time of year D	WINNIPEG, MAN. NOV 10 4:30 PM 1910		Written on photograph: 105,280 J.V.	
57/114	PC026849	AN AGRICULTURAL SCHOOL IN WESTERN CANADA.	Canadian Department of Emigration	Issuer	Issued by the Canadian Department of Emigration. 1. Regent Street, London, S.W.1.		English		1 postcard: b&w ; 9 x 14 cm	B&w photograph of a large school building in Western Canada; foregrounded by a field with about 40 people scattered across it	Agriculture ; Schools ; Homesteading ; Land settlement--Canada							Here young men and women learn the principles of successful agriculture and domestic science.	
58/114	PC031393	PLOUGHING THE FERTILE LANDS OF WESTERN CANADA.	Canadian Department of Emigration	Issuer	Issued by the Canadian Department of Emigration. 1. Regent Street, London, S.W.1.		English		1 postcard: b&w ; 9 x 14 cm	B&w photograph of a team of horses pulling a plough across a field	Agriculture ; Plowing ; Homesteading ; Farming ; Land settlement--Canada							Canada has 300,000,000 acres of land suitable for farming.	
59/114	PC026847	HARVESTING A RICH CROP OF ALFALFA (LUCERNE), ON A CANADIAN STOCK FARM.	Canadian Department of Emigration	Issuer	Issued by the Canadian Department of Emigration. 1. Regent Street, London, S.W.1.		English		1 postcard: b&w ; 9 x 14 cm	B&w photograph of a farmer being pulled by a team of horses across a field of alfalfa	Agriculture ; Harvesting ; Farming ; Land settlement--Canada								
60/114	PC026848	A PROSPEROUS FARM HOME IN WESTERN CANADA.	Canadian Department of Emigration	Issuer	Issued by the Canadian Department of Emigration. 1. Regent Street, London, S.W.1.		English		1 postcard: b&w ; 9 x 14 cm	B&w photograph of a farm home in Western Canada; foregrounded by a harvested field	Agriculture ; Harvesting ; Farming ; Homesteading ; Land settlement--Canada							Not many years ago this spot was unbroken prairie.	
61/114	PC026850	THRESHING GRAIN IN CANADA	Canadian Department of Emigration	Issuer	Issued by the Canadian Department of Emigration. 1. Regent Street, London, S.W.1.		English		1 postcard: b&w ; 9 x 14 cm	B&w photograph of a threshing gang set to work; black smoke billows out the chimney of a threshing machine	Agriculture ; Threshing ; Threshing machines ; Grains ; Land settlement--Canada							The wheat harvest alone amounts to almost 500,000,000 bushels.	
62/114	PC030647	BIRTLE MANITOBA CANADA					English	Canada, Alberta, Birtle	1 postcard: b&w ; 9 x 14 cm	B&w aerial photograph of Birtle Manitoba is situated above a block of text	Tourism							BIRTLE MANITOBA CANADA IS SITUATED 200 MILES NORTHWEST OF THE CITY OF WINNIPEG. IT IS IN THE HEART OF THE BEST FARMING DISTRICT IN NOTH-WESTERN MANITOBA. THE WORLDS PRIZES FOR WHEAT OATS AND RYE WERE WON BY THIS DISTRICT. THE TOWN ITSELF IS SITUATED IN THE PICTURESQUE VALLEY OF THE BIRDTAIL RIVER. THIS STREAM IS CAPABLE OF PRODUCING CONSIDERABLE WATER-POWER. AUTOISTS AND TOURISTS ARE INVITED TO MAKE THIS A STOPPING PLACE. SEVERAL BEAUTIFUL SPOTS ARE AVAILABLE TO CAMPERS. THE FAMOUS BIRTLE SPRING WILL SUPPLY ALL THE LIQUID REFRESHMENTS REQUIRED. APPLY- A.E.QUELCH SECY. OR J.W. PRATT MAYOR.	
62/114	PC017921	A RED RIVER CART AND A DUG-OUT					English	Canada, Saskatchewan, Qu'Appelle	1 postcard: b&w ; 8.7 x 13.7 cm	B&w photograph of a red river cart and a dug-out home in Qu'Appelle, Saskatchewan	Homesteading ; Land settlement--Canada							600,000 Settlers are expected to enter Canada next year, many of whom will settle in the Diocese of Qu'Appelle. This Diocese is endeavouring to provide the Church's ministrations for its ever-increasing population, and needs much help. Information about the work is to be found in THE OCCASIONAL PAPER of the Qu'Appelle Association, which may be obtained (1s. per annum, post free) from Rev. ARTHUR KRAUSS, Pirbright Vicarage, Surrey ; or, W. MAURICE ADAMS, ""Heatherhurst,"" Brookwood, Surrey.	
64/114	PC022671	SASKATOON SASKATCHEWAN: THE WONDER CITY	Canadian Promotion Co.	Publisher	Published by Canadian Promotion Co., Winnipeg. Copyright app, for	1911	English	Canada, Saskatchewan, Saskatoon	1 booklet: b&w ; 8.5 x 11 cm	Small booklet depicting a woman standing over a busy trainyard	Homesteading ; Land development ; Real estate business ; Land settlement--Canada				SASKATOON HAS over 100 Wholesale Firms. Has 16 Passenger Trains Daily arriving and departing from three Railway Stations. Has Mod-ern Water and Sewage Systems. Has 12 Modern Hotels. Has 13 Modern Schools, Churches and Theatres and Is an Up-to-Date City in Every Respect BUILDING STATISTICS 1907-$377,211 1908-$115,625 1909-$1,002,055 1910-$2,817,771 CITY ASSESSMENT 1906 $2,517,145 1907 $6,621,337 1908 $7,450,135 1909 $8,156,357 1910 $10,748,639 1911 $13,000,000 (conservatively) POPULATION 1903-113 1906-3,011 1911 (February)-over 16,000 SCHOOL ATTENDANCE 1906-296 1907-364 1908-651 1909-1,113 Feb., 1911-1,660 Can any other City in the world equal this record?		G.A. MARTIN L.R. HARGREAVES Compliments of Martin & Hargreaves INVESTMENT, REAL ESTATE INSURANCE BROKERS 107 HELGERSON BLK., 2ND AVENUE SASKATOON, Sask.		
65/114	PC031400	THE LAND OF BIG CROPS & RICH PASTURE	Central Alberta Development League	Issuer			English		1 postcard: b&w ; 8.5 x 13.5 cm	Four b&w photographs are arranged vertically on the postcard, all showcasing various forms of Canadian farming	Homesteading ; Land development ; Agriculture ; Farming ; Land settlement--Canada	The Secretary of the Central Alberta Development League	The Secretary of the Central Alberta Development League	Edmonton, Canada	I want to know about the resources of CENTRAL ALBERTA Please send me illustrated descriptive pamphlet Name ___ Address ___ Occupation ___			NO IRRIGATION AMPLE RAINFALL ; OVER	
66/114	PC031401	THE LAND OF BIG CROPS & RICH PASTURE.	Central Alberta Development League	Issuer			English		1 postcard: b&w ; 8.5 x 13.5 cm	Two b&w photographs are arranged vertically on the postcard, one depicting a herd of cows; another showing a farmer at work in his field	Homesteading ; Land development ; Agriculture ; Farming ; Land settlement--Canada	The Secretary of the Central Alberta Development League	The Secretary of the Central Alberta Development League	Edmonton, Canada	I want to know about the resources of CENTRAL ALBERTA Please send me illustrated descriptive pamphlet Name ___ Address ___ Occupation ___			NO IRRIGATION IN CENTRAL ALBERTA NO ""DRY FARMING."" ; OVER	
67/114	PC031402	WHERE CROPS NEVER FAIL	Central Alberta Development League	Issuer			English		1 postcard: b&w ; 8.5 x 13.5 cm	Three b&w photographs arranged horizontally depict large farm homes and a field filled with large haystacks	Homesteading ; Land development ; Agriculture ; Farming ; Land settlement--Canada	The Secretary of the Central Alberta Development League	The Secretary of the Central Alberta Development League	Edmonton, Canada	I want to know about the resources of CENTRAL ALBERTA Please send me illustrated descriptive pamphlet Name ___ Address ___ Occupation ___			NO IRRIGATION NO ""DRY FARMING"" ; OVER ; Get information about Western Canada's Richest Mixed Farming District	
68/114	PC018373	FIVE MEN STANDING IN THE FIELD	Edmonton Board of Trade	Issuer			English		1 postcard: b&w ; 8.5 x 14 cm	B&w photograph shows five farmers standing over a sizable bed of potatoes	Homesteading ; Land development ; Agriculture ; Farming ; Potatoes ; Land settlement--Canada	The Secretary of the Edmonton Board of Trade	The Secretary of the Edmonton Board of Trade	Edmonton, Canada	I want to know about the resources of CENTRAL ALBERTA Please send me illustrated descriptive pamphlet Name ___ Address ___ Occupation ___			[OVER]	
69/114	PC017284	A MARKET GARDENERS START	MacMILLAN & VOLLANS. The Real Estate Men	Issuer			English	Canada, Manitoba, Winnipeg	1 postcard: b&w ; 9 x 14 cm	B&w photograph of a farmhome and garden; foregrounded by two children, two horses, and three adults	Homesteading ; Real estate business ; Land development ; Farming ; Agriculture ; Land settlement--Canada	Gran. Ma.	Ches & Jim		Dear Gran. Ma. To wish you a Happy Xmas and a bright new year. I guess you was surprised to hear that I was married. I am properly happy, and hope to remain so. We are in good health hoping the same for your-self. With love from Ches & Jim xxx		WEST WINNIPEG - THE 20TH CENTURY MONEY MAKER	IN WEST WINNIPEG THE BEAUTIFUL MANUFACTURING, MARKET GARDEN AND SUBURBAN HOME DOWN ON THE G.T.P., C.P.R. AND C.N.R. RAILWAYS Get Maps, Plans, and Full Information from MacMILLAN & VOLLANS. The Real Estate Men. WINNIPEG, MAN.	
70/114	PC018859	A SUBURBAN HOME	MacMILLAN & VOLLANS. The Real Estate Men	Issuer			English	Canada, Manitoba, Winnipeg	1 postcard: sepia ; 8.7 x 14 cm	B&w photograph of a suburban home in Winnipeg, Manitoba	Homesteading ; Real estate business ; Land development  ; Houses ; Land settlement--Canada	""Mary"	Dick	12 Park Avenue Wood Green. London N. England	Hope you are a girl & taking just care of the master. We are having very [text obscured] weather now [+] [text obscured] fell about 150 meters from here yesterday. Dick. 27/9/08	WINNIPEG, MAN SEP 29 2-PM 1908 ; WINNIPEG MAN SEP 29 2-PM 1908	WEST WINNIPEG - THE 20TH CENTURY MONEY MAKER	IN WEST WINNIPEG THE BEAUTIFUL Manufacturing, Market Garden and Suburban Home Down on the G.T.P., C.P.R. and C.N.R. Railways Get Maps, Plans, and Full Information from MacMILLAN & VOLLANS. The Real Estate Men. WINNIPEG, MAN.
71/114	PC023243	A DISPLAY OF A MAN RIDING A HORSE					English	Canada, Alberta	1 postcard: b&w ; 8.7 x 13.7 cm	B&w photograph depicting an exhibit showcasing Alberta	Agricultural exhibits ; Agriculture ; Land development ; Land settlement--Canada	Folks	Department of Agriculture, Alberta Board of Trade		Toronto, Sept. 1908 Dear Folks I have just seen the Alberta Government exhibit at the Fair. Say! They must have a great province. Wheat goes as high as 60 bushels to the acre and from 30 to 40 is common. Oats yield from 40 to 100 bushel, and barley 30 to 50 bushel. You should see the unitation wheat field, the grand display of native and tame grasses and also clovers and alfalfa. Vegetables do well there, The climate is ideal for health. Coal is found in all parts of the Province. Coal oil and natural gas are also found there. If you are interested write to the Department of Agriculture, Edmonton or the Secretary of any Alberta Board  of Trade for literature With kind regards from Yours Sincerely						
72/114	PC032580	ALBERTA GOVERMENT EXIBIT					English	Canada, Alberta	1 postcard: b&w ; 9 x 14 cm	B&w photograph depicting an exhibit showcasing Alberta	Agricultural exhibits ; Agriculture ; Land development ; Land settlement--Canada	Folks	Department of Agriculture, Alberta Board of Trade		Toronto, Sept. 1908 Dear Folks I have just seen the Alberta Government exhibit at the Fair. Say! They must have a great province. Wheat goes as high as 60 bushels to the acre and from 30 to 40 is common. Oats yield from 40 to 100 bushel, and barley 30 to 50 bushel. You should see the unitation wheat field, the grand display of native and tame grasses and also clovers and alfalfa. Vegetables do well there, The climate is ideal for health. Coal is found in all parts of the Province. Coal oil and natural gas are also found there. If you are interested write to the Department of Agriculture, Edmonton or the Secretary of any Alberta Board  of Trade for literature With kind regards from Yours Sincerely						
73/114	PC014993	GRANUM ALBERTA: THEY HAVE LOTS TO [CROW] ABOUT AROUND HERE					English	Canada, Alberta, Granum	1 postcard: col. ; 8.7 x 14 cm	Small illustration of a crow on the left side of the card, the right is filled with a typed message	Agriculture ; Grains ; Harvesting ; Farming ; Fairs ; Land settlement--Canada	Mr. Ora. Sonner	D.L. Morrow	Cody Wyo U.S.A.	Hello Sonny Are you still alive if so write and tell me Yours Truly D.L. Morrow Granum, Alta	GRANUM JUL 27 0[3]		Dear Folks:- I have just seen the Granum ex-hibit at the Dominion Fair, Calgary. Say, they must have a great district. Wheat goes as high as 60 bushel to the acre and from 30 to 40 is common. Oats yield from 40 to 100 bushel and barley 30 to 50 bushel. You should see the grand display of native and tame grasses and also clovers and alfalfa. Vegetables do well there. If you are in-terested write to the Sec. Board of Trade, Granum, Alta. Sincerely yours,			
74/114	PC035143	A characteristic gently rolling Goose Lake District	Godart Land Co.	Issuer		1913	English	Canada, Saskatchewan, Goose Lake	1 postcard: sepia ; 9 x 14 cm	B&w photograph of an empty field	Homesteading ; Land settlement--Canada	Mr John G Reitz	Godart Land Co.	Meadow Grove Nebr	Again this year, 1913, Canada has produced a fine crop. Did you ever stop to consider what a mag-nificent compliment to Canada is the fact that 675,000 Americans have settled in Canada in the last 7 years, and they've stayed there which must mean they are happy and prosperous for the American does not stay where he is not making good. Could you have better proof of Canada's goodness? We tell you that we confidently expect the land we are selling in the Goose Lake District, Saskatchewan will have a valuation of close to $100.00 per acre within in a few years. Our opinion is the same as that of many others who know this fine land and it is founded on a thorough acquaintance for a number of years. We believe you would have the same opinion if you saw it with us and if so it certainly offers you a splendid opportunity for profitable investment. We tell you this because we want you to come with us on our trip leaving St. Paul September 17th. We will give you a reduced rate and furnish good bed and board on our private car at a small price. If you purchase the trip costs you nothing. A fine trip to fine land showing the great 1913 Canadian harvest on the way. Can we make a fairer offer? Will you come? GODART LAND CO. ST. PAUL, MINN.	ST. PAUL, MINN. SEP 6 1:30 PM 1913					
75/114	PC035145	ACTUAL SIZE OF SOME AVERAGE HEADS FROM A 1913 GOOSE LAKE WHEAT FIELD GODART LAND CO. ST. PAUL, MINN.	Godart Land Co.	Issuer			English	Canada, Saskatchewan, Goose Lake	1 postcard: b&w ; 9 x 13.5 cm	B&w photograph of three heads of wheat, supposedly depicted at actual size	Agriculture ; Farming ; Real estate business ; Land development ; Land settlement--Canada	Mr. John G Reitz	Godart Land Co.	Meadow Grove Nebr	THE wheat heads shown on the other side are av-erage heads of a 1913 Goose Lake wheat field. They are plump, long and filled to the end. A reasonable estimate of the yield per acre of this field would be at least 40 bushels. Any of the Goose Lake lands we are selling will do as well, as the soil is rich, heavy and deep. On the excursion of September 3rd, when the above mentioned heads were gathered, we had men from Illinois, Iowa, and Nebraska with us. They all said they had never seen better land or crops and they backed up their opinion with their money by purchasing. We believe you would feel the same about this fine land when you saw it. Why not make up your mind to come with us on the trip leaving St. Paul Wednesday, September 17th. You will never get away unless you make up your mind to come and then come. We would like to have you with us. GODART LAND CO. ST. PAUL, MINN.	ST. PAUL, MINN SEP 12 5:30 PM 1913					
76/114	PC029377	Main St. FILLMORE Sask	Illustrated Post Card Co.	Publisher	Illustrated Post Card Co., Montreal		English	Canada, Saskatchewan, Fillmore	1 postcard: b&w ; 8.7 x 14 cm	B&w photograph of the main street in Fillmore, Saskatchewan	Farming ; Land development ; Land settlement--Canada	Joseph Louchotte		Mutrie Via Fillmore Sask. Canada	Mon cher Constant, J'ai été a Wolseley la semaine derneire [sic], et j'ai appris avec chagrin que 3 de tes enfants étaient malade aussi que Marguerite, j'espère que ce ne sera pas grand chose et je souhaite de tous [sic] mon coeur qu'ils se rétablisse bientôt. J'ai aussi vu le portrait de ta famille(.) J'aimerais bien en avoir aussi un si toutefois tu en avait encore ça me ferait bien plaisir. En ce moment je suis occupé a faire une nouvelle maison, je t'enverrais le portrait de ma maison quand elle sera terminée, il y a bien longtemps que je t'avait donner de mes nouvelles, je te donnerai une plus longue lettre bientôt avec plus de détail et j'espère quand tu recevra cette carte vous serais [sic] tous en bonne santé. Je termine en t’embrassant de grand coeur. Fillmore est la ville la plus proche de chez moi. Mes meilleure amittié [sic] a [sic] ta famille, J. L.		Written in m.s.: Mutrie le 5 Octobre 1907	FILLMORE is situated in the heart of the finest wheat growing section of Saskatchewan. Being about midway between Arcola and Regina its train service is unsurpassed. Excellent connection can be made with the east or west daily. Winnipeg dailies are received here the same day as published. This is the home of the famous steam plow; these massive machines, drawing from eight to twelve plows turn over 25 to 50 acres of the virgin soil per day. Thousands of acres of the finest wheat growing farms for sale at reasonable prices.	English translation: My dear Constant, I was in Wolseley the week before [sic], and I learned with sorrow that 3 of your children were sick as well as Marguerite, I hope it will not be much and I wish everyone [sic] my heart that they will recover soon. I also saw the portrait of your family (.) I would also like to have one if you still had it would make me very happy. At this moment I am busy making a new house, I will send you the portrait of my house when it is finished, it is a long time since I gave you my news, I will give you a longer letter soon with more detail and I hope when you receive this card you would be [sic] all healthy. I finish kissing you with a big heart. Fillmore is the closest town to my home. My best friends [sic] to your family, J. L.		
77/114	PC027187	FARM OF H. DORELL, NEAR MOOSE JAW, ASSA., CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Saskatchewan, Moose Jaw	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of farm buildings in the background; foregrounded by a field littered with bushels of wheat	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
78/114	PC024968	MR. JONATHAN MANSFIELD, ELTON, NORTH BRANDON, MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Brandon	1 postcard: col. ; 8.5 x 14 cm	Coloured photograph of farmers, agricultural machinery, and large stacks of harvest	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
79/114	PC016983	CUTTING WHEAT AT MR. LONSDALE NELLES, BRANDON, MANITOBA, CANADA.	Canadian Department of Immigation	Issuer			English	Canada, Manitoba, Brandon	1 postcard: col. ; 8.5 x 14 cm	Coloured photgraph of farmers driving teams of horses to cut wheat in a field	Farming; Land development ; Emigration & immigration ; Agriculture ; Land settlement--Canada						160 ACRE FARMS IN WESTERN CANADA FREE GOOD SCHOOLS. SPLENDID CLIMATE. RICH SOIL. SPLENDID PASTURAGE LAND FOR CATTLE. EXCELLENT DAIRYING. Particulars may be obtained from any CANADIAN GOVERNMENT AGENT OR FROM MR. W.D. SCOTT, Superintendent of Immigration, OTTAWA. MR. W.T.R. PRESTON, Commissioner of Emigration, 11-12 Charing Cross, LONDON, W.C. ENGLAND				
