ia id	catkey	title	subjects
countyofbeaverno1984beav	000005669379	County of Beaver no. 9 : [electronic resource] land use by-law no. 539, 1984.	Land use--Law and legislation--Alberta--Beaver.;
eurasianwatermil00stoc	1834479	Eurasian water milfoil, Alberta lake survey 1982 / [electronic resource] report prepared by Edward C. Stockerl ; contributors, Robert L. Kent, Lorne A. Thurber.	Eurasian watermilfoil--Alberta.--Aquatic weeds--Alberta.;
annualreport2009albe_0	1740823	Annual report / [electronic resource] Management Employees Pension Plan.	Alberta.--Management Employees Pension Plan--Periodicals.--Alberta--Officials and employees--Pensions--Periodicals.;
statutgrainfrei1986_87	1333493	Statutory grain freight rates from Alberta to Vancouver/Prince Rupert and Thunder Bay. [electronic resource]	Grain--Alberta--Transportation--Statistics--Periodicals.--Grain--Canada, Western--Transportation--Statistics--Periodicals.--Railroads--Canada, Western--Rates--Periodicals.--Freight and freightage--Canada, Western--Periodicals.;
soilseriesinform01pedo	2195999	Soil series information for reclamation planning in Alberta / [electronic resource] by Pedocan Land Evaluation Ltd. ; prepared for Alberta Conservation and Reclamation Council (Reclamation Research Technical Advisory Committee).	Soil surveys--Alberta.--Reclamation of land--Alberta.;
provincialcourtc00albe_0	2021436	Provincial Court, Civil Division ; [electronic resource] and, Collecting your judgment in Alberta.	Alberta.--Provincial Court--Civil Division.--Actions and defenses--Alberta.--Civil procedure--Alberta.--Judgments--Alberta.;
costanalysisofeg00albe_2	683651	Cost analysis of egg production in Alberta. [electronic resource]	Eggs--Alberta--Production--Costs.;
westernaechmopho00hanu_1	2590538	Western (Aechmophorus occidentalis) and eared (Podiceps nigricollis) grebes of central Alberta : [electronic resource] inventory, survey techniques, and management concerns / Stephen Hanus, Hugh Wollis and Lisa Wilkinson.	Western grebe--Alberta--Surveys.--Eared grebe--Alberta--Surveys.--Grebes--Alberta.--Wildlife management--Alberta.;
grade12diplomae992albe_10	1752649	Grade 12 diploma examination. English 30. Part B, Reading (Multiple choice). [electronic resource]	English language--Alberta--Examinations, questions, etc.--Periodicals.--English literature--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
albertasoilwater03albe	2572894	Alberta soil and water quality guidelines for hydrocarbons at upstream oil and gas facilities. [electronic resource]	Petroleum industry and trade--Environmental aspects--Alberta.--Soil pollution--Standards--Alberta.--Water quality--Standards--Alberta.--Hydrocarbons--Environmental aspects--Alberta.;
psublockprojappr199009	1748862	PSU, block and project approvals, monthly update. [electronic resource]	Gas well drilling--Alberta--Statistics.--Oil well drilling--Alberta--Statistics.;
schoolcouncilres00albe	1724229	School Council resource manual / [electronic resource] [written by Alberta Home and School Councils' Association in cooperation with the Alberta Teachers' Association].	Citizens' advisory committees in education--Alberta--Handbooks, manuals, etc.--School management and organization--Alberta--Handbooks, manuals, etc.;
statusofslenderm00macd_0	3051269	Status of the Slender Mouse-ear-cress (Halimolobos virgata) in Alberta / [electronic resource] prepared for: Alberta Sustainable Resource Development (SRD), Alberta Conservation Association (ACA) ; prepared by: Ian D. Macdonald.	Halimolobos.--Endangered species--Alberta.--Rare plants--Alberta.;
ecosystemgoodsse00albe	4955255	Ecosystem goods and services southern Alberta : [electronic resource] a framework for assessing natural asset condition / prepared by O2 Planning + Design Inc. for Alberta Environment.	Ecosystem management--Alberta, Southern.--Landscape ecology--Alberta, Southern.--Environmental management--Alberta, Southern.--Natural areas--Alberta, Southern.--Environmental risk assessment--Alberta, Southern.;
colloquiumonlarg00albe	4257664	Colloquium on large scale improvement : [electronic resource] implications for AISI.	School improvement programs--Alberta.--Education--Research--Alberta.--Group work in education--Alberta.--Education--Alberta--Congresses.;
albertamunicipal00albe_4	3047109	Alberta municipality profile, 2001 census of agriculture : [electronic resource] Southern Region.	Agriculture--Alberta--Statistics.;
transitiontoself00macd	1778234	The transition to self-directed work teams at Community Behavioral Services / [electronic resource] Larry MacDonald.	Alberta.--Community Behavioral Services.--Alberta.--Community Behavioral Services--Officials and employees.--Teams in the workplace--Alberta.--Self-directed work teams--Alberta.;
observationsofno00dani	1748564	Observations of the Northern Conference : [electronic resource] Circuit and rural court justice in the north, March 11-16, 1984, Yellowknife, Northwest Territories : A report / by Dorothy Daniels.	Indians of North America--Canada--Courts.--Indians of North America--Legal status, laws, etc.--Canada.;
	3479710		;
fallryeproductio00albe_0	1364556	Fall rye production. [electronic resource]	Rye--Alberta.;
programsforsenio00albe_8	753258	Programs for seniors / [electronic resource] [Alberta Social Services and Community Health, Senior Citizens Bureau].	Older people--Services for--Alberta--Periodicals.--Older people--Services for--Alberta--Directories.;
annualreport2005agri	1735254	Annual report / [electronic resource] Agriculture Financial Services Corporation.	Agriculture Financial Services Corporation (Alta.)--Periodicals.--Agricultural credit--Alberta--Periodicals.--Crop insurance--Alberta--Periodicals.;
guidedesparentst03albe_0	1979924	Guide des parents, tests de rendement provinciaux. 3e année. [electronic resource]	Tests de rendement scolaire--Alberta--Guides, manuels, etc.;
surveyofcoleman00albe	832763	Survey of Coleman / [electronic resource] prepared by Industrial Development Branch, Dept. of Industry & Development.	Coleman (Alta.)--Coleman (Alta.)--Economic conditions.;
municipalfinance00ebel	774437	The municipal finance impact of large-scale natural resource projects / [electronic resource] B.J. Ebel.	Canada.--Natural Resources Canada--Economic aspects.--Company towns--Economic aspects--Canada.--Mineral industries--Canada--Finance.--Municipal finance--Canada.--Economic development projects--Canada.--New towns--Finance.;
curriculumhandbo3200albe	1829417	Curriculum handbook for parents. Catholic school version. Grade 3. [electronic resource]	Third grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.--Education--Alberta--Curricula--Handbooks, manuals, etc.;
albertaimmunizat00albe_0	3981598	Alberta immunization strategy : [electronic resource] highlights.	Immunization--Alberta.--Immunization--Government policy--Alberta.--Immunization--Alberta--Planning.;
waterresourceman00albe_0	1729555	Water resource management principles for Alberta / [electronic resource] Alberta Environment.	Watershed management--Alberta.--Water resources development--Alberta.;
albertaeducation01albe	2363802	Alberta Education documents catalogue / [electronic resource] Alberta Education.	Alberta.--Alberta Education--Catalogs.--Government publications--Alberta--Catalogs.;
thisenduptravell00albe	1405286	This end up : [electronic resource] a travelling art exhibition program / sponsored by Alberta 75th Anniversary Commission ; in co-operation with Alberta Culture, Visual Arts.	Art, Canadian--Alberta--20th century--Exhibitions.;
albertaprovincia54albe	1831894	Alberta provincial electoral division profile. [electronic resource]	Election districts--Alberta--Statistics.--Alberta--Census, 1991.--Alberta--Statistics.--Alberta--Population--Statistics.;
grade12diplomae1986albe_2	1761209	Grade 12 diploma examination. English 33. Part B, Reading (Multiple choice). [electronic resource]	English language--Alberta--Examinations, questions, etc.--Periodicals.--English literature--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
psublockprojappr199210	1748862	PSU, block and project approvals, monthly update. [electronic resource]	Gas well drilling--Alberta--Statistics.--Oil well drilling--Alberta--Statistics.;
whitecourtanselm00albe	2303417	Whitecourt/Anselmo public land use strategy / [electronic resource] prepared by: Public Land Use Strategy Team, Northern East Slopes Region.	Public lands.--Land use--Alberta--Whitecourt Region--Planning.--Strategic planning.--Regional planning--Alberta--Whitecourt Region.--Whitecourt Region (Alta.);
enviroviews16n3	541520	Environment views. [electronic resource]	Environmental protection--Alberta--Periodicals.--Pollution--Environmental aspects--Alberta--Periodicals.;
albertacareereve00albe	856015	Alberta career events : [electronic resource] a planning guide and workbook for counsellors and teachers.	Educational counseling--Alberta.--Career education--Alberta.--Vocational guidance--Alberta.;
interpretationof00nesb_0	867542	Interpretation of native range vegetation from 1:500 70-mm large-scale color and color infrared photography / [electronic resource] by R. Nesby.	Aerial photography in agriculture--Alberta.--Range plants--Alberta--Castle River Range Region.--Range plants--Alberta--Carbondale Region.--Photographic interpretation.--Infrared photography--Alberta.;
psublockprojappr199311	1748862	PSU, block and project approvals, monthly update. [electronic resource]	Gas well drilling--Alberta--Statistics.--Oil well drilling--Alberta--Statistics.;
withinourborders5202albe	407869	Within our borders. [electronic resource]	Alberta--Periodicals.;
annualreportdipl1989albe	1393701	Annual report, Diploma Examinations Program. [electronic resource]	Education--Alberta--Evaluation--Statistics--Periodicals.--Education, Secondary--Alberta--Statistics--Periodicals.--Examinations--Alberta--Interpretation--Statistics--Periodicals.;
energyresources1993110	1996768	Informational letter / [electronic resource] ERCB.	Alberta.--Energy Resources Conservation Board--Periodicals.--Power resources--Alberta--Periodicals.--Petroleum industry and trade--Alberta--Periodicals.--Natural gas--Alberta--Periodicals.;
grade12diplomaex1993albe	1761186	Grade 12 diploma examination. English 33. Part A, Written response. [electronic resource]	English language--Alberta--Examinations, questions, etc.--Periodicals.--English literature--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
companiesalberta00albe	1999207	Companies--Alberta. [electronic resource]	Corporations--Alberta--Directories.;
annualreportalbe00albe_10	628780	Annual report / [electronic resource] Legislative Assembly Office.	Alberta.--Legislative Assembly--Speaker--Periodicals.--Alberta.--Legislative Assembly Office--Periodicals.--Alberta.--Legislative Assembly--Facilities--Periodicals.--Alberta.--Legislature Library--Periodicals.;
departmentalexam30albe_14	1944025	Departmental examinations, [grade 12] 1967. [electronic resource]	Examinations--Alberta--Questions.;
newslinealbertar133albe_0	3447122	Newsline. [electronic resource]	Alberta Research Council--Periodicals.;
examenenvuedudip00albe_47	1726717	Examen en vue du diplôme douzième année. Biologie 30. [electronic resource]	Biologie--Alberta--Examens.--Douzième année (Éducation)--Alberta--Examens.;
yourairyourhealt00albe	2461013	Your air, your health : [electronic resource] a major new study tests the quality of air and human health in Fort McMurray / Alberta Oil Sands Community Exposure & Health Effects Assessment Program.	Air--Pollution--Alberta--Fort McMurray--Measurement.--Air--Pollution--Alberta--Fort McMurray--Physiological effect.--Air quality--Health aspects--Alberta--Fort McMurray.;
grade12diplomae984albe_20	914659	Grade 12 diploma examination. Social studies 30. [electronic resource]	Social sciences--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
plannerascatalys00ilag	754330	The planner as catalyst : [electronic resource] local development through multi-organizational co-operation / by George Ilagan and Bill Symonds & Linda Beltrano; with the assistance of Graham Murchie; edited by Timothy B. Yip.	City planning--Alberta--Cold Lake.;
creatingpositive00solb	1691070	Creating a positive place called school : [electronic resource] issues, strategies and resources: elementary school counselling / Carole Solberg.	Counseling in elementary education--Alberta--Handbooks, manuals, etc.--Educational counseling--Alberta--Handbooks, manuals, etc.;
anrpablibbrd1987	6346047	Annual report / [electronic resource] Alberta Library Board.	Alberta Library Board--Periodicals.--Public libraries--Alberta--Periodicals.--Library trustees--Alberta--Periodicals.;
annualreportalbe00albe_24	628780	Annual report / [electronic resource] Legislative Assembly Office.	Alberta.--Legislative Assembly--Speaker--Periodicals.--Alberta.--Legislative Assembly Office--Periodicals.--Alberta.--Legislative Assembly--Facilities--Periodicals.--Alberta.--Legislature Library--Periodicals.;
projectabcadvanc00barr_0	579948	Project ABC: advancement based on competency : [electronic resource] summative evaluation, December 1987 / Gail V. Barrington, Gail V. Barrington & Associates, under contract to Calgary Board of Education, Calgary, Alberta, under contract to Alberta Education, Edmonton, Alberta.	Project ABC (Alta.)--Competency-based education--Alberta--Calgary.--Competency-based education--Case studies.--Performance contracts in education--Case studies.;
albertaoilsandstat94	2692667	Alberta oil sands plant statistics monthly supplement. [electronic resource]	Oil sands--Alberta--Statistics--Periodicals.--Oil sands industry--Alberta--Statistics--Periodicals.;
guidedesparentst06albe_0	1845313	Guide des parents, tests de rendement provinciaux. 6e année. [electronic resource]	Achievement tests--Alberta--Handbooks, manuals, etc.;
forestryforestry00albe_0	3825749	Forestry and forestry products industry. [electronic resource]	Forests and forestry--Employees--Supply and demand--Alberta.--Forest products industry--Employees--Supply and demand--Alberta.--Labor market--Alberta.;
grade12diplomae988albe_22	914685	Grade 12 diploma examination. Physics 30. [electronic resource]	Physics--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
wildlifetourismi00pris	1567985	Wildlife and tourism in Alberta / [electronic resource] prepared for Alberta Tourism by Prism Environmental Consulting Services	Tourism--Alberta.--Wildlife watching--Alberta.--Nature study--Alberta.--Wildlife management--Economic aspects--Alberta.;
strategicdirecti00albe_0	1599473	Strategic directions 88-90. [electronic resource]	Strategic planning.;
budgetalbe_4	2540696	Budget / [electronic resource] Government of Alberta.	Budget--Alberta--Periodicals.--Fiscal policy--Alberta--Periodicals.--Alberta--Economic policy--Periodicals.;
grade12diplomae999albe_23	1772364	Grade 12 diploma examination. Social studies 33. [electronic resource]	Social sciences--Alberta--Examinations--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
shapingfuturedir00albe	3148821	Shaping the future direction of the Advanced Education System. [electronic resource]	Higher education and state--Alberta.--Postsecondary education--Alberta--Aims and objectives.--Education, Higher--Alberta.--Universities and colleges--Alberta.--Educational accountability--Alberta.;
sanitarylandfill00lapp	1555644	Sanitary landfill controlling wind-blown litter / [electronic resource] prepared by: James M. Lapp	Sanitary landfills--Design and construction.--Winds.;
	188304		;
waterhaulersbulletin45	667338	The Water hauler's bulletin. [electronic resource]	Irrigation--Alberta--Periodicals.--Irrigation farming--Alberta--Periodicals.;
albertaprovincia28albe	1831894	Alberta provincial electoral division profile. [electronic resource]	Election districts--Alberta--Statistics.--Alberta--Census, 1991.--Alberta--Statistics.--Alberta--Population--Statistics.;
permlicence86no12_13	6372511	Permit and licence no. [electronic resource]	Electric power distribution--Alberta.;
cequemonenfantap00albe_21	2126591	Ce que mon enfant apprend à l'école : [electronic resource] manuel à l'intention des parents. Troisième année.	Programmes d'études--Alberta--Guides, manuels, etc.--Français (Langue)--Étude et enseignement--Alberta--Guides, manuels, etc.--Troisième année (Éducation)--Alberta--Guides, manuels, etc.--Education--Alberta--Curricula--Handbooks, manuals, etc.--French language--Study and teaching--Alberta.--Third grade (Education)--Alberta--Curricula--Handbooks, manuals, etc.;
oldmanriverdamwi00pich	2348606	Oldman River Dam wildlife habitat mitigation program : [electronic resource] preliminary survey of wetland habitat projects, 1995 / M. Pichlyk.	Wildlife habitat improvement--Alberta--Oldman River Dam Region.--Wetlands--Alberta--Oldman River Dam Region.--Wetland ecology--Alberta--Oldman River Dam Region.--Oldman River Dam (Alta.);
cateringfunction00albe_2	2290095	Catering functions supervisor : [electronic resource] certification standards / Alberta Tourism Education Council.	Catarers and catering--Standards--Alberta.--Caterers and catering--Certification--Alberta.--Food service employees--Standards--Alberta.--Food service employees--Certification--Alberta.--Hospitality industry--Alberta--Employees.--Torist trade.;
foipptechnologyb00albe	2166973	FOIPP and technology : [electronic resource] best practices for Alberta school jurisdictions / Alberta Education.	Freedom of information--Alberta.--Privacy, Right of--Alberta.;
historicsitesofp00demp	2024867	Historic sites of the province of Alberta / [electronic resource] compiled and written by Hugh A. Dempsey.	Alberta--Histoire.--Alberta--Descriptions et voyages.;
examenenvuedudip00albe_21	1794021	Examen en vue du diplôme douzième année. Etudes sociales 30. [electronic resource]	Sciences sociales--Alberta--Examens--Périodiques.--Douzième année (Éducation)--Alberta--Examens--Périodiques.--Examens--Alberta--Périodiques.--Social sciences--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
healtheffectsass00albe	3560288	Health effects associated with short-term exposure to low levels of sulphur dioxide (SO₂) : [electronic resource] a technical review.	Sulfur dioxide--Physiological effect.--Sulfur dioxide--Dose-response relationship.--Natural gas--Physiological effect.--Natural gas--Toxicology.;
grade12diplomae1999albe_8	1752552	Grade 12 diploma examination. English 30. Part A, Written response. [electronic resource]	English language--Alberta--Examinations, questions, etc.--Periodicals.--English literature--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
surveyguidelines00albe	1731519	Survey guidelines for soil and water conservation projects. [electronic resource]	Soil conservation--Alberta.--Water conservation--Alberta.--Agricultural conservation--Alberta.;
overviewofeffect00prem	2230708	Overview of effective approaches in working with families at risk. [electronic resource]	Child welfare--Alberta.--Children--Services for--Alberta.--Family services--Alberta.--Child Health Services--Alberta.--Family.--Social Work--Alberta.;
farmfuelstorageh00albe_0	4180490	Farm fuel storage & handling / [electronic resource] [technical content prepared by: Melissa Orr ; publication developed by, Alberta Agriculture and Rural Development, Agriculture Stewardship Division, Technology and Innovation Branch]	Fuel--Storage.--Storage tanks--Standards.;
companynameaddre00albe_9	6377350	Company name and address. Numeric list. [electronic resource]	Petroleum industry and trade--Alberta--Directories.;
resrepalbag1997iss2	1709165	Research report / [electronic resource] Alberta Agricultural Research Institute.	Agriculture--Research--Alberta--Periodicals.;
promotiontestsgr02albe	675132	Promotion tests, grade VIII, 1936. [electronic resource]	Examinations--Alberta--Questions.--Juvenile literature.--Achievement tests--Alberta--Questions.--Juvenile literature.;
enviroviews2n2	541520	Environment views. [electronic resource]	Environmental protection--Alberta--Periodicals.--Pollution--Environmental aspects--Alberta--Periodicals.;
legislativeassem00albe_9	801678	Legislative Assembly estimates. [electronic resource]	Alberta.--Legislative Assembly--Appropriations and expenditures--Periodicals.--Alberta--Appropriations and expenditures--Statistics--Periodicals.;
goingfurtherbuil00hutt	2659558	Going further : [electronic resource] building on a framework for reform / Committee on Collaboration and Innovation.	Health planning--Alberta.--Medical care--Alberta.--Health care reform--Alberta.--Medical policy--Alberta.;
publicadministra00albe_0	4018895	Public administration industry, 2007. [electronic resource]	Administrative agencies--Employees--Supply and demand--Alberta.--Administrative agencies--Employees--Supply and demand--Alberta--Forecasting.--Employment forecasting--Alberta.--Labor market--Alberta.--Labor supply--Alberta.--Alberta--Officials and employees--Supply and demand.--Alberta--Officials and employees--Supply and demand--Forecasting.;
floodofjuly1986i00albe	959852	Flood of July 1986 in the Paddle River Basin. [electronic resource]	Floods--Alberta--Paddle River Region.--Floods--Alberta--Little Paddle River.--Paddle River Basin (Alta.);
resrepalbag1991_08	6495901	Research report / [electronic resource] Alberta Agriculture.	Agriculture--Research--Alberta--Periodicals.;
westgraintransp1990_91	1406653	Western Grain Transportation Act statutory grain freight rates, Alberta to Vancouver/Prince Rupert and Thunder Bay ... crop year. [electronic resource]	Grain--Alberta--Transportation--Statistics--Periodicals.--Grain--Canada, Western--Transportation--Statistics--Periodicals.--Railroads--Canada, Western--Rates--Periodicals.--Freight and freightage--Canada, Western--Periodicals.;
grade12diplomae2000albe_2	1761209	Grade 12 diploma examination. English 33. Part B, Reading (Multiple choice). [electronic resource]	English language--Alberta--Examinations, questions, etc.--Periodicals.--English literature--Alberta--Examinations, questions, etc.--Periodicals.--Twelfth grade (Education)--Alberta--Examinations--Periodicals.--Examinations--Alberta--Periodicals.;
departmentalexam30albe_3	1944044	Departmental examinations, [grade 12] 1965, supplemental. [electronic resource]	Examinations--Alberta--Questions.;
permno88no280_289	6356993	Permit no. [electronic resource]	Natural gas--Alberta.--Natural gas pipelines--Alberta.--Coal mines and mining--Alberta.;
programsforsenio00albe_3	753258	Programs for seniors / [electronic resource] [Alberta Social Services and Community Health, Senior Citizens Bureau].	Older people--Services for--Alberta--Periodicals.--Older people--Services for--Alberta--Directories.;
healthsafetytool00cana_0	4025964	Health and safety tool kit for small business. [electronic resource]	Small business--Alberta--Handbooks, manuals, etc.--Industrial hygiene--Alberta--Handbooks, manuals, etc.--Industrial safety--Alberta--Handbooks, manuals, etc.;
familyviolencein00nort	607952	Family violence in northern Alberta : [electronic resource] addressing the issues / Northern Alberta Development Council.	Family violence--Alberta--Prevention.;
determinationoff00inno_0	1369558	Determination of foundation drain flow resulting from rainstorms / [electronic resource] prepared by CH2M Hill Engineering Ltd.	Drainage, House.--Roof drainage.--Flood damage prevention.;
companiesalberta00albe_0	1999207	Companies--Alberta. [electronic resource]	Corporations--Alberta--Directories.;
newslinealbertar118albe	3447122	Newsline. [electronic resource]	Alberta Research Council--Periodicals.;
potentialforcoge00orma	831455	Potential for cogeneration and generation from waste in Alberta : [electronic resource] final report / prepared by: Applied Decision Analysis; Synergic Resources Corporation.	Cogeneration of electric power and heat--Alberta.--Electric power production--Alberta.--Waste heat.--Waste products as fuel--Alberta.--Refuse as fuel--Alberta.;
quickfactsabouta00albe	4152000	Quick facts about alcohol, tobacco, other drugs, and problem gambling. [electronic resource]	Alcohol--Physiological effect.--Tobacco--Physiological effect.--Drugs--Physiological effect.--Compulsive gambling.;
curriculumexpre1201albe_2	4212050	Curriculum express for parents. Grade 1. [electronic resource]	Elementary schools--Alberta--Curricula.;
nativeeducationi00albe_0	454407	Native Education in Alberta / [electronic resource] Committee on Tolerance and Understanding.	Students--Alberta--Attitudes.--Indians of North America--Alberta--Education.--Prejudices--Alberta.;
sustainabledevel00miis_0	3969396	Sustainable development : [electronic resource] a review of current literature / prepared for Alberta Environment by the Miistakis Institute for the Rockies and the University of Calgary, February 2004.	Sustainable development--Alberta, Southern.--Ecosystem management--Alberta, Southern.--Landscape ecology--Alberta, Southern.--Environmental management--Alberta, Southern.--Natural areas--Alberta, Southern.;
withinourborders00albe_42	407869	Within our borders. [electronic resource]	Alberta--Periodicals.;
mappingcharacter00turc	2196150	Mapping and characterization of cutover peatlands for reclamation planning / [electronic resource] by L.W. Turchenek, W.S. Tedder and R. Krzanowski.	Soil mapping--Alberta.--Peatlands--Alberta.--Reclamation of land--Alberta.;
socialstudies30d1993albe	797862	Social studies 30 diploma examination results. [electronic resource]	Social sciences--Alberta--Examinations--Statistics--Periodicals.--Examinations--Alberta--Statistics--Periodicals.;
overviewof2003pe00byrt	4188470	Overview of 2003 pesticide sales in Alberta / [electronic resource] Gary Byrtus.	Pesticides industry--Alberta.--Pesticides--Alberta.;
pelicansprucemil00albe	577079	Pelican Spruce Mills Ltd. forest management agreement planning and harvesting ground rules. [electronic resource]	Pelican Spruce Mills Ltd.--Forest management--Alberta.--Forest policy--Alberta.;
consensusofcosts00andr_0	782418	A consensus of costs and returns for barley, wheat, canola (airseeder used for fertilizing and seeding) in the Vegreville district / [electronic resource] by Lloyd Andruchow.	Barley--Alberta--Vegreville Region.--Wheat--Alberta--Vegreville Region.--Canola--Alberta--Vegreville Region.;
albertaoilsa1993	1880359	Alberta oil sands annual statistics / [electronic resource] ERCB.	Oil sands--Alberta--Periodicals.--Oil sands--Alberta--Statistics--Periodicals.--Oil sands industry--Alberta--Periodicals.--Oil sands industry--Alberta--Statistics--Periodicals.;
trafficlawsforfa00sack_0	2338992	Traffic laws for farm vehicles and implements. [electronic resource]	Traffic regulations--Alberta.--Trucks--Safety regulations--Alberta.--Farm equipment--Safety regulations--Alberta.;
tobaccobasicshan00jahr	4152613	Tobacco basics handbook / [electronic resource] [prepared by Jesse Jahrig, Kenna Ranson, Brenda Maire].	Tobacco use.--Smoking.--Smoking--adverse effects.;
abstatrev1991qu4	762565	Alberta statistical review. [electronic resource]	Alberta--Statistics--Periodicals.--Alberta--Economic conditions--Periodicals.;
fallryeproductio00unse_0	4332076	Fall rye production. [electronic resource]	Rye--Alberta.;
4hcomputerprojec00albe	6086735	4-H computer project III : [electronic resource] using computers in 4-H projects.	Computers--Problems, exercises, etc.--Computers--Study and teaching.--4-H clubs.;
oilprorationdata00albe_8	6625299	Oil proration data. [electronic resource]	Petroleum--Alberta--Statistics--Periodicals.;
windowsofopportu00pool_0	3041639	Windows of opportunity : [electronic resource] a statistical profile of substance use among women in their childbearing years in Alberta / prepared by Nancy Poole ... [et al.].	Women--Substance use--Alberta--Statistics.--Women--Alberta.--Substance-Related Disorders--Alberta.;
agfile19870427	6502832	Ag file. [electronic resource]	Alberta.--Alberta Agriculture.--Periodicals.--Agriculture--Alberta--Periodicals.;
achievementtesti00albe_1	2565967	Achievement Testing Program information bulletin : [electronic resource] grade 6 mathematics, 1999-2000 school year.	Mathematics--Alberta--Examinations.--Examinations--Alberta.--Achievement tests--Alberta.;
albertamunicipal48albe	2905745	Alberta municipal counsellor. [electronic resource]	;
brachytherapyfor00will	2405619	Brachytherapy for prostate cancer / [electronic resource] Fiona Wills, David Hailey.	Prostate--Cancer--Treatment.--Radioisotope brachytherapy.--Brachytherapy.--Prostatic Neoplasms--therapy.;
permitno1988no14	6356993	Permit no. [electronic resource]	Natural gas--Alberta.--Natural gas pipelines--Alberta.--Coal mines and mining--Alberta.;
departmentalexam30albe_0	1944041	Departmental examinations, [grade 12] 1965. [electronic resource]	Examinations--Alberta--Questions.;
albindusreso1984	497185	Alberta industry & resources. [electronic resource]	Natural resources--Alberta--Periodicals.--Ressources naturelles--Alberta--Périodiques.--Alberta--Industries--Periodicals.--Alberta--Statistics--Periodicals.--Alberta--Periodicals.--Alberta--Industrie--Périodiques.;
annualreport1992albe_3	2181794	Annual report / [electronic resource] Appeals Commission, Workers' Compensation Act--Alberta.	Alberta.--Appeals Commission--Periodicals.--Workers' Compensation Board--Alberta--Periodicals.--Workers' compensation claims--Alberta--Periodicals.--Workers' compensation--Alberta--Periodicals.--Employers' liability--Alberta--Periodicals.;
permitno1986no5	6356993	Permit no. [electronic resource]	Natural gas--Alberta.--Natural gas pipelines--Alberta.--Coal mines and mining--Alberta.;
examenenvuedudip00albe_22	1793996	Examen en vue du diplôme 12e année. Etudes sociales 33. [electronic resource]	Sciences sociales--Alberta--Examens--Périodiques.--Douzième année (Éducation)--Alberta--Examens--Périodiques.--Examens--Alberta--Périodiques.;
finalreportrecom00albe	2609415	Final report and recommendations on farm property assessment issues / [electronic resource] MLA Farm Property Assessment Review Committee.	Farms--Taxation--Alberta.--Property tax--Alberta.--Tax assessment--Alberta.--Farms--Valuation--Alberta.;
198384albertadow00mane_0	768918	1983/84 Alberta downhill ski market analysis / [electronic resource] prepared for Travel Alberta by: Manecon Partnership.	Downhill skiing--Alberta.--Skis and skiing--Alberta.--Ski racing--Alberta.;
permno87no116	6356993	Permit no. [electronic resource]	Natural gas--Alberta.--Natural gas pipelines--Alberta.--Coal mines and mining--Alberta.;
supportingsafese00albe	2168147	Supporting safe, secure and caring schools in Alberta. [electronic resource]	School violence--Alberta--Prevention.--Students--Alberta--Attitudes.--Students--Alberta--Conduct of life.--Student ethics--Alberta.;
abstatrev1987qu3	762565	Alberta statistical review. [electronic resource]	Alberta--Statistics--Periodicals.--Alberta--Economic conditions--Periodicals.;
agrinews00albe_48	2010660	Agri-news. [electronic resource]	Agriculture--Alberta--Periodicals.;
electricalsafety00albe_0	1376317	Electrical safety requirements for installation in oil and gas fields. [electronic resource]	Petroleum industry and trade--Alberta--Safety regulations.--Petroleum pipelines--Electric equipment--Protection--Standards--Alberta.--Oil fields--Equipment and supplies--Protection--Standards--Alberta.--Electrical engineering--Standards--Alberta.--Electrical engineering--Alberta--Safety measures.--Electric apparatus and appliances--Protection--Standards--Alberta.;
boarddeci1985	777307	Board decisions. [electronic resource]	Petroleum law and legislation--Alberta--Cases.--Natural gas--Law and legislation--Alberta--Cases.--Natural resources--Law and legislation--Alberta--Cases.;
sustainingalbert00albe_1	2193885	Sustaining the Alberta advantage through science and research : [electronic resource] 1997/98 accomplishments of the Alberta Science and Research Authority.	Research, Industrial--Alberta.--Science and state--Alberta.--Technology and state--Alberta.--Alberta--Economic conditions.;
municipaldistric00albe_0	3091375	Municipal District of Bonnyville #87 : [electronic resource] lake planning framework / prepared by Planning Branch, Alberta Municipal Affairs.	Regional planning--Alberta--Municipal District of Bonnyville.--Lakes--Alberta--Municipal District of Bonnyville--Recreational use.--Bonnyville (Alta. : Municipal district);
