typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Person	Cowan, J.			
Person	Cox, Thomas			
Person	Coy, Clive			
Person	Coyne, James H.			
Person	Cragg, Lawrence Harold			
Person	Craig, J. D.			
Person	Cramp, Donald A.			
Person	Crawford, Bob			
Corporate body	Creative Services			
Person	Critchley, Harry Ford	[ 19-- ] - 1991	Mr Critchley graduated from the School of commerce in 1930 and was for most of his career, an executive with Crown Lumber, Calgary. During World War II he served with the Calgary Highlanders, attaining the rank of Lieutenant Colonel. among his honours was the MBE, awarded by King George VI.	
Person	Croll, Norman H.			
Person	Crossley, Desmond Ivan	1910 - 1986	Des Crossley graduated from the Faculty of Forestry, University of Toronto in 1935, and received his MSc from the University of Minnesota in 1940. He served as a tree planting supervisor in Saskatchewan, 1935-1940; in the Royal Canadian Air Force, 1940-1945; as a Forest Research Officer, 1945-1955; and as chief forester for North Western Pulp and Power, Ltd., 1955-1975. Mr. Crossley was an active member of the Canadian Institute of Forestry as well was other professional associations. His area of expertise centred on siviculture and forest management.	
Person	Croutze, Randall			
Person	Crozier, Jean			
Corporate body	CTV Television Network			
Person	Cumming, F.W.C.			
Person	Cumming, Steve			
Corporate body	Curriculum Library			
Person	Curtis, Doug			
Corporate body	CUSO			
Person	Cuthbert, Chester			
Person	Cutler, Garnet Homer			
Person	Cutt, Margaret Nancy			
Person	Cutt, William Towrie	1898 - 1981	Scottish-born William Towrie Cutt graduated from the University with BEd and MA degrees. Besides working in Alberta as a teacher from 1928 to 1963, he was an author of books for young people. His titles include On the Trail of Long Tom(1970), Seven for the Sea (1972), and Faraway World(1977).	
Person	Dafoe, Arline			
Person	Dahlgren, Dorothy			
Person	Dalby, Ronald Norman			
Person	Dancik, Bruce P.			
Person	Dancik, D			
Person	Daniel, Edwin Embrey	[ 19-- ] -	E.E.Daniel was professor of Pharmacology, 1961 to 1972, he left the University in 1977. He serves as President of the Association of the Academic Staff of the University of Alberta, 1966-1967, and was coordinator the University's Interdisciplinary Committee of Environmental Quality.	
Person	Darling, A.L.			
Person	Davenport, Paul			
Person	Davey, R.			
Person	Davey, Ronald			
Person	Davidson, Audrey			
Person	Davidson, W.M.			
Person	Davies, Scott			
Person	Davis, Charles			
Person	Davis, Wendy			
Person	Davy, Grant R.			
Person	Dawson, A.S.			
Person	Day, John Patrick			
Person	Day, Moira J.			
Person	de Luna, Barbara Nielson			
Person	De Valk, Alphonse A. M			
Corporate body	Dean of Education			
Corporate body	Dean of Faculty of Education			
Corporate body	Dean of Faculty of Medicine			
Corporate body	Dean of Men and Foreign Student Advisor	1960 - 1975	Dean of Men and Foreign Sudent Advisor Had teh responsibility to advise and assist male students, to supervise fraternities and to assist with student discipline. The Office acted as coordinator for Canadian University Services Overseas (CUSO) and the Canadian International Development Agency. The functions of the office were assumed by the Office of the Dean of Students in 1976.	
Corporate body	Dean of Science			
Corporate body	Dean of Students			
Corporate body	Dean of Women			
Person	Deane, Richard		Captain RNWMP	
Corporate body	Deans' Council	1942 -	The Deans council is an advisory body to the President , the Board of Governors, and to General Faculties council. It consists of the President, the Vice-Presidents, the Dean of each faculty, the director of the school of Native studies, the Registrar and the chief Librarian.  The Council has also been delegated powers to act on some matters regarding discipline and administration. The President sits ex officio as head.	
Person	Dechaine, Catherine			
Person	Deedrick, Brian			
Person	DeFelice, James			
Person	Defelice, James			
Corporate body	Delta Delta Delta. Canada Gamma Chapter	1932 - 1960	The sorority aimed to develop social graces, improve scholarship and otherwise provide a facet of education not available in the classroom, to female students at the University of Alberta. The Canada Gamma chapter formed the Canada Gamma House Association in 1947 to acquire and manage real estate and personal property for the Chapter. The Canada Gamma Scholarship was endowed by the sale of the Chapter's house and assets.	
Person	Denis, J.S.			
Person	Denis, James S.			
Person	Denis, James Stanely	[ 19-- ] -	Mr. Denis has degrees in Chemical Engineering (University of Alberta, 1949) and Industrial Management (Carnegie Institute of Technology, 1961). He has been president of MHG International and Moneco Offshore Ltd. and assistant director of the contracting group for the Alsands Project. Since his retirement in 1986 he has been a consultant and is active in the Association of Professional Engineers, Geologists and Geophysicists in Alberta (APEGGA).	
Person	Denison, Wes			
Person	Dennis, John Stoughton			
Person	Dennis, Thelma			
Corporate body	Dental Hygiene			
Corporate body	Dental Undergraduate Society			
Corporate body	Dentistry Continuing Education			
Corporate body	Department of			
Corporate body	Department of Accountancy	1914 - 1928	Beginning as the Department of Accountancy (1914) and later as the School of Commerce (1928) in the Faculty of Arts and Science, the Faculty of Business gained faculty status in 1960 as the Faculty of Commerce (later Business Administration and Commerce) before acquiring it's current name in 1982. It's purpose is to provide teaching, research, and scholarship in addition to academic and professional services related to commerce and business administration. Comprising the Faculty are the following departments: Accounting, Finance and Management Science, Marketing and Economic Analysis, Organizational Analysis. The Management Advisory Institute is sponsored by the Faculty.	
Corporate body	Department of Adult, Career and Technology Education	1962 -	Formerly the Department of Industrial Arts and vocational education, The purpose of this department is to prepare vocational teachers for secondary schools and to train facilitators in education for adults, for responsibilities in school or non- school settings.	
Corporate body	Department of Advancement Services			
Corporate body	Department of Agricultural Ecomomics and Farm Management	1961 - 1969		
Corporate body	Department of Agricultural Economics and Rural Sociology	1969 - 1975		
Corporate body	Department of Agricultural Engineering	1920 - 1991	The Department of Agricultureal Engineering provided instruction in agricultural engineering, engineering agrology, forest operations and wood science at the undergraduate and graduate level; to conduct research revelent to agriculture and forestry in Alberta and Canada; to exchange information with the public through technology transfer, and to participate in the activities of professional and technical socities (PACCR, 1986).    The department closed in 1991.	
Corporate body	Department of Agricultural Food and Nutritional Science			
Corporate body	Department of Agriculture, Forestry and Home Economics			
Corporate body	Department of Anaesthesia			
Corporate body	Department of Anatomy	1914 -	The Department of Anatomy originated with the establishment of the Faculty of Medicine, initially teaching all aspects of anatomy to undergraduate medical students, then particitpating in post-graduate medical education, and gradually accepting responsibility for teaching in other faculties, mainly in a service role.     In 1986, the Department's name was changed to the Department of Anatomy and Cell Biology to reflect changes in the teadching and scientific programs, and to indicate its objective to increase research in the field of cell biology.	
Corporate body	Department of Anatomy and Cell Biology	1914 -	The Department of Anatomy originated with the establishment of the Faculty of Medicine, initially teaching all aspects of anatomy to undergraduate medical students, then participating in post-graduate medical education, and gradually accepting responsibility for teaching in other faculties, mainly in a service role (PACCR, 1981).    In 1986, the Department's name was changed to the Department of Anatomy and Cell Biology to reflect changes in the teaching and scientific programs, and to indicate its objective to increase research in the field of cell biology.	
Corporate body	Department of Anesthesia			
Corporate body	Department of Anesthesiology and Pain Medicine			
Corporate body	Department of Animal Husbandry	1917 - 1942	The formation of the department of Animal Science was through the amalgamation of three former departments in the Faculty of Agriculture: Animal Husbandry (founded in 1917) Veterinary Science (1918) and Poultry Husbandry (1928).	
Corporate body	Department of Animal Science	1942 -	This department offers coursework in animal physiology, genetics, biochemistry, nutrition and related topics necessary to teach students to solve problems in animal production. It was formed through the amalgamation of three former departments in the Faculty of Agriculture: Animal Husbandry (founded 1917), Veterinary Science (1918) and Poultry Husbandry (1928). Besides preparing undergraduates with career- related training, the Department offers graduate work leading to MSc of PhD degrees.	
Corporate body	Department of Anthropology	1963 -	Anthropology was introduced in the late 1950s within the Department of Philosophy and Psychology. In 1963 the joint Department of Sociology and Anthropology was established, and by 1966 two separate departments were formed.    The department's personnel, facilities, teachings function, and research emphasis are organized around four programs:  1. archaeology and paleoenvironmental studies;   2. physical anthropology and primatology;   3. culture contact, development and world problems;   4. symbolic, linguistic and cognitive analysis (PACCR, 1986)	
Corporate body	Department of Applied Sciences in Medicine			
Corporate body	Department of Art and Design	1945 -	The first Department of Fine Arts was established in the province in 1945. Visual arts, music and drama were included under the headship of Henery George Glyde. In 1962 the BFA program in art was introduced; 1965 saw the establishment og the Department of Art and Design, and by 1970/71 an MFA Program was instituted.    The Department's present structure was developled between 1967 and 1974. courses are offered in the thre major areas of Art, Design and History of Art and Design (PACCR, 1982).	
Corporate body	Department of Athletics	1986 -	Preceded by the Division (1971- 1975) and Department (1975- 1986) of Athletic Services the Athletics Department's programs are recreational, not academic. It administers intercollegiate athletics and campus recreation, as well as providing community service through summer sports camps for youth.	
Corporate body	Department of Biochemistry			
Corporate body	Department of Biological Sciences		The Department of Biological Sciences came into existence with the merger of five former departments (Botany, Entomology, Genetics, Microbiology and Zoology) on July 1, 1994. What occurred on July 1, 1994 was actually a 2-step merger. Discussions on the merger between the Department of Entomology in the Faculty of Agriculture, Forestry and Home Economics and the Department of Zoology in the Faculty of Science was already well on its way when the decision to merge all five departments was made. The Departments of Entomology and Zoology merged first into a “new Department of Zoology”, bringing Entomology into the Faculty of Science; this “new Department of Zoology” then merged instantaneously with Botany, Genetics, and Microbiology forming the Department of Biological Sciences.      Although the Department of Biological Sciences is relatively young, the history of its constituents can be traced back to the early years of the University of Alberta. A Department of Biology already existed by 1912 at the University of Alberta in the then Faculty of Arts and Science. In 1921, the Departments of Zoology and Botany were formed from this Department of Biology. So in some ways, history has come “full-circle” with the 1994 merger. The former Department of Entomology was formed in 1922 in the Faculty of Agriculture. The Department of Genetics was formed in October 1, 1961 in the Faculty of Agriculture, and moved into the Faculty of Science in 1966. The former Department of Microbiology started in1957 as a Division in the Department of Bacteriology, in the Faculty of Medicine and moved into the Faculty of Science in 1963 and becoming a department. Thus, the Department of Biological Sciences can trace some of its roots to three different faculties on campus.      The Department of Biological Sciences and its former entities have always been heavily involved in undergraduate teaching for students in science, medicine and agriculture. In addition to undergraduate teaching, graduate student training has also been a valued tradition. The Department of Biology graduated its first MSc student in 1916 (Gwendelyne Tuttle; supervisor: F. Lewis). By the end of 1994, the five former departments have graduated a total of 1168 graduate students. This tradition continues in the Department of Biological Sciences with 261 MSc and 168 PhD theses successfully completed from January 1, 1995 to February 28, 2004.      Since its formation in 1994, the Department of Biological Sciences has continued to build on the excellence inherited from the former departments.	
Corporate body	Department of Botany	1922 -	The subject of botany was through th eDepartment o Botany was taught through the Department of Biology from 1912 until 1922 when its own department was established. Its facilities include herbaria, a phytotron and access to the Devonian Botanic Gardens. One of the Department's extensive research programs was a five-year study of the ecosystem of Devon Island, Northwest Territories, in conjunction with the International Biological Programme's Tundra Biome Project.	
Corporate body	Department of Chemical and Petroleum Engineering	1946 -	Chemical engineering courses were offered in the Department of Chemistry from 1926 until 1946 when a separate department was created in the Faculty of Applied Science. Two years later the department was combined with the petroleum engineering discipline but once again separated into the Department of Chemical Engineering in 1973.	
Corporate body	Department of Chemical Engineering	1946 -	Chemical engineering courses were offered in the Department of Chemistry from 1926 until 1946 when a separate department was created in the Faculty of Applied Science. Two years later the department was combined with the petroleum engineering discipline but once again separated in to the Department of Chemical Engineering in 1973. The Department aims to contribute to the development of Alberta's resources and industry and maintain teaching and research worthy of international recognition by training chemical engineers on the undergraduate level for professional practice and by conducting graduate, continuing education, research, and technology transfer programs.	
Corporate body	Department of Chemistry	1909 -	In existence since the beginning of the University, the Chemistry Department has evolved since the 1950s from principally a teaching role into a research and teaching unit. In addition to undergraduate and graduate instruction, the Department has conducted research in fields including natural resources, biochemistry, analytical chemistry, and physical chemistry.	
Corporate body	Department of Civil Engineering	1913 -	Civil engineering was taught in the Faculty of Arts and Science through the department of Applied Science form 1908 until 1913, when it became the Department of Civil and Municipal Engineering in the new Faculty of applied Science. The Department received its current designation in 1959. its objectives are to establish excellence in its staff and in undergraduate teaching; to maintain a graduate program that allows for specialization in one field while enhancing research abilities and professional development; and to advance the profession through research and technology transfer (PACCR, 1987).	
Corporate body	Department of Classics	1908 -	The Department of Classics was formally established in 1926, but the study of Classics was formally established in 192, but the study of Classics at the university actually began in 1908 with Dr. Tory's appointment of William Alexander Hardy as Professor Classics. Courses in Greek and Roman history, art, archaeology, technology, myth, and religion are offered by the Department. Of particular note is the summer program in particular archaeology held at various sites in Italy.	
Corporate body	Department of Clothing and Textiles	1965 -	This program in Home Economics is concerned with clothing, textiles and housing, allowing specialization in textiles and apparel merchandising, history, and conservation. The Department was the Secretariat for the Apparel Studies Association of Canada Inc. from 1973 to its dissolution in 1988.	
Corporate body	Department of Comparative Literature			
Corporate body	Department of Computing Science	1964 -	The first computer services at the University were provided by the Committee on Electronic Equipment (1957) and the Computing Centre (1958-1970) before the Department of Computing Science, an academic unit, was founded in 1964. Significant areas of research conducted in the Department include artificial intelligence, networks, databases, graphics, and computer chess.	
Corporate body	Department of Computing Services			
Corporate body	Department of Dairy and Food Science	1961 - 1964		
Corporate body	Department of Dairy Science	1959 - 1961		
Corporate body	Department of Dairying	1921 - 1959		
	Department of Dentistry			
Corporate body	Department of Drama	1945 -	The Department of Fine Arts, established in 1945, included drama, music and visual arts. The BA Drama Program was instituted in 1958; the Department of Drama in 1965; the BFA program in 1967; and master's programs in 1968 and 1977.    The Department's objectives are to graduate students who are prepared to take an active role in the world of theatre; to contribute to the broader culture and social environment of the city, and to the theatrical and cultural context of Canada.  The records were created by Department- run production theatres. Studio Theatre was established in 1949, and drew upon local actors as well as drama students for the casts. When the BFA and MFA programs were introduced, Studio Theatre began to serve primarily as a showcase for student work in the professional training programs.    Beginning in 1962, the Torches outdoor theatre ran summer seasons until 1972.	
Corporate body	Department of Economics	1915 -	The Department of History and Political Economy was established in 1915/16, offering one course in economics and a moderate variety in history. In 1920-21 the department split and the new Department of Political Economy emerged, offering fourteen courses. Political economy split into departments of Economics and Political Science in 1964.   The Department has three main academic tasks: to cultivate economics as a branch of civilized knowledge; to provide economics courses as part of the training in various professional programs; and to train economists as professionals in their right through its graduate and honours programs. (PACCR, 1981).	
Corporate body	Department of Education			
Corporate body	Department of Educational Administration	1956 -	The Department's goals are to provide graduate programs and contribute to the teacher education program in the Faculty of education while conducting research and offering professional services to educators and educational institutions. Included in its mandate is assisting other countries with developing their educational administrative systems (PACCR, 1983).	
Corporate body	Department of Educational Foundations	1961 -	This department is concerned with examining the history, function and purpose of educational institutions, spanning such disciplines as history, anthropology, sociology and philosophy and incorporating the study of comparative, community, intercultural and international education. For undergraduates, it offers coursework on the theories and methodologies regarding schools and good teaching, and for graduate students it helps develop expertise in one of the areas of study under its purview (PACCR, 1984).    The Department supports the John Sandercock Library, The Centre for International Education and Development, and publication of the Canadian Journal of Native Education.	
Corporate body	Department of Educational Psychology	1950 -	The department focuses it's teaching and research on three areas: counseling and school psychology, special education (e.g. handicapped and gifted students), and basic educational psychology. Although it contributes to teacher training on the undergraduate level, it has increasingly directed its resources towards its graduate program, Among the services it has provided are the Educational Clinic, Educational Research Services, Test Library, and the Developmental Disabilities Centre.	
Corporate body	Department of Electrical Engineering	1914 -	Instruction in this discipline was the responsibility of a division of the Department of Physics in the Faculty of Arts and Science from 1914 to 1925, when it became part of the Faculty of Applied Science in its own department. Its education program attempts to provide the fundamentals of electrical engineering at the same time that it allows specialization in a variety of sub-disciplines, particularly for those students pursuing graduate work leading to an MEng, MSc or PhD degree. Some areas of research being conducted include biomedical engineering, lasers, and communications technology (PACCR,1985).	
Corporate body	Department of Elementary Education	1950 -	The department's range of responsibilities includes the instruction of elementary school teachers, graduate program supervision, research, and publications. It also serves the University and educational community at large, participating on committees, providing workshops and presentations at conferences, and acting as a consultant for various educational organizations(PACCR, 1985).	
Corporate body	Department of Emergency Medicine			
Corporate body	Department of English	1908 -	The Department of English was one of the first original departments established in 1908. It's first professor, Edmund Kemper Broadus, was faced with the task of setting the standard and program for entering students. From the start, the department had the important service function of training students of every faculty to write, and of giving them an acquaintance with literature.    The department offers a broad range of courses in literature and language, and offers specialization in the areas of Canadian Literature (especially prairie fiction), and creative writing. The English Honours program is the largest in the Faculty of Arts.	
Corporate body	Department of Entomology	1922 -	In addition to teaching the application of scientific principles to the solution of agricultural and forestry problems, and through research, the acquiring of new knowledge... the department covers the major fields of entomology [and is } especially mindful of the importance of a strong program of graduate study (PACCR, 1987).    Among the aspects of insect biology studied are morphology, development, physiology, genetics, biochemistry, insect/plant relationships and population biology.	
Corporate body	Department of Extension			
Corporate body	Department of Family Studies	1965 -	"Family Studies offers teaching and research on the family of the past and present. Undergraduates may choose a general home economics route or family studies route, both of which include a work experience component in addition to coursework. Master's students may specialize in family studies, family life, education, and consumer studies. The department had become involved with international projects, such as the Joint Family development Center (""Brazil"") Project with the University of Ceara in Fortaleza, which aims to improve living conditions in urban slums."	
Corporate body	Department of Field Crops			
Corporate body	Department of Field Husbandry			
Corporate body	Department of Food Science	1921 -	Instruction in dairy production was administered by a department known successively as Dairying (1921 - 1961). To reflect a widening of scope it was renamed the Department of dairy and Food Science (19610 before taking its current designation in 1964. The sole source of food science is education in Alberta, the Department offers teaching, research, extension and professional activities related to food production, processing and microbiology (PACCR, 1984)	
Corporate body	Department of Foods and Nutrition			
Corporate body	Department of Forest Science	1970 -	The Department offers courses leading to a BSc (Forestry) as well as to graduate degrees in forest science and a specialized MSc degree in Wildland Recreation. The department aims to train foresters with the ability to apply current knowledge and adapt new information to practice forestry competently; and to foster graduate studies and research; encourage technology transfer through extension programs; and to cooperate with industry, government and other university departments in order to increase teaching and research opportunities (PACCR,1983).	
Corporate body	Department of Genetics		The Faculty of arts and Science was the first faculty organized at the University, by a resolution of the first meeting of the Senate in March 1908. Dr. W. A. R. Kerr was named Dean in 1914. In 1963 the Faculty was divided: humanities and social sciences were assigned to the new Faculty of Arts; natural sciences to the new Faculty of Science.     Dr. W.A.R Kerr arrived to teach Modern Languages in 1909, a nd became the first Dean of the Faculty of Arts and Science in 1914. The Dean acted for the President during his absences from campus, chaired many major committees, and was actively involved in the development of the University. Before the advent of the department chairs, the Dean's Office handled every aspect of the entire faculty. The Council of the Faculty was forerunner of the General Faculties Council, Which is now the academic governing body of the University.    The Departments that make up the Faculty of Science are: Botanyk, Chemistry, Computing Science, Genetics, Geography, Geology, Mathematics, Microbiology, Physics, Psychology, Statistics and Applied Probability, and Zoology.	
Corporate body	Department of Geography	1957 -	Originally a division of the Department of Political Economy, the Department of Geography offers programs in both the Faculty of Science and the Faculty of Arts in the areas of physical, applied and human geography, as well as a specialization stream in meteorology.    The Department is equipped for research in cartography, biogeography, geomorphology, meteorology and hydrology. it is co- sponsor of the Canadian Circumpolar Institute (formally the Boreal Institute for Northern Studies) and supports the University Map Collection.	
Corporate body	Department of Geology	1912 -	One of the early departments at the University, the Geology Department's surveys of the geology and stratigraphy of Alberta contributed to the development of the province's natural resources. In addition to undergraduate and graduate studies in geology, the Department offers and undergraduate program in palaeontology in cooperation with the Department of Zoology. Researchers in the Department have done work in fields such as ore geology, invertebrate and vertebrate palaeontology, stratigraphy and isotope geochemistry.	
Corporate body	Department of Germanic Languages			
Corporate body	Department of Germanic Languages, Literature and Linguistics			
Corporate body	Department of Health Services Administration and Community Medicine			
Corporate body	Department of Health Services and Administrrative and Community Medicine	[ 1952 ] -	The establishment of a separate Department of Preventive Medicine was approved by the Board of Governors in 1949/50. Prior to this, instruction in this area was carried out under the Department of Medicine. A Department Hygiene and Preventive Medicine first appeared in the 1952/53 calendar. In 1954, the name was changed to Preventive Medicine, and to the Department of community Medicine in 1966.    Originally, the disciplinary area of Family Medicine, Ambulatory Care and Health Services Administration were placed under the Department, but this structure proved unsatisfactory and a review in 1977 resulted in these becoming free-standing divisions responsible directly to the Dean.    A second review of Community Medicine, in 1981, recommended that Health Services Administration and Community Medicine merge into one department to achieve a greater mass of faculty, space, and budget, with differences in educational programs and goals recognized. The merger was formalized in January 1982.	
Corporate body	Department of History	1908 -	History has become one of the central disciplines in the Faculty of Arts since the University opened it's doors in1908. Dr. Tory, President of the University (and a physicist) took responsibility for its lecture, until 1922. The University's first graduation degree was an MA in History granted in 1911 (PACCR, 1985).  A diverse range of courses, covering the history of much of the world through many different periods, countries, and approaches to the human past, is offered by the Department.	
Corporate body	Department of History and Classics			
Corporate body	Department of Horticulture			
Corporate body	Department of Household Economics			
Corporate body	Department of Human Ecology			
Corporate body	Department of Industrial and Vocational Education			
Corporate body	Department of Justice			
Corporate body	Department of Life Sciences			
Corporate body	Department of Linguistics	1969 -	In 1964, the department of Modern Languages was split into three separate departments, one of which was the Department of Germanic Languages and General Linguistics. A Division of Linguistics was formed in 1968, and a year later it became a department within the Faculty of Science. In 1987 it was placed under the Faculty of Arts.  As a teaching and research department, it is concerned with the experimental testing of formal linguistic models and propositions of general linguistics theory, and with the theoretical problems introduced by such experimental studies.	
Corporate body	Department of Mathematical and Statistical Sciences			
Corporate body	Department of Mathematics	1908 -	In existence since the University's opening classes, the Department of Mathematics offers undergraduate and graduate programs with interdiscplinary components in statistics, physics and computing science, as well as an undergraduate program in the Faculty of Arts. The Department has done active research in areas such as mathematical physics, topology, differential equations and mathematical biology. It is associated with the Applied Mathematics Institute at the University.	
Corporate body	Department of Mechanical Engineering	1958 -	Work in mechanical engineering fell under divisions of the Departments of Civil Engineering and Electrical engineering before its own department was established. Besides preparing students for a professional career through it undergraduate program, the department offers graduate studies leading to MEng, MSc, and PhD degrees , and conducts research and technology transfers in cooperation with government and industry in such areas as mechanics, dynamics and engineering management (PACCR, 1989).	
Corporate body	Department of Medicine	1923 -	In 1923 three clinical professorships were established , one filled by Dr. Egerton Pope in Medicine all existed under the Department of Medicine for administrative purposes, until the early 1950s when they were established as separate departments. In 1956, the University Hospital and other city hospitals were accredited by Royal college of Physicians and Surgeons for teaching of post-graduate students, and by 1959 formalized programs were developed. In 1962, the Department was recognized into a number of divisions, each operating within the geographic confines of its own respective ward at the University Hospital. By 1969 the divisions were : Hematology, Pulmonary Medicine, Endocrinology and Metabolism, Cardiology, Neurology, Gastroenterology, Infectious Diseases and Rheumatology, and General Internal Medicine. Clinical teaching units were introduced at the University and Royal Alexandra Hospitals in 1975. In that same year, the University Hospital's Department of Physical Medicine and Rehabilitation became the Department's 13 division; it separated to become a faculty division in 1979. The Department benefits from grants, fellowships and studentships from Alberta Heritage, Foundation for Medical Research (PACCR, 1984).	
Corporate body	Department of Microbiology		The Faculty of Arts and Science was the first faculty organized at the University, by a resolution of the first meeting of the Senate in March 1908. Dr. W.A.R Kerr was named the Dean in 1914. In 1963 the Faculty was divided: humanities and social sciences were assigned to the new Faculty of Arts; natural sciences to the Faculty of Science.    Courses in the physical sciences provide a core of studies for other faculties, especially Agriculture, Engineering and Medicine. In the subject areas of geography, psychology and linguistics it is possible to obtain a degree in either Arts or Science. The Departments that make up the Faculty of Science are: Botany, Chemistry, Computing Science, Genetics, Geography, Geology, Mathematics, Microbiology, Physics, Psychology, Statistics and Applied Probability, and Zoology.	
Corporate body	Department of Mineral Engineering			
Corporate body	Department of Mining and Metallurgy			
Corporate body	Department of Modern Languages	1908 - 1964	"The Department of Modern Languages was established in 1908 as one of the original members of the Faculty of arts and Science. at first only two courses in French and two in German were offered by the Department's sole member and head, W.A.R. Kerr (who later served simultaneously as Head of the Department and Dean of the Faculty).    In the 1960s, rapid growth was accompanied by far reaching changes in the department's administration and structure. The Department had split itself unofficially into Romance, Germanic, and Slavic Divisions, each with its own ""Division Head"". The formal creation of three separate Departments occurred in 1964 (PACCR, 1981)."	
Corporate body	Department of Movement Education	1968 - 1983	Known as the Department of Educational Services until 1976, this department provided a program for Educational students wishing a specialization in physical education for the elementary school child. in 1980, the Department moved its staff and resources to the Department of Elementary Education in the education Faculty for better service to Education students. It was soon decided, however, that the department in the Education Faculty was duplicating similar coursework in the Physical faculty with a loss of resources and contact from its old association. Thus in 1983, the Department of movement Education combined with the current Department of Physical Education and Sports Studies in the Faculty of Physical Education and Recreation.	
Corporate body	Department of Music	1945 -	The Department of Fine Arts, established in 1945, included music, drama, and visual arts under the leadership of Henry George Glyde. The Bachelor of Music degree was instituted in 1958, and the Master of Music degree in 1968. fine Arts split into its present three departments in 1965.    Over the years, the Department's staff and students have enriched the cultural climate in   Edmonton and its environs through bands, choirs, orchestras, opera productions, radio and television concerts and lectures, and production of new music, to name some examples. The Department cooperates with the Western Bard of Music to provide a comprehensive study syllabus and examination program used widely by music teachers throughout Alberta and Western Canada (PACCR, 1983).	
Corporate body	Department of Occupational Therapy	1960 -	Begun in 9160 as a 3-year diploma program, Occupational Therapy offered its first 4- year diploma program, in 1970 and master's program in 1982 within the Faculty of Rehabilitation Medicine. Besides providing professional training for undergraduates and graduates, it participates in continuing education, research, consultation and professional associations, as well as developing field work experience programs.	
Corporate body	Department of Pediatrics	1956 -	The department of Pediatrics was established, and its first head and professor appointed, in 1956. In the 1970s, the Department worked towards expanding its subspecialty clinical services through the sharing of appointment costs, or having the entire costs assumed by other agencies, namely the W. W. Cross Hospital, the Charles Camsell Hospital, and the University Hospital. It is predominantly from this outside funding that the Department has been able to grow and achieve the clinical expertise to provide the necessary teaching and research in child health and development.     In addition to its teaching and research roles, the Department has played a leading role in the formation of the Northern Alberta Children's Hospital Foundation (PACCR, 1981).	
Corporate body	Department of Pharmacology		"Begun as a department in the Faculty of Medicine in 1914, instruction in pharmacy was established as a School in 1917 and as a Faculty in 1955; the designation ""Pharmaceutical Sciences"" being added in 1968. Besides offering professional training in pharmacy at the undergraduate level it provides graduated programs leading to a Master of Pharmacy, Master of Science and Doctor of Science degress, as well as continuing education courses. Research conducted within the Faculty has included the fields of bionucleonics, medical chemistry and pharmacokinetics."	
Corporate body	Department of Pharmacology	1960 -	In the 1950's it was customary in many North American Universities for Departments of Pharmacology and Physiology to be single departments. This was true of the University of Alberta until 1960, when it was decided that Pharmacology and Physiology should be separated.    The Department of Physiology was Chaired by Dr. Jim Pearce, and Dr. Edwin E. Daniel was recruited from the University of Manitoba to Chair the Department of Pharmacology in 1961. He remained Chair until Dr. John Charnock was appointed in 1972.    The early Department had few pharmacologists: Dr. Charles Nash had previously looked after the pharmacological interests of the combined department, and, of course, moved over to a full-time position in Pharmacology. Dr. Jack Taylor, a toxicologist with a well-developed research interest in anticholinesterases, was also associated with the previous combined Department. Dr. Tim Cameron, an anesthesiologist who was later to become Dean of Medicine at the University of Alberta, soon joined them. As well, Dr. Bill Mahon, a clinical pharmacologist joined the department in 1967. Dr. Gerry Marks joined the Department in 1963, bringing an emphasis on biochemical pharmacology. Drs. George Frank, Rod Reiffenstein and Don MacLeod, all of whom could be characterized as neuropharmacologists, followed him.     During Dr. Daniel's term as Chair, the Department grew to become one of the largest in Canada. On Dr. Daniel's resignation in 1972, the incoming Chair, Dr. John Charnock, had a Department of about 14 academic staff. From 1972-1980, the numbers remained approximately constant, but the advent of, amongst other things, the Alberta Heritage Foundation for Medical Research, permitted the Department to conduct further recruiting in the 1980's. Dr. David Cook was the third Chair of the Department, from 1980-1991. After brief interregnum in which Dr. William Dryden assumed the position of Acting Chair, Dr. Ian Martin, was recruited from Cambridge and became Chair in 1992. Dr. Martin stepped down in 1997. Dr. Alexander S. Clanachan was appointed Acting Chair in 1997, and in January, 1999, was appointed Chair.    Among its alumni, including both academic staff and those who have carried out graduate studies in the Department, are more than a dozen Deans, Department Chairs or Division Directors, five Presidents of the Pharmacological Society of Canada, two Presidents of the Western Pharmacology Society, and many others with successful careers in government, industry and academia.	
Corporate body	Department of Philosophy	1909 -	In 1909 John M. MacEachran (Queen's, Leipzig) came to the University to teach philosophy. That year, three courses were listed under philosophy in the Calendar. four years later, in 1913, the first MA in philosophy was awarded.  In 1933 the department was known as the Department of Philosophy, Psychology and Education, until Education became an independent school in 1934. The department of Philosophy and Psychology divided in 1960. At that time it housed the beginnings of Sociology, which in turn became an independent department in 1961 (PACCR, 1985).	
Corporate body	Department of Philosophy, Psychology and Education	1933 - 1934	In 1933 the department was known as the Department of Philosophy, Psychology and Education, until Education became an independent school in 1934. The department of Philosophy and Psychology divided in 1960. At that time it housed the beginnings of Sociology, which in turn became an independent department in 1961 (PACCR, 1985).	
Corporate body	Department of Physical Education and Recreation			
Corporate body	Department of Physical Plant			
