typeOfEntity	authorizedFormOfName	nameEntry-part	datesOfExistence	history	biogHist	XML file
Corporate body	Alberta Fitness Leadership Certification Association	Alberta Fitness Leadership Certification Association	1984 -		The Alberta Fitness Leadership Certification Association (AFLCA) facilitates the training and certification of fitness leaders and trainers in Alberta. Established in 1984, the association was founded by representatives of fitness agencies who were concerned with the consistency of fitness leadership in Alberta. The delivery of fitness leadership programs is through these agencies, under the guidelines of the AFLCA and its Board of Directors. The AFLCA is an agency-based, not-for-profit association whose operations benefit the represented agencies that deliver the AFLCA training programs. These agencies, in turn, represent their fitness leaders. The AFLCA adopted the guidelines put forth in 1984 by the National Fitness Leadership Advisory Committee (NFLAC). Performance standards were subsequently developed to recommend minimum competencies desired in the trained fitness leader. In 1989, the results of the comprehensive survey of leaders, trainers and agencies led the AFLCA towards the development of a new program model, which included more specialized areas of fitness training and more variety in courses for leaders to explore and agencies to administer. The mandate of AFLCA is to establish and implement specific standards and guidelines that organizations can follow for the training of their fitness leaders, to certify those leaders who have been trained and through that training have met the standards and guidelines established by the Association and to coordinate the standards and guidelines established by the National Fitness Leadership Advisory Committee (NFLAC) and to adjust these standards and guidelines to be most suitable for the fitness leaders of Alberta.	alberta-fitness-leadership-certification-association.xml
Corporate body	Delta Delta Delta. Canada Gamma Chapter	Delta Delta Delta Canada Gamma Chapter	1932 - 1960	The sorority aimed to develop social graces, improve scholarship and otherwise provide a facet of education not available in the classroom, to female students at the University of Alberta. The Canada Gamma chapter formed the Canada Gamma House Association in 1947 to acquire and manage real estate and personal property for the Chapter. The Canada Gamma Scholarship was endowed by the sale of the Chapter's house and assets.	The sorority aimed to develop social graces, improve scholarship and otherwise provide a facet of education not available in the classroom, to female students at the University of Alberta.  The Canada Gamma Chapter formed the Canada Gamma House Association in 1947 to acquire and manage real estate and personal property for the Chapter.  The Canada Gamma Scholarship was endowed by the sale of the Chapter's house and assets.	delta-delta-delta-canada-gamma-chapter-2.xml
Corporate body	Fitness Unit	University of Alberta Fitness Unit	1982 -	The Fitness Unit, which is administered by the department of Physical education and Sports Studies, provides nutrition, fitness appraisals, and counseling to the University and the community. in conjunction with the provincial Department of Recreation and Parks, it administers the Provincial Fitness Resource Cant re which aims to educate Albertans on the importance of a healthy lifestyle . In addition to serving as a graduate studies and research Centre , it manages to certification programs, the Alberta Fitness Leadership Certification Program (AFLCA) and the Alberta fitness Appraisal Certification and Accreditation Program (CASS-FACA) to ensure that fitness leaders and appraisers are properly trained (PACCR, 1987).	The Fitness Unit, which is administered by the Department of Physical Education and Sports  Studies, provides nutrition, fitness appraisals, and counselling to the University and the community.  In conjunction with the provincial Department of Recreation and Parks, it administers the Provincial Fitness Resource Centre, which aims to educate Albertans on the importance of a healthy and active  lifestyle.  In addition to serving as a graduate studies and research centre, it manages two  certification programs, the Alberta Fitness Leadership Certification Program (AFLCA) and the  Alberta Fitness Appraisal Certification and Accreditation Program (CASS-FACA), to ensure that fitness leaders and appraisers are properly trained (PACCR, 1987). Heads: 1982-1987 Arthur Quinney; [1987]-  David Kato.	university-of-alberta-fitness-unit.xml
Person	Majstrenko, Ivan	Majstrenko Ivan			Journalist, Political Activist, [19--]- [198-]. Ivan (Iwan) Majstrenko worked as a journalist in Odessa and Kharkiv, and from 1931 to 1936 he was a lecturer at the Kharkiv Institute of Journalism. Following a period of imprisonment as a political dissident, he immigrated to Germany where he became one of the leaders of the Ukrainian Revolutionary Democratic Party. He served as the editor of the Party's monthly, Vpered from 1946 to 1960. Along with his political activities, Majstrenko wrote several published monographs about political life in the Ukraine under Communism, including Borot'bism; a chapter in the history of Ukrainian communism, which was translated into English by George S. N. Luckyj with the assistance of Ivan L. Rudnytsky.	majstrenko-ivan.xml
Corporate body	Richard Eaton Singers	Richard Eaton Singers	1969 -	Edmonton's premier oratorio choir, founded in 1951, was originally called University Singers. It was renamed in memory of its founding director, Richard S. Eaton, in 1969. It has had a long association with the University of Albert, as the Choir rehearses on campus and draws its music directors from the Department of Music. The Singers, however, have always been an entity separate from the University, drawing members from the general community and receiving funding from other sources.	Edmonton's premier oratorio choir, founded in 1951, was originally called the University Singers. It was renamed in memory of its founding director, Richard S. Eaton, in 1969. It has had a long association with the University of Alberta, as the Choir rehearses on campus and draws its music directors from the Department of Music. The Singers, however, have always been an entity separate from the University, drawing members from the general community and receiving funding from other sources. Directors: 1951-1967 Richard S. Eaton; 1968-1973 Alexandra Munn; 1973-[1982] Larry D. Cook; [1982]-  Leonard Ratzlaff.	richard-eaton-singers.xml
Person	Clark, Karl Adolph	Clark Karl Adolph	1888-10-20 - 1966-12		Chemical engineer, 1888-1966.  Dr. Clark came to Edmonton from Ottawa on the recommendation of President Henry Marshall Tory, to join the staff of the Scientific and Industrial Research Council of Alberta as research professor, based on the University campus. His specific field of investigation was the development of a practical extraction process to be used with the Athabasca oil sands.  He patented his "Processes and Apparatus for Separating and Treating Bituminous Sands" (the hot water process) in 1929. In 1938 Dr. Clark transferred much of his work and teaching to the Department of Mining and Metallurgy, retiring in 1958.	clark-karl-adolph.xml
Corporate body	Department of Economics	University of Alberta Department of Economics	1915 -	The Department of History and Political Economy was established in 1915/16, offering one course in economics and a moderate variety in history. In 1920-21 the department split and the new Department of Political Economy emerged, offering fourteen courses. Political economy split into departments of Economics and Political Science in 1964.   The Department has three main academic tasks: to cultivate economics as a branch of civilized knowledge; to provide economics courses as part of the training in various professional programs; and to train economists as professionals in their right through its graduate and honours programs. (PACCR, 1981).	The Department of History and Political Economy was established in 1915/16, offering one course in economics and a moderate variety in history.  In 1920/21 the Department split and the new Department of Political Economy emerged, offering fourteen courses.  Political Economy split into the Departments of Economics and Political Science in 1964.  The Department has three main academic tasks:  to cultivate economics as a branch of civilized knowledge; to provide economics courses as part of the training in various professional programs; and to train economists as professionals in their own right through its graduate and honours programs.  (PACCR, 1981). Professors: 1920-1929 Duncan A. MacGibbon; 1929-1946 George Alexander Elliott; 1946-1950 Andrew Stewart; 1950-1957 Henry B. Mayo.   Heads: 1957-1964 Eric J. Hanson; 1964-1969 Walter D. Gainer.   Chairs: 1969-1972 Thomas L. Powrie; 1972-1977 Bruce W. Wilkinson; 1977- 1987 Brian L. Scarfe; 1987- Melville L. McMillan.	university-of-alberta-department-of-economics.xml
Person	Corbett, Edward Annand	Corbett Edward Annand	1882 - 1964	"E.A. ""Ned"" Corbett joined the Department of Extension in 1920 and became its Director in 1928. In 1937 he resigned to become Director of the Newly formed Canadian Association for Adult Education.  During his tenure at the University, Dr. Corbett played an important role in the establishment of Canada's first University radio station, CKUA. In 1933 he founded the Banff School of Fine Arts. Dr. Corbett initiated the farm Radio Forum and Citizens' Forum on CBC in the 1940's and later wrote several books describing Alberta scenes and personalities. Corbett Hall at the University of Alberta is named for him."	Educator, Administrator, 1882-1964.  E.A. "Ned" Corbett joined the Department of Extension in 1920 and became its Director in 1928.  In 1937 he resigned to become Director of the newly formed Canadian Association for Adult Education. During his tenure at the University, Dr. Corbett played an important role in the establishment of Canada's first University radio station, CKUA.  In 1933 he founded the Banff School of Fine Arts.  Dr. Corbett initiated the Farm Radio Forum and Citizens' Forum on CBC in the 1940s and later wrote several books describing Alberta scenes and personalities. Corbett Hall at the University of Alberta is named for him.	corbett-edward-annand.xml
Corporate body	Science Association	Science Association University of Alberta	1919 - 1962	An association founded by members of the scientific departments at the University of Alberta, its mandate included the provision of a forum to exchange scientific ideas on campus and a lobby to petition the various levels of government to facilitate scientific research. Its predecessor was the Mathematical club, founded in 1913.	An association founded by members of the scientific departments at the University of Alberta, its mandate included the provision of a forum to exchange scientific ideas on campus and a lobby to petition the various levels of government to facilitate scientific research.  Its predecessor was the Mathematical Club, founded in 1913.	science-association-university-of-alberta.xml
Corporate body	Faculty of Home Economics	University of Alberta Faculty of Home Economics	1918 -	As Household Economics, this discipline was attached to the Faculty of Arts and Science as a department (1918-1927) and a School (1928-1963) before briefly becoming a School in the Faculty of Science(1963-1966). it became an independent school in 1966 and was renamed Faculty of Home Economics in 1976. home Economics studies the physical environment and social nature of people and, through its concern for improving people's daily lives, examines consumer patterns and family dynamics, among other topics. Offering bachelor and masters of science programs, the Faculty comprises three departments (divisions until 1981): Clothing and Textiles, Family Studies, and Food and Nutrition.	As Household Economics, this discipline was attached to the  Faculty of Arts and Science as a department (1918-1927) and a  School (1928-1963) before briefly becoming a School in the Faculty  of Science (1963-1966).  It became an independent School in 1966  and was renamed the Faculty of Home Economics in 1976.  Home  Economics studies the physical environment and social nature of  people and, through its concern for improving people's daily  lives, examines consumer patterns and family dynamics, among other  topics.  Offering bachelor and master of science programs, the  Faculty comprises three departments (divisions until 1981):  Clothing and Textiles, Family Studies, and Foods and Nutrition. Lecturers: 1918-1923 Mabel Patrick.   Directors: 1923-1956 Mabel  Patrick; 1956-1961 Hazel McIntyre; 1961-1976 Elizabeth Empey.  Deans: 1976-1986 Doris Badir; 1986-  Eloise C. Murray.	university-of-alberta-faculty-of-home-economics.xml
Corporate body	Institute of Earth and Planetary Physics	Institute of Earth and Planetary Physics	1970 -	Founded in 9170 with the aid of a grant from the national Research Council, the Institute unites geophysicists in the Departments of Physics, Mathematics and Geology and meteorologists in the Department of Geography. The members of the Institute include academic and technical staff, research associates and graduate students from the four departments. Distinguished researchers are invited each year for short- term visits. Research topics in which Institute members are active include seismology, geomagnetism, palaeomagnetism, plate tectonics, mass spectrometry, space physics, and metrological studies, including studies of atmospheric and oceanic pollution.	Founded in 1970 with the aid of a grant from the National Research Council, the Institute unites  geophysicists in the Departments of Physics, Mathematics and Geology and meteorologists in the  Department of Geography.  The members of the Institute include academic and technical staff,  research associates and graduate students from the four departments.  Distinguished researchers are  invited each year for short-term visits.  Research topics in which Institute members are active  include seismology, geomagnetism, palaeomagnetism, plate tectonics, mass spectrometry, space  physics, and meteorological studies, including studies of atmospheric and oceanic pollution. Heads: 1970-1974 John Arthur Jacobs; 1975-1980 Denis Ian Gough; 1981-1985 George Leslie  Cumming; 1985-  Gordon Rostoker.	institute-of-earth-and-planetary-physics.xml
Person	MacEachran, John Malcolm	MacEachran John Malcolm	1877 - 1971	Dr. J.M. MacEachran joined the University in 1909 as professor and head of the Department of Philosophy and Psychology. In 1914 he was asked to act as provost, a position which had jurisdiction over all matters pertaining to students. As part of his involvement with the Alberta community he was a member of the governments's Eugenics Board from 1929 to 1965.	Philosopher, Psychologist, 1877-1971.  Dr. J.M. MacEachran joined the University in 1909 as  professor and head of the Department of Philosophy and Psychology.  In 1914 he was asked to act  as Provost, a position which had jurisdiction over all matters pertaining to the students.  As part of  his involvement with the Alberta community he was a member of the governmentþs Eugenics Board  from 1929 to 1965.  Dr. MacEachran retired in 1945.	maceachran-john-malcolm.xml
Corporate body	Management Advisory Institute	Management Advisory Institute	1976 -	The Management Advisory Institute acts as a consultant for Alberta business. Its objective is to draw upon the expertise of staff of the University of Alberta and other post-secondary institutions and share it with business, industry and other management consultants, as well as to inform University staff and students about issues in the business community. Staffed by members of the Faculty of Business and assisted by students, the Institute conducts seminars, conferences and research in addition to providing consulting services.	The Management Advisory Institute acts as a consultant for Alberta business. Its objective is to  draw upon the expertise of staff within the University of Alberta and other post-secondary  institutions and share it with business, industry and other management consultants, as well as to  inform University staff and students about issues in the business community.  Staffed by members of  the Faculty of Business and assisted by students, the Institute conducts seminars, conferences and  research in addition to providing consulting services. Directors: 1977-1981 Tom Collier; 1981 William J.C. Stewart; 1982-1985 William A.  Preshing; 1985-  Charles A. Lee.	management-advisory-institute.xml
Corporate body	Chemistry Post-doctoral Association	Chemistry Postdoctoral Association	1974 - [1976]	"Founded in 1952 by Elizabeth Sterling Haynes, the Guild raised funds to support studio, children's and professional theatre in Edmonton. A memorial scholarship was founded by the Guild in Mrs. Haynes' Honours at the time of her death in 1955. From 1955 to 1964 the Guild sponsored an annual production of the ""Canadian Players."" As independent theatre grew rapidly in the 1960s, interest in the guild's activities declined. It closed its books in 1967."	The purpose of this organization was to further the professional and social status of post-doctoral workers in chemistry at the University of Alberta, and of post-doctoral workers in Canada.	chemistry-post-doctoral-association.xml
Corporate body	Alberta Agricultural Alumni Association	Alberta Agricultural Alumni Association	1942 - 1958	The Alberta Agricultural Alumni Association consisted of graduates of the Faculty of Agriculture at the University of Alberta. It organized social events and published a newsletter, the 4A News.	The Alberta Agricultural Alumni Association consisted of graduates of the Faculty of Agriculture  at the University of Alberta.  It organized social events and published a newsletter, The 4A News.	alberta-agricultural-alumni-association.xml
Person	Lewytzkyj, Borys	Lewytzkyj Borys			Journalist, Sovietologist, 1915-1984. Born in Vienna in 1915, Borys Lewytzkyj became well known as a publicist and journalist as chief editor of the newspaper Nove Selo (1936- 1939) in Lviv. During the Second World War, he was active in the Ukrainian Democratic Revolutionary Party (UDRP), led by Ivan Mitringa, which took part in the resistance movement against the German occupants. Emigrating to Munich after the war, Dr. Lewytzkyj became joint-editor of the UDRP organ Vpered from 1949 to 1956, contributing a variety of articles about contemporary life in the USSR.  During his career Dr. Lewytzkyj authored many books and articles on the Ukraine and the Soviet Union, perhaps most notably Politics and Society in Soviet Ukraine1953-1980 (Canadian Institute of Ukrainian Studies: 1984). Dr. Lewytzkyj also operated his own consulting firm in Munich that specialized in Soviet affairs and counted the West German government as one of his clients. Dr. Lewytzkyj died in 1984.	lewytzkyj-borys.xml
Corporate body	Engineering Students' Society	Engineering Students' Society University of Alberta	[1921] -	Founded as the Civil Engineering Club in 1919, the E.S.S aims to promote the social, athletic, intellectual and professional interests of all the engineering students on campus.	Founded as the Civil Engineering Club in 1919, the E.S.S. aims to promote the social, athletic, intellectual and professional interests of all the engineering students on campus.	engineering-students-society-university-of-alberta.xml
Corporate body	Alberta. University Survey Committee	Alberta University Survey Committee	1941 - 1944	The University Survey Committee was created in August 1941 by an Order-in-Council of the Government of Alberta to conduct a comprehensive review of the University' affairs. In particular, the Committee examined the cultural, economic and educational needs of Albertans.   Chaired by Harold H. Parlee, then chair of the University's Board of Governors, the Committee submitted its interim report on January 30, 1942. Committees internal to the University were established to act on the report's recommendations, thus the Survey Committee dissolved with no further formal reports. Many of the Survey Committee's recommendations were inCorporate bodyd into the 1042 revisions of the University Act, while others, such as the creation of an affiliated campus in Calgary, were adopted later.	The University Survey Committee was created in August 1941 by an Order-in-Council of the  Government of Alberta to conduct a comprehensive review of the University's affairs.  In particular,  the Committee examined the University's success in meeting the cultural, economic, and educational needs of Albertans.  Chaired by Harold H. Parlee, then chair of the University's Board of Governors, the Committee  submitted its interim report on January 30, 1942.  Committees internal to the University were  established to act on the report's  recommendations, thus the Survey Committee dissolved with no  further formal reports.  Many of the Survey Committee's recommendations were incorporated into  the 1942 revisions of the University Act, while others, such as the creation of an affiliated campus  in Calgary, were adopted later.	alberta-university-survey-committee.xml
Person	Pierce, Helen Louise	Pierce Helen Louise	[ 19-- ] -	Dr. Pierce taught at various schools throughout Alberta from 1934 until 1942 when she accepted a teaching position in Camrose, which she held until 1967. Between 1967 and 1980 she was a professor of Educational Foundations at the University, specializing in the sociology of education.	Teacher, Educator, [19þ]-  .  Dr. Pierce taught at various schools throughout Alberta from 1934  until 1942 when she accepted a teaching position in Camrose, which she held until 1967.  Between  1967 and 1980 she was a professor of Educational Foundations at the University, specializing in the sociology of education.	pierce-helen-louise.xml
Corporate body	Wauneita Society	Wauneita Society University of Alberta	1909 - 1973	"The Wauneita Society was founded in 1909 as a social organization for all female students. It succeeded the club SIS (seven Independent Spinsters) which consisted of the seven female students who attended the University in its first year of operation, 1908-1909. The Wauneita Club devised its traditions and rituals from the Cree culture (""Wauneita"" means ""kind-hearted""). In 1929 the Club became a society and was inCorporate bodyd into the Students' union. As women became more directly active in University affairs during the 1970s, interest in the Society declined and it ceased to be listed as an active organization in 1973."	The Wauneita Club was founded in 1909 as a social organization for all female students.  It succeeded the club SIS (Seven Independent Spinsters) which consisted of the seven female students who attended the University in its first year of operation, 1908-1909.  The Wauneita Club devised its traditions and rituals from the Cree culture ("Wauneita" means "kind- hearted").  In 1929 the Club became a Society and was incorporated into the Students' Union.  As women became more directly active in University affairs during the 1970s, interest in the Society declined and it ceased to be listed as an active organization in 1973.	wauneita-society-university-of-alberta.xml
Person	Hardy, William George	Hardy William George			Classicist, Author, 1895-1979. Dr. Hardy joined the University's Classics Department as a lecturer in 1920, received his full professorship in 1922, was named head of the Department in 1938 and retired in 1964.  Author of novels, historic, and scholarly works, Dr. Hardy played an active role in Canadian literature, serving three times as president of the Canadian Authors' Association.  Dr. Hardy was also a well-known hockey executive, serving for seven years as the president of the International Ice Hockey Federation and the Alberta and Canadian Amateur Hockey Associations.	hardy-william-george.xml
Person	Leighton, Arthur Crocker	Leighton Arthur Crocker	1901 - 1965	Between 1925 and 1929, A.C Leighton was engaged by the Canadian Pacific Railway Company as its chief commercial artist. He painted scenic views of Canada, produced models and paintings of trains and steamships, and designed promotional brochures. With his term over, he settled in Calgary, and from 1929 to 1935 acted as Director of the Art Program at the Provincial Institute of Technology and Art. He was co-founder of the Alberta Society of Artists and establishes a summer art school which eventually became inCorporate bodyd into the Banff School of Fine Arts.	Painter, 1901-1965.  Between 1925 and 1929, A.C. Leighton was engaged by the Canadian Pacific Railway Company as its chief commercial artist.  He painted scenic views of Canada, produced models and paintings of trains and steamships, and designed promotional brochures.  With his term over, he settled in Calgary, and from 1929 to 1935 acted as Director of the Art Program at the Provincial Institute of Technology and Art.  He was co-founder of the Alberta Society of Artists and established a summer art school which eventually became incorporated into the Banff School of Fine Arts.	leighton-arthur-crocker.xml
Corporate body	Office of the Associate Vice-President (Academic Administration)	University of Alberta Office of the Associate VicePresident Academic Administration	1978 -	The office coordinates and administers academic personnel matters; applies and interprets regulations on benefits; assist in salary negotiations and in standing committees involving promotions and tenure of academic staff and in selection and review committees of senior officers (Deans and Directors)	The office coordinates and administers academic personnel matters; applies and interprets regulations on benefits; assists in salary negotiations and in standing committees involving promotions and tenure of academic staff and in selection and review committees of senior officers (Deans and Directors). Associate Vice-Presidents: 1978-  Brian Hugh McDonald.	university-of-alberta-office-of-associate-vice-president-academic-administration.xml
Corporate body	Edmonton Academy of Medicine	Edmonton Academy of Medicine	1902 -	The Academy was founded in 1902 as the North Alberta Medical Association. After successive name changes (Central Alberta Medical Association, 1909-1912; Edmonton Medical Society, 1912-1914) it was inCorporate bodyd under its present title in 1920. Its purpose has remained unchanged: to advance the science of medicine, medical education, public health and the medical profession and to provide unity within the profession, particularly Edmonton.	The Academy was founded in 1902 as the North Alberta Medical Association. After successive name changes (Central Alberta Medical Association, 1909-1912; Edmonton Medical Society, 1912- 1914) it was incorporated under its present title in 1920.  Its purpose has remained unchanged:  to advance the science of medicine, medical education, public health and the medical profession and to provide unity within the profession, particularly in Edmonton.	edmonton-academy-of-medicine.xml
Person	Jones, John Thomas	Jones John Thomas	1986 - 1986	Professor Jones completed his honours BA in English (1921) at the University of Alberta, and became a rural teacher, 1920-1922 then professor in the Department of English , 1928-1953. He became head of the Department (1953-1961), retiring in 1964. His favorite poet was John Milton, in whose writing he gave courses at the senior and graduate levels.	English scholar, 1898-1986.  Professor Jones completed his honours BA in English (1921) at the  University of Alberta, and became a rural teacher, 1920-1922, then professor in the Department of  English, 1928-1953.  He became head of the Department (1953-1961), retiring in 1964.  During  World War II he served in the army.  His favorite poet was John Milton, in whose writings he gave  courses at the senior and graduate levels.	jones-john-thomas.xml
Person	Rempel, Sharon	Rempel Sharon			Agronomist, agricultural historian. After receiving a B.Sc. from the University of Alberta, Sharon Rempel received her M.A. in Conservation Studies, 'Historic Gardens and Landscapes' option from the Department of Archaeology, Institute of Advanced Architectural Studies at the University of York, England. She also attended a 10-day course in Heritage Gardens from the University of Victoria, in Victoria, British Columbia. Since 1989, Ms. Rempel has operated Sharon Rempel and Associates, a consulting firm that offers heritage garden research and restoration services. Ms. Rempel's clients have included Craigflower Farm, Hudson Bay site, Victoria (1850s); the Grist Mill at Keremeos, B.C. (1880s); Fort Steele Heritage Town, Cranbrook, B.C. (1890s); Ukrainian Cultural Heritage Village, Edmonton Alta. (1900s); Mennonite Heritage Village, Steinbach Manitoba (1900s); Highlands Historical Society, Edmonton, Alta. (1908);  and Parks Canada, Jasper, Alberta (1920s). Ms. Rempel has also done biodiversity conservation consultation work with: The Garden Institute of Alberta; Seeds of Diversity Canada (SoDC); Canadian University Service Overseas (CUSO) in Laos, PDR; United Nations work for Canada in Rome; and The Greek Gene Bank	rempel-sharon.xml
Person	Mogge, Ludger	Mogge Ludger			Student, ca. 1954- . Ludger Mogge was a graduate student at the University of Alberta from 1978 to 1984. During this time he was involved in campus politics and was a student representative on General Faculties Council and the Senate.	mogge-ludger.xml
Corporate body	Faculty of Arts	University of Alberta Faculty of Arts	1963 -	A separate Faculty of the Arts was approved in 1962, and came into effect in 1963. The combined Faculty of the Arts and Science had become so large that separate administration had become necessary. Throughout the 1962/63 year a joint council representing the Arts and Sciences continued to meet to organize two separate councils and their mode of operation.    Within Arts, there are three main divisions that departments fall into: humanities, fine arts, and social sciences. A number of Arts courses are also offered in French at the Faculte St-Jean. The Faculty of Arts is made up of the following Departments:  Anthropology, Art and Design, Classics, Comparative Literature, Drama, East Asian Languages and Literature, Economics, English, Germanic Languages, History, Linguistics, Music, Religious studies, Romance Languages, Slavic and East European Studies, and Sociology. There are three Programs: Canadian Studies, Film Studies, and Women's Studies.   The Department of Psychology is described under the Faculty of Sciences.	A separate Faculty of Arts was approved in 1962, and came into effect in 1963.  The combined Faculty of Arts and Science had become so large that separate administration had become necessary. Throughout the 1962/63 year a joint council representing Arts and Science continued to meet to organize two separate councils and their mode of operation.  Within Arts, there are three main divisions that departments fall into:  humanities, fine arts, and social sciences.  A number of Arts courses are also offered in French at Facult, St-Jean. The following Departments make up the Faculty of Arts:  Anthropology, Art and Design, Classics, Comparative Literature, Drama, East Asian Languages and Literature, Economics, English, Germanic Languages, History, Linguistics, Music, Religious Studies, Romance Languages, Slavic and East European Studies, and Sociology. There are three Programs:  Canadian Studies, Film Studies, and Womenþs Studies.  The Department of Psychology is described under the Faculty of Science. Deans: 1963-1972 Douglas Elstow Smith; 1972-1979 R. George Baldwin; 1980-1987 Terrence H. White; 1988 Thomas L. Powrie (Acting); 1989-  Patricia Clements.	university-of-alberta-faculty-of-arts.xml
Corporate body	Department of Political Science	University of Alberta Department of Political Science		Political Science courses were first offered by the Department of Political Economy in 1923. Dr. Henry Bertram Mayo, the University's first political scientist, was appointed in 1947, and was Acting Head from 1951-1957. In 1964, Political Economy split into the Departments of Economics and Political Science. The Department's primary role is to educate students about the nature and activity of the state and the conduct of its government and politics of other societies and the interaction of such governments, and about individual rights and obligations (PACCR, 1984).	Political Science courses were first offered by the Department of Political Economy in 1923.  Dr. Henry Bertram Mayo, the University's first political scientist, was appointed in 1947, and was Acting Head from 1951 to 1957.  In 1964, Political Economy split into the Departments of Economics and Political Science.  The Department's primary role is to educate students about the nature and activity of the state and the conduct of its government and politics, the government and politics of other societies and the interaction of such governments, and about individual rights and obligations (PACCR, 1984). Heads: 1964-1965 Grant R. Davy; 1966-1969 Christian Bay.   Chairs: 1969-1972 Grant R. Davy; 1972-1974  J. Peter Meekison; 1975-1982 Roberta E. McKown; 1982-1985 Frederick C. Engelmann; 1985-  Allan Tupper.	university-of-alberta-department-of-political-science.xml
Person	Leahey, Alfred	Leahey Alfred	1900 - 1981	Alfred Lea hey was a lecturer and research assistant with the Department of Soil Science from 1930 to 1936. He subsequently joined the federal Department of Agriculture and held supervisory positions in pedology with Experimental Farm Services Service (1936-1959) and the Research Branch (1959-1966).	Soil scientist, 1900-1981.  Alfred Leahey was a lecturer and research assistant with the Department of Soil Science from 1930 to 1936.  He subsequently joined the federal Department of Agriculture and held supervisory positions in pedology with the Experimental Farm Service (1936-1959) and the Research Branch (1959-1966).	leahey-alfred.xml
Person	Argue, Lois W.	Argue Lois W	[ 19-- ] -	Lois Argue was Clerk/Secretary, Office of the Registrar, 1947-1960 and secretary, Office of the Superintendent of Buildings, 1960-1964.	Secretary, [19þ]- .  Lois Argue was Clerk/Secretary, Office of the Registrar, 1947-1960 and  Secretary, Office of the Superintendent of Buildings, 1960-1964.	argue-lois-w.xml
Corporate body	Nobbs and Hyde, Architects	Nobbs and Hyde Architects	[ 18- ] -	"Percy E.Nobbs' and Frank Darling's Montreal architectural firm was called to Edmonton by the Board of Governors of the University in 1910, to design the campus and buildings for the young institution. Although their 1912 master proposal was not fully adopted, between 1914 and 1921 several buildings designed by Percy Nobbs and George T. Hyde were erected, exhibiting what they termed a ""classical elastic"" architectural style. These included the Arts Building, the Medical Sciences Building, the North Power Plant, and the North and South Laboratories, all of which, excepting the North Lab, remain standing today."	Percy E. Nobbs' and Frank Darling's Montreal architectural firm was called to Edmonton by the Board of Governors of the University in 1910, to design the campus and buildings for the young institution.  Although their 1912 master proposal was not fully adopted, between 1914 and 1921 several buildings designed by Percy Nobbs and George T. Hyde were erected, exhibiting what they termed a "classical elastic" architectural style.  These included the Arts Building, the Medical Sciences Building, the North Power Plant, and the North and South Laboratories, all of which, excepting the North Lab, remain standing today.	nobbs-and-hyde-architects.xml
Person	Gishler, Paul	Gishler Paul			Chemical Engineer, 1904-1992. Paul Ernest Gishler was born July 30, 1904 in Golden Lake, Ontario and moved to Medicine Hat in 1922. Dr. Gishler received his Bachelor of Science in 1929 and his Masters in Physical Chemistry in 1931 from the University of Alberta. Working on oilsands upgrading projects, he later went to McGill University in Montreal where he received his Ph.D. in physical chemistry. He returned to Calgary and taught for two years before joining the Alberta Research Council. Dr. Gishler was appointed a fellow of the Royal Society of Canada in 1952. In 1962 he was awarded the Chemical institute of Canada's R.S.  Jane Award. In 1982 he received AOSTRA's Karl Clark Distinguished Service Award. Dr. Gishler passed away in 1992. He was survived by his sons John, of Glenboro, Mb., and Richard of Edmonton and predeceased by his wife Dorothy (Riley) in 1990.	gishler-paul.xml
Person	Critchley, Harry Ford	Critchley Harry Ford	[ 19-- ] - 1991	Mr Critchley graduated from the School of commerce in 1930 and was for most of his career, an executive with Crown Lumber, Calgary. During World War II he served with the Calgary Highlanders, attaining the rank of Lieutenant Colonel. among his honours was the MBE, awarded by King George VI.	Businessman, [19þ]-1991.  Mr. Critchley graduated from the School of Commerce in 1930 and was for most of his career, an executive with Crown Lumber, Calgary.  During World War II he served with the Calgary Highlanders, attaining the rank of Lieutenant Colonel.  Among his honours was the MBE, awarded by King George VI.	critchley-harry-ford.xml
Corporate body	Department of English	University of Alberta Department of English	1908 -	The Department of English was one of the first original departments established in 1908. It's first professor, Edmund Kemper Broadus, was faced with the task of setting the standard and program for entering students. From the start, the department had the important service function of training students of every faculty to write, and of giving them an acquaintance with literature.    The department offers a broad range of courses in literature and language, and offers specialization in the areas of Canadian Literature (especially prairie fiction), and creative writing. The English Honours program is the largest in the Faculty of Arts.	The Department of English was one of the four original departments established in 1908.  Its first professor, Edmund Kemper Broadus, was faced with the task of setting the standard and program for entering students.  From the start, the Department had the important service function of training students of every faculty to write, and of giving them an acquaintance with literature.  The Department offers a broad range of courses in literature and language, and offers specialization in the areas of Canadian literature (especially prairie fiction), and creative writing.  The English honours program is the largest in the Faculty of Arts. Heads: 1908-1936 Edmund Kemper Broadus; 1936-1950 Robert Kay Gordon; 1950-1953 Frederick Millet Salter; 1953-1961 John Thomas Jones; 1961-1967 Henry Kreisel.   Chairs: 1968-1971 R. George Baldwin; 1971-1976 Edward Rose; 1976-1981 Roland Anderson; 1981-1986 David Jackel; 1986-1989 Linda Woodbridge; 1989-1992 Maurice Roger Legris.	university-of-alberta-department-of-english.xml
