typeOfEntity	authorizedFormOfName	datesOfExistence	history	biogHist	XML file
Person	Charyk, John Constantine	1908 -	Mr. Charyk taught at various rural schools in southern Alberta from 1928 until he moved to Hanna in 1954. There he served as principal of Hanna High school until his retirement in 1973. Among his numerous awards are a life membership in the Alberta Teachers' Association and his election as a Fellow of the Canadian College of Teachers. He is the author of the Little white Schoolhouse series, six books on the history or rural education. He is also active as an historical researcher and lecturer.	Teacher, Author, 1908- .  Mr. Charyk taught at various rural schools in southern Alberta from 1928 until he moved to Hanna in 1954.  There he served as principal of Hanna High School until his retirement in 1973.  Among his numerous awards are a life membership in the Alberta Teachers' Association and his election as a Fellow of the Canadian College of Teachers.  He is the author of the Little White Schoolhouse series, six books on the history of rural education.  He is also active as an historical researcher and lecturer.	charyk-john-constantine.xml
Corporate body	Association of Professional Librarians of the University of Alberta	1966 -	The University Professional Liberians' Group, founded in 1960, was succeeded in 1966 by APLUA which, unlike its predecessor, has a formal constitution. its mandate includes the promotion and advancement of the interests and welfare of professional librarians to provide the best possible professional service. APLUA also promotes continuing education and encourages an interest in and knowledge of the profession at all levels of libraries.	The University Professional Librarians' Group, founded in 1960, was succeeded in 1966 by the Association of Professional Librairians of the University of Alberta (APLUA) which, unlike its predecessor, has a formal constitution.  Its mandate includes the promotion and advancement of the interests and welfare of professional librarians to provide the best possible professional service. APLUA also promotes continuing education and encourages an interest in and knowledge of the profession at all levels and in all types of libraries.	association-of-professional-librarians-of-university-of-alberta.xml
Person	Newton, John Dawson	1894 - 1981	Dr. J. D. Newton joined the University staff in 1922, becoming professor of soil science in 1933, head of the Department in 1947 and retiring in 1959. He was an internationally recognized soil scientist, carrying out extensive research in soil deficiencies, deterioration and the effect of chemical weed killers and fertilizers. He was a pioneer member of the Alberta Soil Survey.	Soil scientist, 1894-1981. Dr. J.D. Newton joined the University staff in 1922, becoming  professor of soil science in 1933, head of the Department in 1947 and retiring in 1959.  He was an  internationally recognized soil scientist, carrying out extensive research in soil deficiencies, deterioration and the effect of chemical weed killers and fertilizers.  He was a pioneer member of  the Alberta Soil Survey.	newton-john-dawson.xml
Person	Thomas, Lewis Gwynne	1914 - 9.22.2001	Lewis Gwynne Thomas entered the University of Alberta in 1930, earning two degrees. He joined the University in 1938 as a sessional lecturer in history. He served as secretary of the Faculty of Arts from 1946-1951 and in 1958 was appointed professor and head of the Department of History. He retired from the chair in 1964 and from the University as Professor Emeritus in 1974. Dr. Thomas introduced the first course in western Canadian history to the University of Alberta in 1949/50, and he shared his interest in western Canadian history through his many publications and his participation in historical associations. Dr. Thomas passed away in Edmonton in 2001.	Historian, 1914-  .  Lewis Gwynne Thomas joined the University in 1938 as a sessional lecturer in history.  He served as secretary of the Faculty of Arts from 1946 to 1951 and in 1958 was appointed professor and head of the Department of History.  He retired from the chair in 1964 and from the University as Professor Emeritus in 1974.  Dr. Thomas introduced the first course in western Canadian history to the University of Alberta in 1949/50, and he shared his interest in western Canadian history through his many publications and his participation in historical associations.	thomas-lewis-gwynne.xml
Person	Eccles, William John	1917 -	Dr. Eccles joined the University as an assistant professor of history in 1957 and became an associate professor of history at the University of Toronto. An expert on the history of New France, he is the author of several books, including Frontenac: The Courtier Governor (1959) and Canada Under Louis XIV(1965), which were written while he was teaching at the University of Alberta.	Historian, 1917- .  Dr. Eccles joined the University as an assistant professor of history in 1957 and became an associate professor in 1959.  From 1963 to 1983 he served as professor of history at the University of Toronto. An expert on the history of New France, he is the author of several books, including Frontenac: The Courtier Governor (1959) and Canada Under Louis XIV (1965), which were written while he was teaching at the University of Alberta.	eccles-william-john.xml
Corporate body	Alberta Institute of Pedology	1968 -	The institute of Pedology, with headquarters at the University, was organized in 1968. The institute consists of all pedologists in the Soil Science Department of the University, the Terrain Sciences Department of the Alberta Research council and the Alberta Pedology Unit of the Land Resources Research Centre, Agriculture Canada.  The Institute is involved in coordinating work in the following fields; soil survey in Alberta, research in pedology, interpretation of basic data on Alberta soils and assistance and/or cooperation from other institutions concerned with pedological data (Calendar, 1990/91).  The Institute is directed by the Technical Coordinating Committee. The Chair of the Soil Science Department of the University of the University is ex offico Chair of the Technical Coordinating Committee.	The Institute of Pedology, with headquarters at the University, was organized in 1968.  The  Institute consists of all pedologists in the Soil Science Department of the University, the Terrain  Sciences Department of the Alberta Research Council and the Alberta Pedology Unit of the Land  Resources Research Centre, Agriculture Canada.  The Institute is involved in coordinating work in  the following fields:  soil survey in Alberta, research in pedology, interpretation of basic data on  Alberta soils and assistance and/or cooperation from other institutions concerned with pedological  data (Calendar, 1990/91).  The Institute is directed by the Technical Coordinating Committee.  The  Chair of the Soil Science Department of the University is ex officio Chair of the Technical  Coordinating Committee.	alberta-institute-of-pedology.xml
Corporate body	Alberta Fitness Leadership Certification Association	1984 -		The Alberta Fitness Leadership Certification Association (AFLCA) facilitates the training and certification of fitness leaders and trainers in Alberta. Established in 1984, the association was founded by representatives of fitness agencies who were concerned with the consistency of fitness leadership in Alberta. The delivery of fitness leadership programs is through these agencies, under the guidelines of the AFLCA and its Board of Directors. The AFLCA is an agency-based, not-for-profit association whose operations benefit the represented agencies that deliver the AFLCA training programs. These agencies, in turn, represent their fitness leaders. The AFLCA adopted the guidelines put forth in 1984 by the National Fitness Leadership Advisory Committee (NFLAC). Performance standards were subsequently developed to recommend minimum competencies desired in the trained fitness leader. In 1989, the results of the comprehensive survey of leaders, trainers and agencies led the AFLCA towards the development of a new program model, which included more specialized areas of fitness training and more variety in courses for leaders to explore and agencies to administer. The mandate of AFLCA is to establish and implement specific standards and guidelines that organizations can follow for the training of their fitness leaders, to certify those leaders who have been trained and through that training have met the standards and guidelines established by the Association and to coordinate the standards and guidelines established by the National Fitness Leadership Advisory Committee (NFLAC) and to adjust these standards and guidelines to be most suitable for the fitness leaders of Alberta.	alberta-fitness-leadership-certification-association.xml
Corporate body	Delta Delta Delta. Canada Gamma Chapter	1932 - 1960	The sorority aimed to develop social graces, improve scholarship and otherwise provide a facet of education not available in the classroom, to female students at the University of Alberta. The Canada Gamma chapter formed the Canada Gamma House Association in 1947 to acquire and manage real estate and personal property for the Chapter. The Canada Gamma Scholarship was endowed by the sale of the Chapter's house and assets.	The sorority aimed to develop social graces, improve scholarship and otherwise provide a facet of education not available in the classroom, to female students at the University of Alberta.  The Canada Gamma Chapter formed the Canada Gamma House Association in 1947 to acquire and manage real estate and personal property for the Chapter.  The Canada Gamma Scholarship was endowed by the sale of the Chapter's house and assets.	delta-delta-delta-canada-gamma-chapter-2.xml
Person	Majstrenko, Ivan			Journalist, Political Activist, [19--]- [198-]. Ivan (Iwan) Majstrenko worked as a journalist in Odessa and Kharkiv, and from 1931 to 1936 he was a lecturer at the Kharkiv Institute of Journalism. Following a period of imprisonment as a political dissident, he immigrated to Germany where he became one of the leaders of the Ukrainian Revolutionary Democratic Party. He served as the editor of the Party's monthly, Vpered from 1946 to 1960. Along with his political activities, Majstrenko wrote several published monographs about political life in the Ukraine under Communism, including Borot'bism; a chapter in the history of Ukrainian communism, which was translated into English by George S. N. Luckyj with the assistance of Ivan L. Rudnytsky.	majstrenko-ivan.xml
Corporate body	Richard Eaton Singers	1969 -	Edmonton's premier oratorio choir, founded in 1951, was originally called University Singers. It was renamed in memory of its founding director, Richard S. Eaton, in 1969. It has had a long association with the University of Albert, as the Choir rehearses on campus and draws its music directors from the Department of Music. The Singers, however, have always been an entity separate from the University, drawing members from the general community and receiving funding from other sources.	Edmonton's premier oratorio choir, founded in 1951, was originally called the University Singers. It was renamed in memory of its founding director, Richard S. Eaton, in 1969. It has had a long association with the University of Alberta, as the Choir rehearses on campus and draws its music directors from the Department of Music. The Singers, however, have always been an entity separate from the University, drawing members from the general community and receiving funding from other sources. Directors: 1951-1967 Richard S. Eaton; 1968-1973 Alexandra Munn; 1973-[1982] Larry D. Cook; [1982]-  Leonard Ratzlaff.	richard-eaton-singers.xml
Person	Clark, Karl Adolph	1888-10-20 - 1966-12		Chemical engineer, 1888-1966.  Dr. Clark came to Edmonton from Ottawa on the recommendation of President Henry Marshall Tory, to join the staff of the Scientific and Industrial Research Council of Alberta as research professor, based on the University campus. His specific field of investigation was the development of a practical extraction process to be used with the Athabasca oil sands.  He patented his "Processes and Apparatus for Separating and Treating Bituminous Sands" (the hot water process) in 1929. In 1938 Dr. Clark transferred much of his work and teaching to the Department of Mining and Metallurgy, retiring in 1958.	clark-karl-adolph.xml
Person	Corbett, Edward Annand	1882 - 1964	"E.A. ""Ned"" Corbett joined the Department of Extension in 1920 and became its Director in 1928. In 1937 he resigned to become Director of the Newly formed Canadian Association for Adult Education.  During his tenure at the University, Dr. Corbett played an important role in the establishment of Canada's first University radio station, CKUA. In 1933 he founded the Banff School of Fine Arts. Dr. Corbett initiated the farm Radio Forum and Citizens' Forum on CBC in the 1940's and later wrote several books describing Alberta scenes and personalities. Corbett Hall at the University of Alberta is named for him."	Educator, Administrator, 1882-1964.  E.A. "Ned" Corbett joined the Department of Extension in 1920 and became its Director in 1928.  In 1937 he resigned to become Director of the newly formed Canadian Association for Adult Education. During his tenure at the University, Dr. Corbett played an important role in the establishment of Canada's first University radio station, CKUA.  In 1933 he founded the Banff School of Fine Arts.  Dr. Corbett initiated the Farm Radio Forum and Citizens' Forum on CBC in the 1940s and later wrote several books describing Alberta scenes and personalities. Corbett Hall at the University of Alberta is named for him.	corbett-edward-annand.xml
Corporate body	Institute of Earth and Planetary Physics	1970 -	Founded in 9170 with the aid of a grant from the national Research Council, the Institute unites geophysicists in the Departments of Physics, Mathematics and Geology and meteorologists in the Department of Geography. The members of the Institute include academic and technical staff, research associates and graduate students from the four departments. Distinguished researchers are invited each year for short- term visits. Research topics in which Institute members are active include seismology, geomagnetism, palaeomagnetism, plate tectonics, mass spectrometry, space physics, and metrological studies, including studies of atmospheric and oceanic pollution.	Founded in 1970 with the aid of a grant from the National Research Council, the Institute unites  geophysicists in the Departments of Physics, Mathematics and Geology and meteorologists in the  Department of Geography.  The members of the Institute include academic and technical staff,  research associates and graduate students from the four departments.  Distinguished researchers are  invited each year for short-term visits.  Research topics in which Institute members are active  include seismology, geomagnetism, palaeomagnetism, plate tectonics, mass spectrometry, space  physics, and meteorological studies, including studies of atmospheric and oceanic pollution. Heads: 1970-1974 John Arthur Jacobs; 1975-1980 Denis Ian Gough; 1981-1985 George Leslie  Cumming; 1985-  Gordon Rostoker.	institute-of-earth-and-planetary-physics.xml
Person	MacEachran, John Malcolm	1877 - 1971	Dr. J.M. MacEachran joined the University in 1909 as professor and head of the Department of Philosophy and Psychology. In 1914 he was asked to act as provost, a position which had jurisdiction over all matters pertaining to students. As part of his involvement with the Alberta community he was a member of the governments's Eugenics Board from 1929 to 1965.	Philosopher, Psychologist, 1877-1971.  Dr. J.M. MacEachran joined the University in 1909 as  professor and head of the Department of Philosophy and Psychology.  In 1914 he was asked to act  as Provost, a position which had jurisdiction over all matters pertaining to the students.  As part of  his involvement with the Alberta community he was a member of the governmentþs Eugenics Board  from 1929 to 1965.  Dr. MacEachran retired in 1945.	maceachran-john-malcolm.xml
Corporate body	Management Advisory Institute	1976 -	The Management Advisory Institute acts as a consultant for Alberta business. Its objective is to draw upon the expertise of staff of the University of Alberta and other post-secondary institutions and share it with business, industry and other management consultants, as well as to inform University staff and students about issues in the business community. Staffed by members of the Faculty of Business and assisted by students, the Institute conducts seminars, conferences and research in addition to providing consulting services.	The Management Advisory Institute acts as a consultant for Alberta business. Its objective is to  draw upon the expertise of staff within the University of Alberta and other post-secondary  institutions and share it with business, industry and other management consultants, as well as to  inform University staff and students about issues in the business community.  Staffed by members of  the Faculty of Business and assisted by students, the Institute conducts seminars, conferences and  research in addition to providing consulting services. Directors: 1977-1981 Tom Collier; 1981 William J.C. Stewart; 1982-1985 William A.  Preshing; 1985-  Charles A. Lee.	management-advisory-institute.xml
Corporate body	Chemistry Post-doctoral Association	1974 - [1976]	"Founded in 1952 by Elizabeth Sterling Haynes, the Guild raised funds to support studio, children's and professional theatre in Edmonton. A memorial scholarship was founded by the Guild in Mrs. Haynes' Honours at the time of her death in 1955. From 1955 to 1964 the Guild sponsored an annual production of the ""Canadian Players."" As independent theatre grew rapidly in the 1960s, interest in the guild's activities declined. It closed its books in 1967."	The purpose of this organization was to further the professional and social status of post-doctoral workers in chemistry at the University of Alberta, and of post-doctoral workers in Canada.	chemistry-post-doctoral-association.xml
Corporate body	Alberta Agricultural Alumni Association	1942 - 1958	The Alberta Agricultural Alumni Association consisted of graduates of the Faculty of Agriculture at the University of Alberta. It organized social events and published a newsletter, the 4A News.	The Alberta Agricultural Alumni Association consisted of graduates of the Faculty of Agriculture  at the University of Alberta.  It organized social events and published a newsletter, The 4A News.	alberta-agricultural-alumni-association.xml
Person	Lewytzkyj, Borys			Journalist, Sovietologist, 1915-1984. Born in Vienna in 1915, Borys Lewytzkyj became well known as a publicist and journalist as chief editor of the newspaper Nove Selo (1936- 1939) in Lviv. During the Second World War, he was active in the Ukrainian Democratic Revolutionary Party (UDRP), led by Ivan Mitringa, which took part in the resistance movement against the German occupants. Emigrating to Munich after the war, Dr. Lewytzkyj became joint-editor of the UDRP organ Vpered from 1949 to 1956, contributing a variety of articles about contemporary life in the USSR.  During his career Dr. Lewytzkyj authored many books and articles on the Ukraine and the Soviet Union, perhaps most notably Politics and Society in Soviet Ukraine1953-1980 (Canadian Institute of Ukrainian Studies: 1984). Dr. Lewytzkyj also operated his own consulting firm in Munich that specialized in Soviet affairs and counted the West German government as one of his clients. Dr. Lewytzkyj died in 1984.	lewytzkyj-borys.xml
Corporate body	Alberta. University Survey Committee	1941 - 1944	The University Survey Committee was created in August 1941 by an Order-in-Council of the Government of Alberta to conduct a comprehensive review of the University' affairs. In particular, the Committee examined the cultural, economic and educational needs of Albertans.   Chaired by Harold H. Parlee, then chair of the University's Board of Governors, the Committee submitted its interim report on January 30, 1942. Committees internal to the University were established to act on the report's recommendations, thus the Survey Committee dissolved with no further formal reports. Many of the Survey Committee's recommendations were inCorporate bodyd into the 1042 revisions of the University Act, while others, such as the creation of an affiliated campus in Calgary, were adopted later.	The University Survey Committee was created in August 1941 by an Order-in-Council of the  Government of Alberta to conduct a comprehensive review of the University's affairs.  In particular,  the Committee examined the University's success in meeting the cultural, economic, and educational needs of Albertans.  Chaired by Harold H. Parlee, then chair of the University's Board of Governors, the Committee  submitted its interim report on January 30, 1942.  Committees internal to the University were  established to act on the report's  recommendations, thus the Survey Committee dissolved with no  further formal reports.  Many of the Survey Committee's recommendations were incorporated into  the 1942 revisions of the University Act, while others, such as the creation of an affiliated campus  in Calgary, were adopted later.	alberta-university-survey-committee.xml
Person	Pierce, Helen Louise	[ 19-- ] -	Dr. Pierce taught at various schools throughout Alberta from 1934 until 1942 when she accepted a teaching position in Camrose, which she held until 1967. Between 1967 and 1980 she was a professor of Educational Foundations at the University, specializing in the sociology of education.	Teacher, Educator, [19þ]-  .  Dr. Pierce taught at various schools throughout Alberta from 1934  until 1942 when she accepted a teaching position in Camrose, which she held until 1967.  Between  1967 and 1980 she was a professor of Educational Foundations at the University, specializing in the sociology of education.	pierce-helen-louise.xml
Person	Hardy, William George			Classicist, Author, 1895-1979. Dr. Hardy joined the University's Classics Department as a lecturer in 1920, received his full professorship in 1922, was named head of the Department in 1938 and retired in 1964.  Author of novels, historic, and scholarly works, Dr. Hardy played an active role in Canadian literature, serving three times as president of the Canadian Authors' Association.  Dr. Hardy was also a well-known hockey executive, serving for seven years as the president of the International Ice Hockey Federation and the Alberta and Canadian Amateur Hockey Associations.	hardy-william-george.xml
Person	Leighton, Arthur Crocker	1901 - 1965	Between 1925 and 1929, A.C Leighton was engaged by the Canadian Pacific Railway Company as its chief commercial artist. He painted scenic views of Canada, produced models and paintings of trains and steamships, and designed promotional brochures. With his term over, he settled in Calgary, and from 1929 to 1935 acted as Director of the Art Program at the Provincial Institute of Technology and Art. He was co-founder of the Alberta Society of Artists and establishes a summer art school which eventually became inCorporate bodyd into the Banff School of Fine Arts.	Painter, 1901-1965.  Between 1925 and 1929, A.C. Leighton was engaged by the Canadian Pacific Railway Company as its chief commercial artist.  He painted scenic views of Canada, produced models and paintings of trains and steamships, and designed promotional brochures.  With his term over, he settled in Calgary, and from 1929 to 1935 acted as Director of the Art Program at the Provincial Institute of Technology and Art.  He was co-founder of the Alberta Society of Artists and established a summer art school which eventually became incorporated into the Banff School of Fine Arts.	leighton-arthur-crocker.xml
Corporate body	Edmonton Academy of Medicine	1902 -	The Academy was founded in 1902 as the North Alberta Medical Association. After successive name changes (Central Alberta Medical Association, 1909-1912; Edmonton Medical Society, 1912-1914) it was inCorporate bodyd under its present title in 1920. Its purpose has remained unchanged: to advance the science of medicine, medical education, public health and the medical profession and to provide unity within the profession, particularly Edmonton.	The Academy was founded in 1902 as the North Alberta Medical Association. After successive name changes (Central Alberta Medical Association, 1909-1912; Edmonton Medical Society, 1912- 1914) it was incorporated under its present title in 1920.  Its purpose has remained unchanged:  to advance the science of medicine, medical education, public health and the medical profession and to provide unity within the profession, particularly in Edmonton.	edmonton-academy-of-medicine.xml
Person	Jones, John Thomas	1986 - 1986	Professor Jones completed his honours BA in English (1921) at the University of Alberta, and became a rural teacher, 1920-1922 then professor in the Department of English , 1928-1953. He became head of the Department (1953-1961), retiring in 1964. His favorite poet was John Milton, in whose writing he gave courses at the senior and graduate levels.	English scholar, 1898-1986.  Professor Jones completed his honours BA in English (1921) at the  University of Alberta, and became a rural teacher, 1920-1922, then professor in the Department of  English, 1928-1953.  He became head of the Department (1953-1961), retiring in 1964.  During  World War II he served in the army.  His favorite poet was John Milton, in whose writings he gave  courses at the senior and graduate levels.	jones-john-thomas.xml
Person	Rempel, Sharon			Agronomist, agricultural historian. After receiving a B.Sc. from the University of Alberta, Sharon Rempel received her M.A. in Conservation Studies, 'Historic Gardens and Landscapes' option from the Department of Archaeology, Institute of Advanced Architectural Studies at the University of York, England. She also attended a 10-day course in Heritage Gardens from the University of Victoria, in Victoria, British Columbia. Since 1989, Ms. Rempel has operated Sharon Rempel and Associates, a consulting firm that offers heritage garden research and restoration services. Ms. Rempel's clients have included Craigflower Farm, Hudson Bay site, Victoria (1850s); the Grist Mill at Keremeos, B.C. (1880s); Fort Steele Heritage Town, Cranbrook, B.C. (1890s); Ukrainian Cultural Heritage Village, Edmonton Alta. (1900s); Mennonite Heritage Village, Steinbach Manitoba (1900s); Highlands Historical Society, Edmonton, Alta. (1908);  and Parks Canada, Jasper, Alberta (1920s). Ms. Rempel has also done biodiversity conservation consultation work with: The Garden Institute of Alberta; Seeds of Diversity Canada (SoDC); Canadian University Service Overseas (CUSO) in Laos, PDR; United Nations work for Canada in Rome; and The Greek Gene Bank	rempel-sharon.xml
Person	Mogge, Ludger			Student, ca. 1954- . Ludger Mogge was a graduate student at the University of Alberta from 1978 to 1984. During this time he was involved in campus politics and was a student representative on General Faculties Council and the Senate.	mogge-ludger.xml
Person	Leahey, Alfred	1900 - 1981	Alfred Lea hey was a lecturer and research assistant with the Department of Soil Science from 1930 to 1936. He subsequently joined the federal Department of Agriculture and held supervisory positions in pedology with Experimental Farm Services Service (1936-1959) and the Research Branch (1959-1966).	Soil scientist, 1900-1981.  Alfred Leahey was a lecturer and research assistant with the Department of Soil Science from 1930 to 1936.  He subsequently joined the federal Department of Agriculture and held supervisory positions in pedology with the Experimental Farm Service (1936-1959) and the Research Branch (1959-1966).	leahey-alfred.xml
Person	Argue, Lois W.	[ 19-- ] -	Lois Argue was Clerk/Secretary, Office of the Registrar, 1947-1960 and secretary, Office of the Superintendent of Buildings, 1960-1964.	Secretary, [19þ]- .  Lois Argue was Clerk/Secretary, Office of the Registrar, 1947-1960 and  Secretary, Office of the Superintendent of Buildings, 1960-1964.	argue-lois-w.xml
Corporate body	Nobbs and Hyde, Architects	[ 18- ] -	"Percy E.Nobbs' and Frank Darling's Montreal architectural firm was called to Edmonton by the Board of Governors of the University in 1910, to design the campus and buildings for the young institution. Although their 1912 master proposal was not fully adopted, between 1914 and 1921 several buildings designed by Percy Nobbs and George T. Hyde were erected, exhibiting what they termed a ""classical elastic"" architectural style. These included the Arts Building, the Medical Sciences Building, the North Power Plant, and the North and South Laboratories, all of which, excepting the North Lab, remain standing today."	Percy E. Nobbs' and Frank Darling's Montreal architectural firm was called to Edmonton by the Board of Governors of the University in 1910, to design the campus and buildings for the young institution.  Although their 1912 master proposal was not fully adopted, between 1914 and 1921 several buildings designed by Percy Nobbs and George T. Hyde were erected, exhibiting what they termed a "classical elastic" architectural style.  These included the Arts Building, the Medical Sciences Building, the North Power Plant, and the North and South Laboratories, all of which, excepting the North Lab, remain standing today.	nobbs-and-hyde-architects.xml
Person	Gishler, Paul			Chemical Engineer, 1904-1992. Paul Ernest Gishler was born July 30, 1904 in Golden Lake, Ontario and moved to Medicine Hat in 1922. Dr. Gishler received his Bachelor of Science in 1929 and his Masters in Physical Chemistry in 1931 from the University of Alberta. Working on oilsands upgrading projects, he later went to McGill University in Montreal where he received his Ph.D. in physical chemistry. He returned to Calgary and taught for two years before joining the Alberta Research Council. Dr. Gishler was appointed a fellow of the Royal Society of Canada in 1952. In 1962 he was awarded the Chemical institute of Canada's R.S.  Jane Award. In 1982 he received AOSTRA's Karl Clark Distinguished Service Award. Dr. Gishler passed away in 1992. He was survived by his sons John, of Glenboro, Mb., and Richard of Edmonton and predeceased by his wife Dorothy (Riley) in 1990.	gishler-paul.xml
Person	Critchley, Harry Ford	[ 19-- ] - 1991	Mr Critchley graduated from the School of commerce in 1930 and was for most of his career, an executive with Crown Lumber, Calgary. During World War II he served with the Calgary Highlanders, attaining the rank of Lieutenant Colonel. among his honours was the MBE, awarded by King George VI.	Businessman, [19þ]-1991.  Mr. Critchley graduated from the School of Commerce in 1930 and was for most of his career, an executive with Crown Lumber, Calgary.  During World War II he served with the Calgary Highlanders, attaining the rank of Lieutenant Colonel.  Among his honours was the MBE, awarded by King George VI.	critchley-harry-ford.xml
Corporate body	Edge (Periodical)	1963 - 1969	An independent and controversial periodical of the arts, literature and politics, Edge was edited by Henry Beissel of the Department of English at the University of Alberta.	An independent and controversial periodical of the arts, literature and politics, Edge was edited by Henry Beissel of the Department of English at the University of Alberta.	edge-periodical.xml
Person	Hurtig, Mel			Publisher, Author, Politician, 1932-. Melvin Gordon Hurtig was born in Edmonton in 1932, and in 1956 opened a bookstore in Edmonton which grew into one of the largest retail book operations in Canada. He sold his stores in 1972 and concentrated on publishing Canadian books, most notably 2 editions of the highly acclaimed <em>The Canadian Encyclopedia</em> (1985 and 1988) and <em>The Junior Encyclopedia of Canada</em>(1990). He sold Hurtig Publishers to Toronto-based McClelland & Stewart in 1991.  A well-known economic nationalist, Mr. Hurtig was a founding member of the Committee for an Independent Canada and in 1985 he was founding chairman of the Council of Canadians. A critic of the high degree of foreign ownership and control in Canada, he campaigned vigorously against the Free Trade Agreement with the US. His first book, <em>The Betrayal of Canada,</em> was the best-selling book in Canada in 1991. In 1992 he was the driving force behind a new political organization, the National Party, a party committed to nationalist and populist goals. Mr. Hurtig was selected the party's leader and wrote its policy statement, A New and Better Canada.  Mr. Hurtig resigned as leader in 1994 and the party subsequently disintegrated. He has received much recognition for his outspoken nationalism, including numerous honorary degrees. He also received the Lester B. Pearson Man of the Year Peace Award (1988) and is an Officer of the Order of Canada. His autobiography, <em>At Twilight in the Country: Memoirs of a Canadian Nationalist </em>was published in 1996.	hurtig-mel-001.xml
Corporate body	Edmonton Journal (Newspaper)	1903 -	The Journal is a daily newspaper, published in Edmonton since 1903.	The Journal is a daily newspaper, published in Edmonton since 1903.	edmonton-journal-newspaper.xml
Person	Laverty, Clarence Alvin	1903 -	Clarence A.Laverty was a student at the University from 1923 to 1928, graduating with BSc in electrical engineering. During the summers of 1923, 1924 and 1925, he worked as a survey crewman for the Topographical Survey Department of the Government of Canada in the Northwest Territories. His narratives and photographs record the surveyors' experiences as they portaged and surveyed throughout northern Alberta and the Mackenzie District of the Northwest Territories.	Engineer, 1903- .  Clarence A. Laverty was a student at the University from 1923 to 1928, graduating with a BSc in electrical engineering.  During the summers of 1923, 1924 and 1925, he worked as a survey crewman for the Topographical Survey Department of the Government of Canada in the Northwest Territories.  His narratives and photographs record the surveyors' experiences as they portaged and surveyed throughout northern Alberta and the Mackenzie District of the Northwest Territories.	laverty-clarence-alvin.xml
Corporate body	Universities Coordinating Council		The Universities Coordinating Council was created with the Universities Act of 1966. It consists of representatives from each Alberta university: the President and Vice-President (Academic), two Deans, two academic staff members appointed by the General Faculties Council, and three academic staff members appointed by the Coordinating Council. The Council can inquire, investigate, recommend and advise on any matter that affects all the members; it can set the terms of affiliation with colleges and entrance requirements from colleges to the universities. The Council also has authority over the administration of professional examinations and jurisdiction over the conditions of entrance to cooperating learned professions and callings.	The Universities Coordinating Council was created with the  Universities Act of 1966.  It consists of representatives from  each Alberta university:  the President and Vice-President (Academic), two Deans, two academic staff members appointed by the  General Faculties Council, and three academic staff members appointed by the Coordinating Council. The Council can inquire, investigate, recommend and advise on any matter that affects all  the members; it can set the terms of affiliation with colleges and  entrance requirements from colleges to the universities.  The Council also has authority over the administration of professional examinations. The University Act, as revised in 1910, provided the University of Alberta with the power to arrange with the incorporated professional associations or societies in the province which had the legislated right to prescribe examinations for candidates  applying for registration in such societies, to administer and  conduct the examinations, appoint examiners, and report results  to the societies.  Any incorporated professional society could  apply for such arrangements, or administer its own examinations  and accreditation procedures. Between 1942 and 1955 the responsibility for overseeing the  examinations was held by the General Faculties Council at the  University; between 1955 and1966 GFC delegated this authority to the Board of Examiners of each profession.  The substantial reorganization of higher education under the Universities Act of 1966 created the Universities Coordinating Council, which received jurisdiction over the conditions of entrance to cooperating  learned professions and callings.	universities-coordinating-council.xml
Person	Kaplan, J. Gordin	1922 - 1988	Gordin Kaplan joined the University in 1981 to act as the first Vice-President (Research), a position he held until 1987. A specialist in molecular and cellular biology, he was also appointed professor of biochemistry. He was a social activist and lobbyist for the scientific research in Canada; his tenure at the University he was instrumental in the creation of the Research Policy Committee, the Central Research Fund, and WISEST (Women in Scholarship, Engineering Science and Technology).	J. Gordin Kaplan was born in New York City in 1922 and received his BA degree from the College of the City of New York and his MA and Ph.D. degrees from Columbia University.  His field of study was biochemistry, focusing on cell regulation and the response of mammalian lymphocytes.  Kaplan came to Canada in 1950 to teach physiology and biophysics at Dalhousie University in Halifax, Nova Scotia.  In 1966, he left Dalhousie for the University of Ottawa where he accepted a position as Professor of Biology.  He was appointed Chair of the Biology Department in 1975, a post he held until his departure in 1981 for the University of Alberta. Gordin Kaplan was hired in July 1981 by the University of Alberta for the newly created position of vice-president in charge of research.  He was a member of the Biochemistry Department, and responsible for directing the Alberta Heritage Foundation for Medical Research grants.  His accomplishments while at the U of A include the initiation of technology transfer activities leading to the creation of the Office of Research Services; the founding of WISEST (Women in Scholarship, Engineering, Science and Technology); and the establishment of the Research Policy Committee and Central Research fund.  He was appointed University Professor in January 1987, retiring from the post of VP (Research) on July 1, 1987 upon reaching the mandatory retirement age of 65 years.  Dr. Kaplan was very active in a number of Canadian professional associations, serving as President, Canadian Association of University Teachers (1970-1971); Chairman of the Canadian Federation of Biological Societies (1975-1976); co- editor of the Canadian Journal of Biochemistry (1973-1981); and served as a member of the National Research Council Grant Selection Committee for Cell Biology and Genetics.  He believed that science should be accessible to the public, and in this pursuit, was a regular guest on CBC's "As It Happens," and hosted a primetime CBC television program called Crossfire. Dr. Kaplan supported a number of social causes, including nuclear disarmament, protesting the Vietnam War, and increased support for a national science policy and research funding.  J. Gordin Kaplan died of cancer in Edmonton on July 6, 1988.  After his death, it was announced that the J. Gordin Kaplan post-doctoral fellowships would be financed in his honor, effective in the 1989-90 academic year.	kaplan-j-gordin.xml
