LC	LC-ID	ID	Value	ID1	LC-P	LCP-ID	Column 2	Column 3	Column 4	blank
Duck, Steve	http://id.loc.gov/authorities/names/n50026784	http://id.loc.gov/authorities/names/n50026784	Duck, Steve	http://id.loc.gov/authorities/names/n50026784	Duck, Steve	n50026784	Person		http://example.org/6571139#Agent100-14	
McMahan, David T.	http://id.loc.gov/authorities/names/n2008028237	http://id.loc.gov/authorities/names/n2008028237	McMahan, David T.	http://id.loc.gov/authorities/names/n2008028237	McMahan, David T.	n2008028237	Person		http://example.org/6571139#Agent700-26	
Duck, Steve.		n50026784	Duck, Steve	http://id.loc.gov/authorities/names/n50026784	Duck, Steve	n50026784	Person		http://example.org/6571140#Agent100-15	
McMahan, David T.	http://id.loc.gov/authorities/names/n2008028237	http://id.loc.gov/authorities/names/n2008028237	McMahan, David T.	http://id.loc.gov/authorities/names/n2008028237	McMahan, David T.	n2008028237	Person		http://example.org/6571140#Agent700-27	
Keyton, Joann	http://id.loc.gov/authorities/names/n98085554	http://id.loc.gov/authorities/names/n98085554	Keyton, Joann	http://id.loc.gov/authorities/names/n98085554	Keyton, Joann	n98085554	Person		http://example.org/6810976#Agent100-18	
Anderson, Elizabeth	http://id.loc.gov/authorities/names/n93119387	http://id.loc.gov/authorities/names/n93119387	Anderson, Elizabeth T.	http://id.loc.gov/authorities/names/n85294980	Anderson, Elizabeth T.	n85294980	Person		http://example.org/6808313#Agent100-20	
McFarlane, Judith M.	http://id.loc.gov/authorities/names/n79083127	http://id.loc.gov/authorities/names/n79083127	McFarlane, Judith M.	http://id.loc.gov/authorities/names/n79083127	McFarlane, Judith M.	n79083127	Person		http://example.org/6808313#Agent700-38	
Prast, Holly A.	http://id.loc.gov/authorities/names/nb2016011034	http://id.loc.gov/authorities/names/nb2016011034	Prast, Holly A.	http://id.loc.gov/authorities/names/nb2016011034	Prast, Holly A.	nb2016011034	Person		http://example.org/6790553#Agent100-13	
Viegut, Donald	http://id.loc.gov/authorities/names/n2005082986	http://id.loc.gov/authorities/names/n2005082986	Viegut, Donald	http://id.loc.gov/authorities/names/n2005082986	Viegut, Donald J.,		Person		http://example.org/6790553#Agent700-28	
Schinke, Robert J.	http://id.loc.gov/authorities/names/n2008076321	http://id.loc.gov/authorities/names/n2008076321	Schinke, Robert J.	http://id.loc.gov/authorities/names/n2008076321	Schinke, Robert J.	n2008076321	Person		http://example.org/6803014#Agent700-35	
McGannon, Kerry R.	http://id.loc.gov/authorities/names/n2014035986	http://id.loc.gov/authorities/names/n2014035986	McGannon, Kerry R.	http://id.loc.gov/authorities/names/n2014035986	McGannon, Kerry R.	n2014035986	Person		http://example.org/6803014#Agent700-36	
Smith, Brett (Brett M.)	http://id.loc.gov/authorities/names/no2012018887	http://id.loc.gov/authorities/names/no2012018887	Smith, Brett (Brett M.)	http://id.loc.gov/authorities/names/no2012018887	Smith, Brett (Brett M.)	no2012018887	Person		http://example.org/6803014#Agent700-37	
Taylor, Ralph B.	http://id.loc.gov/authorities/names/n82270128	http://id.loc.gov/authorities/names/n82270128	Taylor, Ralph B.	http://id.loc.gov/authorities/names/n82270128	Taylor, Ralph B.,		Person		http://example.org/6815543#Agent100-19	
Emejulu, Akwugo	http://id.loc.gov/authorities/names/no2015057481	http://id.loc.gov/authorities/names/no2015057481	Emejulu, Akwugo	http://id.loc.gov/authorities/names/no2015057481	Emejulu, Akwugo	no2015057481	Person		http://example.org/6811109#Agent100-21	
Frenkel Emmanuel A			Frenkel, Emmanuel A		Frenkel, Emmanuel A.,		Person		http://example.org/6800038#Agent100-15	
Robinson, Sue	http://id.loc.gov/authorities/names/n85328955	http://id.loc.gov/authorities/names/n85328955	Robinson, Sue	http://id.loc.gov/authorities/names/n85328955	Robinson, Sue,		Person		http://example.org/6785806#Agent700-27	
Walls, David S.	http://id.loc.gov/authorities/names/n80013416	http://id.loc.gov/authorities/names/n80013416	Walls, David S.	http://id.loc.gov/authorities/names/n80013416	Walls, David S.	n80013416	Person		http://example.org/6768783#Agent100-19	
Nelson, Geoffrey B. (Geoffrey Brian)	http://id.loc.gov/authorities/names/no2001062332	http://id.loc.gov/authorities/names/no2001062332	Nelson, Geoffrey B. (Geoffrey Brian)	http://id.loc.gov/authorities/names/no2001062332	Nelson, Geoffrey B. (Geoffrey Brian)	no2001062332	Person		http://example.org/6733328#Agent700-36	
Kloos, Bret		no2011119404	Kloos, Bret	http://id.loc.gov/authorities/names/no2011119404	Kloos, Bret	no2011119404	Person		http://example.org/6733328#Agent700-37	
Ornelas, José			Ornelas, José	http://id.loc.gov/authorities/names/n90617783	Ornelas, Jose.		Person		http://example.org/6733328#Agent700-38	
Shi, Shumei, 1961-	http://id.loc.gov/authorities/names/n00049786	http://id.loc.gov/authorities/names/n00049786	Shi, Shumei, 1961-	http://id.loc.gov/authorities/names/n00049786	Shi, Shumei, 1961-....	n00049786	Person		http://example.org/6788482#Agent700-38	
Liao, Binghui		n85314922	Liao, Binghui	http://id.loc.gov/authorities/names/n85314922	Liao, Binghui	n85314922	Person		http://example.org/6788482#Agent700-39	
Haddow, Rodney S.	http://id.loc.gov/authorities/names/nr93049158	http://id.loc.gov/authorities/names/nr93049158	Haddow, Rodney S.	http://id.loc.gov/authorities/names/nr93049158	Haddow, Rodney S.	nr93049158	Person		http://example.org/6754318#Agent100-20	
Murphy, Maureen O'Rourke		n86052526	Murphy, Maureen O'Rourke	http://id.loc.gov/authorities/names/n86052526	Murphy, Maureen O'Rourke	n86052526	Person		http://example.org/6813615#Agent100-15	
Nicholson, Asenath, 1792-1855.		n89616177	Nicholson, Asenath, 1792-1855	http://id.loc.gov/authorities/names/n89616177	Nicholson, Asenath, 1792-1855	n89616177	Person		http://example.org/6813615#Agent600-26	
Tsem Tulku, Rinpoche, 1965-	http://id.loc.gov/authorities/names/n2009203913	http://id.loc.gov/authorities/names/n2009203913	Tsem Tulku, Rinpoche, 1965-	http://id.loc.gov/authorities/names/n2009203913	Tsem Tulku, Rinpoche, 1965-	n2009203913	Person		http://example.org/6784686#Agent100-18	
MacWhinney, Brian	http://id.loc.gov/authorities/names/n78071345	http://id.loc.gov/authorities/names/n78071345	MacWhinney, Brian	http://id.loc.gov/authorities/names/n78071345	MacWhinney, Brian.	n78071345	Person		http://example.org/6799770#Agent700-29	
Malʹchukov, A. L. (Andreĭ Lʹvovich)	http://id.loc.gov/authorities/names/nr99038244	http://id.loc.gov/authorities/names/nr99038244	Malʹchukov, A. L. (Andreĭ Lʹvovich)	http://id.loc.gov/authorities/names/nr99038244	Malʹchukov, A.L. (Andreĭ Lʹvovich)	nr99038244	Person		http://example.org/6799770#Agent700-30	
Moravcsik, Edith A.	http://id.loc.gov/authorities/names/n78061521	http://id.loc.gov/authorities/names/n78061521	Moravcsik, Edith A.	http://id.loc.gov/authorities/names/n78061521	Moravcsik, Edith A.	n78061521	Person		http://example.org/6799770#Agent700-31	
Dunne, Niamh, 1984-	http://id.loc.gov/authorities/names/n2014067658	http://id.loc.gov/authorities/names/n2014067658	Dunne, Niamh, 1984-	http://id.loc.gov/authorities/names/n2014067658	Dunne, Niamh,		Person		http://example.org/6849268#Agent100-14	
Dey, Kieron A.	http://id.loc.gov/authorities/names/n87142554	http://id.loc.gov/authorities/names/n87142554	Dey, Kieron A.	http://id.loc.gov/authorities/names/n87142554	Dey, Kieron A.	n87142554	Person		http://example.org/6808895#Agent100-18	
Goudy, Steven L.	http://id.loc.gov/authorities/names/n2014185101	http://id.loc.gov/authorities/names/n2014185101	Goudy, Steven L.	http://id.loc.gov/authorities/names/n2014185101	Goudy, Steven L.	n2014185101	Person		http://example.org/6751935#Agent700-33	
Tollefson, Travis T.	http://id.loc.gov/authorities/names/n2014185102	http://id.loc.gov/authorities/names/n2014185102	Tollefson, Travis T.	http://id.loc.gov/authorities/names/n2014185102	Tollefson, Travis T.	n2014185102	Person		http://example.org/6751935#Agent700-34	
Zill, Dennis G., 1940-	http://id.loc.gov/authorities/names/n81018912	http://id.loc.gov/authorities/names/n81018912	Zill, Dennis G., 1940-	http://id.loc.gov/authorities/names/n81018912	Zill, Dennis G., 1940-....	n81018912	Person		http://example.org/6343881#Agent100-16	
Shanahan, Patrick D., 1968-	http://id.loc.gov/authorities/names/n2009008622	http://id.loc.gov/authorities/names/n2009008622	Shanahan, Patrick D., 1968-	http://id.loc.gov/authorities/names/n2009008622	Shanahan, Patrick D., 1968-	n2009008622	Person		http://example.org/6343881#Agent700-30	
Arthur, W. Brian	http://id.loc.gov/authorities/names/n86093163	http://id.loc.gov/authorities/names/n86093163	Arthur, W. Brian	http://id.loc.gov/authorities/names/n86093163	Arthur, W. Brian,		Person		http://example.org/6775542#Agent100-18	
Erciyes, Kayhan	http://id.loc.gov/authorities/names/n2014043004	http://id.loc.gov/authorities/names/n2014043004	Erciyes, Kayhan	http://id.loc.gov/authorities/names/n2014043004	Erciyes, Kayhan.	n2014043004	Person		http://example.org/6712188#Agent100-14	
Erciyes, Kayhan		n2014043004	Erciyes, Kayhan	http://id.loc.gov/authorities/names/n2014043004	Erciyes, Kayhan.	n2014043004	Person		http://example.org/6798665#Agent100-18	
Mittell, Jason	http://id.loc.gov/authorities/names/n2003029751	http://id.loc.gov/authorities/names/n2003029751	Mittell, Jason	http://id.loc.gov/authorities/names/n2003029751	Mittell, Jason	n2003029751	Person		http://example.org/6785807#Agent100-19	
Gay, Daniel, 1942-	http://id.loc.gov/authorities/names/n2002014249	http://id.loc.gov/authorities/names/n2002014249	Gay, Daniel, 1942-	http://id.loc.gov/authorities/names/n2002014249	Gay, Daniel, 1942-....	n2002014249	Person		http://example.org/6786415#Agent100-13	
Dujmović, Darko	http://id.loc.gov/authorities/names/nb99097902	http://id.loc.gov/authorities/names/nb99097902	Dujmović, Darko	http://id.loc.gov/authorities/names/nb99097902	Dujmovič, Darko	nb99097902	Person		http://example.org/6812846#Agent100-22	
Androić, Boris	http://id.loc.gov/authorities/names/nb99097900	http://id.loc.gov/authorities/names/nb99097900	Androić, Boris	http://id.loc.gov/authorities/names/nb99097900	Androić, Boris	nb99097900	Person		http://example.org/6812846#Agent700-36	
Lukačević, Ivan	http://id.loc.gov/authorities/names/nb2014029267	http://id.loc.gov/authorities/names/nb2014029267	Lukačević, Ivan	http://id.loc.gov/authorities/names/nb2014029267	Lukačević, Ivan	nb2014029267	Person		http://example.org/6812846#Agent700-37	
Raines, Robert, 1954-	http://id.loc.gov/authorities/names/no2009088626	http://id.loc.gov/authorities/names/no2009088626	Raines, Robert, 1954-	http://id.loc.gov/authorities/names/no2009088626	Raines, Robert, 1954-	no2009088626	Person		http://example.org/6802782#Agent100-23	
Hyde, Arthur A.	http://id.loc.gov/authorities/names/n83128962	http://id.loc.gov/authorities/names/n83128962	Hyde, Arthur A.	http://id.loc.gov/authorities/names/n83128962	Hyde, Arthur A.		Person		http://example.org/6667778#Agent100-14	
Scheid, Teresa L.	http://id.loc.gov/authorities/names/n98063867	http://id.loc.gov/authorities/names/n98063867	Scheid, Teresa L.	http://id.loc.gov/authorities/names/n98063867	Scheid, Teresa L.	n98063867	Person		http://example.org/6773634#Agent100-21	
Johnson, Richard J. (Richard Joseph), 1953-	http://id.loc.gov/authorities/names/n00120613	http://id.loc.gov/authorities/names/n00120613	Johnson, Richard J. (Richard Joseph), 1953-	http://id.loc.gov/authorities/names/n00120613	Johnson, Richard J. (Richard Joseph), 1953-	n00120613	Person		http://example.org/6706304#Agent700-35	
Feehally, John	http://id.loc.gov/authorities/names/n00120614	http://id.loc.gov/authorities/names/n00120614	Feehally, John	http://id.loc.gov/authorities/names/n00120614	Feehally, John.	n00120614	Person		http://example.org/6706304#Agent700-36	
Floege, Jürgen	http://id.loc.gov/authorities/names/n2006185077	http://id.loc.gov/authorities/names/n2006185077	Floege, Jürgen	http://id.loc.gov/authorities/names/n2006185077	Floege, Jürgen	n2006185077	Person		http://example.org/6706304#Agent700-37	
Bibbo, Marluce, 1939-	http://id.loc.gov/authorities/names/n79003545	http://id.loc.gov/authorities/names/n79003545	Bibbo, Marluce, 1939-	http://id.loc.gov/authorities/names/n79003545	Bibbo, Marluce, 1939-....	n79003545	Person		http://example.org/6665382#Agent700-35	
Wilbur, David C.	http://id.loc.gov/authorities/names/no2004054239	http://id.loc.gov/authorities/names/no2004054239	Wilbur, David C.	http://id.loc.gov/authorities/names/no2004054239	Wilbur, David C.	no2004054239	Person		http://example.org/6665382#Agent700-36	
Amin, Moeness G.	http://id.loc.gov/authorities/names/n2010052826	http://id.loc.gov/authorities/names/n2010052826	Amin, Moeness G.	http://id.loc.gov/authorities/names/n2010052826	Amin, Moeness G.	n2010052826	Person		http://example.org/6677744#Agent700-30	
Glister Ron			Glister, Ron		Glister, Ron,		Person		http://example.org/6659467#Agent100-27	
Tanamachi Mike			Tanamachi, Mike		Tanamachi, Mike,		Person		http://example.org/6659467#Agent700-43	
Sweazy, Larry D.	http://id.loc.gov/authorities/names/n2009073090	http://id.loc.gov/authorities/names/n2009073090	Sweazy, Larry D.	http://id.loc.gov/authorities/names/n2009073090	Sweazy, Larry D.	n2009073090	Person		http://example.org/6659467#Agent700-44	
Boshers Sue			Boshers, Sue		Boshers, Sue,		Person		http://example.org/6659467#Agent700-45	
Prowse, David L.	http://id.loc.gov/authorities/names/nb2006025570	http://id.loc.gov/authorities/names/nb2006025570	Prowse, David L.	http://id.loc.gov/authorities/names/nb2006025570	Prowse, David L.	nb2006025570	Person		http://example.org/6659397#Agent100-18	
Ciampa, Mark D.	http://id.loc.gov/authorities/names/n96019773	http://id.loc.gov/authorities/names/n96019773	Ciampa, Mark D.	http://id.loc.gov/authorities/names/n96019773	Ciampa, Mark D.	n96019773	Person		http://example.org/6784394#Agent100-32	
Charpentier, Arthur	http://id.loc.gov/authorities/names/n2007010957	http://id.loc.gov/authorities/names/n2007010957	Charpentier, Arthur	http://id.loc.gov/authorities/names/n2007010957	Charpentier, Arthur,		Person		http://example.org/6809031#Agent700-32	
Fu, C. C. (Chung C.)	http://id.loc.gov/authorities/names/n92101832	http://id.loc.gov/authorities/names/n92101832	Fu, C. C. (Chung C.)	http://id.loc.gov/authorities/names/n92101832	Fu, C. C. (Chung C.),		Person		http://example.org/6786203#Agent100-14	
Wang, Shuqing (Highway engineer)	http://id.loc.gov/authorities/names/n2014036298	http://id.loc.gov/authorities/names/n2014036298	Wang, Shuqing (Highway engineer)	http://id.loc.gov/authorities/names/n2014036298	Wang, Shuqing (Highway engineer)	n2014036298	Person		http://example.org/6786203#Agent700-28	
Burkowski, Forbes J.	http://id.loc.gov/authorities/names/nb2008025368	http://id.loc.gov/authorities/names/nb2008025368	Burkowski, Forbes J.	http://id.loc.gov/authorities/names/nb2008025368	Burkowski, Forbes J.	nb2008025368	Person		http://example.org/6677705#Agent100-15	
Fuxreiter, Monika, 1969-	http://id.loc.gov/authorities/names/n2011181995	http://id.loc.gov/authorities/names/n2011181995	Fuxreiter, Monika, 1969-	http://id.loc.gov/authorities/names/n2011181995	Fuxreiter, Monika, 1969-	n2011181995	Person		http://example.org/6786282#Agent700-27	
Zhang, Ming (Professor of biomedical engineering)	http://id.loc.gov/authorities/names/n2014184917	http://id.loc.gov/authorities/names/n2014184917	Zhang, Ming (Professor of biomedical engineering)	http://id.loc.gov/authorities/names/n2014184917	Zhang, Ming (Professor of biomedical engineering)	n2014184917	Person		http://example.org/6799164#Agent700-37	
Fan, Yubo	http://id.loc.gov/authorities/names/n2014184890	http://id.loc.gov/authorities/names/n2014184890	Fan, Yubo	http://id.loc.gov/authorities/names/n2014184890	Fan, Yubo	n2014184890	Person		http://example.org/6799164#Agent700-38	
Häussler-Combe, Ulrich	http://id.loc.gov/authorities/names/nb2014024480	http://id.loc.gov/authorities/names/nb2014024480	Häussler-Combe, Ulrich	http://id.loc.gov/authorities/names/nb2014024480	Häussler-Combe, Ulrich.	nb2014024480	Person		http://example.org/6774362#Agent100-22	
Haber, Eldad	http://id.loc.gov/authorities/names/n2014054181	http://id.loc.gov/authorities/names/n2014054181	Haber, Eldad	http://id.loc.gov/authorities/names/n2014054181	Haber, Eldad.	n2014054181	Person		http://example.org/6812363#Agent100-20	
Society for Industrial and Applied Mathematics	http://id.loc.gov/authorities/names/n79053057	http://id.loc.gov/authorities/names/n79053057	Society for Industrial and Applied Mathematics	http://id.loc.gov/authorities/names/n79053057	Society for Industrial and Applied Mathematics,		Organization		http://example.org/6812363#Agent710-38	
Dolg, Michael, 1958-	http://id.loc.gov/authorities/names/n2014063140	http://id.loc.gov/authorities/names/n2014063140	Dolg, Michael, 1958-	http://id.loc.gov/authorities/names/n2014063140	Dolg, Michael, 1958-	n2014063140	Person		http://example.org/6855773#Agent100-24	
Marchisio, Mario Andrea	http://id.loc.gov/authorities/names/no2014170040	http://id.loc.gov/authorities/names/no2014170040	Marchisio, Mario Andrea	http://id.loc.gov/authorities/names/no2014170040	Marchisio, Mario Andrea	no2014170040	Person		http://example.org/6799501#Agent700-35	
Ranade, Vivek V.	http://id.loc.gov/authorities/names/nb2001057824	http://id.loc.gov/authorities/names/nb2001057824	Ranade, Vivek V.	http://id.loc.gov/authorities/names/nb2001057824	Ranade, Vivek V.	nb2001057824	Person		http://example.org/6786237#Agent100-14	
Gupta, Devkumar F.	http://id.loc.gov/authorities/names/n2014069199	http://id.loc.gov/authorities/names/n2014069199	Gupta, Devkumar F.	http://id.loc.gov/authorities/names/n2014069199	Gupta, Devkumar F.	n2014069199	Person		http://example.org/6786237#Agent700-30	
Hexmoor, Henry.			Hexmoor, Henry H.	http://id.loc.gov/authorities/names/no96030342	Hexmoor, Henry.		Person		http://example.org/6752431#Agent100-18	
Hexmoor, Henry H.	http://id.loc.gov/authorities/names/no96030342	http://id.loc.gov/authorities/names/no96030342	Hexmoor, Henry H.	http://id.loc.gov/authorities/names/no96030342	Hexmoor, Henry,		Person		http://example.org/6752366#Agent100-19	
Musa, Sarhan M.	http://id.loc.gov/authorities/names/n2010005522	http://id.loc.gov/authorities/names/n2010005522	Musa, Sarhan M.	http://id.loc.gov/authorities/names/n2010005522	Musa, Sarhan M.	n2010005522	Person		http://example.org/6812774#Agent700-29	
Liu, Xin (Mathematician)	http://id.loc.gov/authorities/names/n2014043191	http://id.loc.gov/authorities/names/n2014043191	Liu, Xin (Mathematician)	http://id.loc.gov/authorities/names/n2014043191	Liu, Xin (Mathematician),		Person		http://example.org/6786245#Agent700-31	
Datta, Anwitaman	http://id.loc.gov/authorities/names/nb2011029441	http://id.loc.gov/authorities/names/nb2011029441	Datta, Anwitaman	http://id.loc.gov/authorities/names/nb2011029441	Datta, Anwitaman	nb2011029441	Person		http://example.org/6786245#Agent700-32	
Lim, Ee-Peng	http://id.loc.gov/authorities/names/n2002162329	http://id.loc.gov/authorities/names/n2002162329	Lim, Ee-Peng	http://id.loc.gov/authorities/names/n2002162329	Lim, Ee-Peng	n2002162329	Person		http://example.org/6786245#Agent700-33	
Simionescu, P. A., 1968-	http://id.loc.gov/authorities/names/n2013051100	http://id.loc.gov/authorities/names/n2013051100	Simionescu, P. A., 1968-	http://id.loc.gov/authorities/names/n2013051100	Simionescu, P. A., 1968-	n2013051100	Person		http://example.org/6786265#Agent100-14	
Guha, Sumanta	http://id.loc.gov/authorities/names/n2010050449	http://id.loc.gov/authorities/names/n2010050449	Guha, Sumanta	http://id.loc.gov/authorities/names/n2010050449	Guha, Sumanta.	n2010050449	Person		http://example.org/6808973#Agent100-22	
International Conference of International Association for Computer Methods and Recent Advances in Geomechanics (14th : 2014 : Kyoto, Japan)			International Conference of International Association for Computer Methods and Recent Advances in Geomechanics (14th : 2014 : Kyoto, Japan)		International Conference of International Association for Computer Methods and Recent Advances in Geomechanics (14th : 2014 : Kyoto, Japan).		Meeting		http://example.org/6748895#Agent111-14	
Oka, Fusao	http://id.loc.gov/authorities/names/n97123758	http://id.loc.gov/authorities/names/n97123758	Oka, Fusao	http://id.loc.gov/authorities/names/n97123758	Oka, Fusao.	n97123758	Person		http://example.org/6748895#Agent700-29	
Murakami, Akira	http://id.loc.gov/authorities/names/n80019240	http://id.loc.gov/authorities/names/n80019240	Murakami, Akira	http://id.loc.gov/authorities/names/n80019240	Murakami, Akira,		Person		http://example.org/6748895#Agent700-30	
Uzuoka, Ryosuke	http://id.loc.gov/authorities/names/no2015016588	http://id.loc.gov/authorities/names/no2015016588	Uzuoka, Ryosuke	http://id.loc.gov/authorities/names/no2015016588	Uzuoka, Ryosuke	no2015016588	Person		http://example.org/6748895#Agent700-31	
Kimoto, Sayuri	http://id.loc.gov/authorities/names/no2009109028	http://id.loc.gov/authorities/names/no2009109028	Kimoto, Sayuri	http://id.loc.gov/authorities/names/no2009109028	Kimoto, Sayuri.	no2009109028	Person		http://example.org/6748895#Agent700-32	
International Conference of International Association for Computer Methods and Recent Advances in Geomechanics			International Conference of International Association for Computer Methods and Recent Advances in Geomechanics		International Conference of International Association for Computer Methods and Recent Advances in Geomechanics.		Meeting		http://example.org/6748895#Agent711-33	
Wempen, Faithe	http://id.loc.gov/authorities/names/n93008065	http://id.loc.gov/authorities/names/n93008065	Wempen, Faithe	http://id.loc.gov/authorities/names/n93008065	Wempen, Faithe.	n93008065	Person		http://example.org/6789417#Agent100-19	
Brooks, J. J.	http://id.loc.gov/authorities/names/n82073177	http://id.loc.gov/authorities/names/n82073177	Brooks, J. J.	http://id.loc.gov/authorities/names/n82073177	Brooks, J. J.		Person		http://example.org/6678484#Agent100-19	
Back, Sudie E.	http://id.loc.gov/authorities/names/n2009000081	http://id.loc.gov/authorities/names/n2009000081	Back, Sudie E.	http://id.loc.gov/authorities/names/n2009000081	Back, Sudie E.	n2009000081	Person		http://example.org/6798520#Agent700-39	
Brody, David L.	http://id.loc.gov/authorities/names/n2014182921	http://id.loc.gov/authorities/names/n2014182921	Brody, David L.	http://id.loc.gov/authorities/names/n2014182921	Brody, David L.,		Person		http://example.org/6786825#Agent100-14	
Brody, David L.	http://id.loc.gov/authorities/names/n2014182921	http://id.loc.gov/authorities/names/n2014182921	Brody, David L.	http://id.loc.gov/authorities/names/n2014182921	Brody, David L.,		Person		http://example.org/6774488#Agent100-18	
Aoyama, Tomoko	http://id.loc.gov/authorities/names/n2008035773	http://id.loc.gov/authorities/names/n2008035773	Aoyama, Tomoko	http://id.loc.gov/authorities/names/n2008035773	Aoyama, Tomoko	n2008035773	Person		http://example.org/6710714#Agent700-34	
Dales, Laura	http://id.loc.gov/authorities/names/n2008084818	http://id.loc.gov/authorities/names/n2008084818	Dales, Laura	http://id.loc.gov/authorities/names/n2008084818	Dales, Laura	n2008084818	Person		http://example.org/6710714#Agent700-35	
Dasgupta, Romit	http://id.loc.gov/authorities/names/n2004154617	http://id.loc.gov/authorities/names/n2004154617	Dasgupta, Romit	http://id.loc.gov/authorities/names/n2004154617	Dasgupta, Romit.	n2004154617	Person		http://example.org/6710714#Agent700-36	
Ofstad, Olav	http://id.loc.gov/authorities/names/n2014044627	http://id.loc.gov/authorities/names/n2014044627	Ofstad, Olav	http://id.loc.gov/authorities/names/n2014044627	Ofstad, Olav	n2014044627	Person		http://example.org/6807461#Agent100-20	
Bavinck, Maarten, 1954-	http://id.loc.gov/authorities/names/n85098794	http://id.loc.gov/authorities/names/n85098794	Bavinck, Maarten, 1954-	http://id.loc.gov/authorities/names/n85098794	Bavinck, Maarten, 1954-	n85098794	Person		http://example.org/6790609#Agent700-40	
Jyotishi, Amalendu	http://id.loc.gov/authorities/names/no2002023119	http://id.loc.gov/authorities/names/no2002023119	Jyotishi, Amalendu	http://id.loc.gov/authorities/names/no2002023119	Jyotishi, Amalendu	no2002023119	Person		http://example.org/6790609#Agent700-41	
Hintjens, Helen M.	http://id.loc.gov/authorities/names/nr92031707	http://id.loc.gov/authorities/names/nr92031707	Hintjens, Helen M.	http://id.loc.gov/authorities/names/nr92031707	Hintjens, Helen M.	nr92031707	Person		http://example.org/6678597#Agent700-35	
Žarkov, Dubravka, 1958-	http://id.loc.gov/authorities/names/nb2002045357	http://id.loc.gov/authorities/names/nb2002045357	Žarkov, Dubravka, 1958-	http://id.loc.gov/authorities/names/nb2002045357	Žarkov, Dubravka, 1958-	nb2002045357	Person		http://example.org/6678597#Agent700-36	
Timpson, William M.	http://id.loc.gov/authorities/names/n81100712	http://id.loc.gov/authorities/names/n81100712	Timpson, William M.	http://id.loc.gov/authorities/names/n81100712	Timpson, William M.	n81100712	Person		http://example.org/6799188#Agent100-20	
Université de Ngozi			Université de Ngozi	http://id.loc.gov/authorities/names/n2014039650	Université de Ngozi.		Organization		http://example.org/6799188#Agent610-32	
Ndura-Ouédraogo, Elavie	http://id.loc.gov/authorities/names/n2008050106	http://id.loc.gov/authorities/names/n2008050106	Ndura-Ouédraogo, Elavie	http://id.loc.gov/authorities/names/n2008050106	Ndura-Ouédraogo, Elavie	n2008050106	Person		http://example.org/6799188#Agent700-36	
Bangayimbaga, Apollinaire	http://id.loc.gov/authorities/names/n2014039636	http://id.loc.gov/authorities/names/n2014039636	Bangayimbaga, Apollinaire	http://id.loc.gov/authorities/names/n2014039636	Bangayimbaga, Apollinaire	n2014039636	Person		http://example.org/6799188#Agent700-37	
Rumelili, Bahar	http://id.loc.gov/authorities/names/nb2008000298	http://id.loc.gov/authorities/names/nb2008000298	Rumelili, Bahar	http://id.loc.gov/authorities/names/nb2008000298	Rumelili, Bahar	nb2008000298	Person		http://example.org/6802817#Agent700-36	
Crosson-Tower, Cynthia	http://id.loc.gov/authorities/names/n83231856	http://id.loc.gov/authorities/names/n83231856	Crosson-Tower, Cynthia	http://id.loc.gov/authorities/names/n83231856	Crosson-Tower, Cynthia	n83231856	Person		http://example.org/6703928#Agent100-17	
Owen, John M. (John Malloy), 1962-	http://id.loc.gov/authorities/names/n97068572	http://id.loc.gov/authorities/names/n97068572	Owen, John M. (John Malloy), 1962-	http://id.loc.gov/authorities/names/n97068572	Owen, John M. (John Malloy), 1962-	n97068572	Person		http://example.org/6790453#Agent100-15	
Sahlins, Marshall, 1930-	http://id.loc.gov/authorities/names/n50016277	http://id.loc.gov/authorities/names/n50016277	Sahlins, Marshall, 1930-	http://id.loc.gov/authorities/names/n50016277	Sahlins, Marshall, 1930-	n50016277	Person		http://example.org/6812672#Agent100-13	
Gagliano, Joseph A., 1974-	http://id.loc.gov/authorities/names/n2014021481	http://id.loc.gov/authorities/names/n2014021481	Gagliano, Joseph A., 1930-	http://id.loc.gov/authorities/names/n94020750	Gagliano, Joseph A.,		Person		http://example.org/6759934#Agent100-23	
United States. Congress.			United States. Congress	http://id.loc.gov/authorities/names/n79006865	United States. Congress.		Jurisdiction		http://example.org/6759934#Agent610-34	
Cook, Spike	http://id.loc.gov/authorities/names/no2014168223	http://id.loc.gov/authorities/names/no2014168223	Cook, Spike	http://id.loc.gov/authorities/names/no2014168223	Cook, Spike	no2014168223	Person		http://example.org/6765803#Agent100-14	
Moore, Lewis D.	http://id.loc.gov/authorities/names/no95005522	http://id.loc.gov/authorities/names/no95005522	Moore, Lewis D.	http://id.loc.gov/authorities/names/no95005522	Moore, Lewis D.	no95005522	Person		http://example.org/6808188#Agent100-16	
Benslama, Malek	http://id.loc.gov/authorities/names/nb2015001311	http://id.loc.gov/authorities/names/nb2015001311	Benslama, Malek	http://id.loc.gov/authorities/names/nb2015001311	Benslama, Malek	nb2015001311	Person		http://example.org/6812150#Agent100-23	
Batatia, Hadj	http://id.loc.gov/authorities/names/nb2015001316	http://id.loc.gov/authorities/names/nb2015001316	Batatia, Hadj	http://id.loc.gov/authorities/names/nb2015001316	Batatia, Hadj	nb2015001316	Person		http://example.org/6812150#Agent700-38	
