Val	match-ID-F	score-lc	Column 1	LC-VP	match-ID	score	Cor	LC-VC	score-c	org	Column 3	Column 4	blank
Sobel, Robert, 1931 February 19-1999	n79090242	100	Sobel, Robert, 1931 February 19-1999	n79090242	n79090242	1	Sobel, Robert, 1931 February 19-1999			Person		http://example.org/1019134#Agent100-12	
New York Stock Exchange	n79128010	100	New York Stock Exchange		n79128010		New York Stock Exchange	n79128010	1	Organization		http://example.org/1019134#Agent610-23	
McFadden, David, 1940-	n50007377	100	McFadden, David, 1940-	n50007377	n50007377	0.8461538462	McFadden, David, 1940-			Person		http://example.org/1011218#Agent100-10	
Phillipps, W. J. (William John), 1893-1967	n85814360	100	Phillipps, W. J. (William John), 1893-1967	n85814360	n85814360	1	Phillipps, W. J. (William John), 1893-1967			Person		http://example.org/1087083#Agent100-10	
Mataatua House			Mataatua House				Mataatua House			Organization		http://example.org/1087083#Agent610-18	
Wadmore, J. C			Wadmore, J. C				Wadmore, J. C			Person		http://example.org/1087083#Agent700-21	
Gaunt, William, 1900-1980	n80008536	100	Gaunt, William, 1900-1980	n80008536	n80008536	1	Gaunt, William, 1900-1980			Person		http://example.org/1085306#Agent100-16	
Hannay, David, 1853-1934	n50017733	100	Hannay, David, 1853-1934	n50017733	n50017733	1	Hannay, David, 1853-1934			Person		http://example.org/1008994#Agent100-10	
Blunden, Edmund, 1896-1974	n80069053	100	Blunden, Edmund, 1896-1974	n80069053	n80069053	1	Blunden, Edmund, 1896-1974			Person		http://example.org/1083670#Agent100-11	
Long Melford (England) Church of the Holy Trinity	no2009040380	92	Long Melford (England) Church of the Holy Trinity				Long Melford (England) Church of the Holy Trinity			Jurisdiction		http://example.org/1083670#Agent610-20	
McGovern, George S. (George Stanley), 1922-2012	n80039703	100	McGovern, George S. (George Stanley), 1922-2012	n80039703	n80039703	1	McGovern, George S. (George Stanley), 1922-2012			Person		http://example.org/1000145#Agent100-14	
Guttridge, Leonard F.	n84078884	100	Guttridge, Leonard F	n84078884	n84078884	0.9523809524	Guttridge, Leonard F			Person		http://example.org/1000145#Agent700-24	
Schonberg, Harold C.	n50002794	100	Schonberg, Harold C	n50002794	n50002794	0.95	Schonberg, Harold C			Person		http://example.org/1082132#Agent100-19	
Loucks, Henry L			Loucks, Henry L				Loucks, Henry L			Person		http://example.org/1018240#Agent100-9	
Sussman, Barry	n87891824	100	Sussman, Barry	n87891824	n87891824	1	Sussman, Barry			Person		http://example.org/1044857#Agent100-12	
Gould, J. D. (John Dennis), 1923-	n84094659	100	Gould, J. D. (John Dennis), 1923-	n84094659	n84094659	1	Gould, J. D. (John Dennis), 1923-			Person		http://example.org/1017670#Agent100-15	
Scott, Cecil Winfield, 1905-	n50004667	100	Scott, Cecil Winfield, 1905-	n50004667	n50004667	1	Scott, Cecil Winfield, 1905- 			Person		http://example.org/1056995#Agent100-17	
Kožík, František, 1909-1997	n50044217	94	Kožík, František, 1909-1997	n50044217	n50044217	1	Kožík, František, 1909-1997			Person		http://example.org/1096670#Agent100-10	
Deburau, Jean Gaspard, 1796-1846	n82237500	100	Deburau, Jean Gaspard, 1796-1846	n82237500	n82237500	0.96875	Deburau, Jean Gaspard, 1796-1846			Person		http://example.org/1096670#Agent600-18	
Round, Dora	n84160195	100	Round, Dora	n84160195	n84160195	0.9166666667	Round, Dora			Person		http://example.org/1096670#Agent700-19	
Veritas Foundation, New York			Veritas Foundation, New York				Veritas Foundation, New York			Organization		http://example.org/1036130#Agent110-10	
Paxson, Frederic L. (Frederic Logan), 1877-1948	n84182443	100	Paxson, Frederic L. (Frederic Logan), 1877-1948	n84182443	n84182443	1	Paxson, Frederic L. (Frederic Logan), 1877-1948			Person		http://example.org/1028867#Agent100-11	
Meigs, Cornelia, 1884-1973	n88116786	100	Meigs, Cornelia, 1884-1973	n88116786	n88116786	1	Meigs, Cornelia, 1884-1973			Person		http://example.org/1054963#Agent100-10	
United Nations	n79021345	100	United Nations		n79021345		United Nations	n79021345	0.9333333333	Organization		http://example.org/1054963#Agent610-19	
Nelson, Walter Henry	n50001168	100	Nelson, Walter Henry				Nelson, Walter Henry			Person		http://example.org/1012641#Agent100-11	
Scholes, Percy Alfred, 1877-1958	n50002790	91	Scholes, Percy Alfred, 1877-1958	n50002790	n50002790	0.84375	Scholes, Percy Alfred, 1877-1958			Person		http://example.org/1083875#Agent100-11	
Burney, Charles, 1726-1814	n50032067	100	Burney, Charles, 1726-1814	n50032067	n50032067	0.962962963	Burney, Charles, 1726-1814			Person		http://example.org/1083875#Agent600-19	
Burney family	no99081650	80	Burney family				Burney family			Family		http://example.org/1083875#Agent600-20	
Hopkins, Edward Washburn, 1857-1932	n50028469	100	Hopkins, Edward Washburn, 1857-1932	n50028469	n50028469	1	Hopkins, Edward Washburn, 1857-1932			Person		http://example.org/1098889#Agent100-13	
Fisher, E. A. (Ernest Arthur)	n50005615	100	Fisher, E. A. (Ernest Arthur)	n50005615	n50005615	0.9655172414	Fisher, E. A. (Ernest Arthur)			Person		http://example.org/1084307#Agent100-11	
Rajagopalan, C.	no00099648	100	Rajagopalan, C	no00099648	no00099648	0.9333333333	Rajagopalan, C			Person		http://example.org/1028066#Agent100-10	
Fackenthal, Frank Diehl, 1883-1968	n92032327	100	Fackenthal, Frank Diehl, 1883-1968	n92032327	n92032327	1	Fackenthal, Frank Diehl, 1883-1968			Person		http://example.org/1071977#Agent100-10	
Columbia University	n81024714	100	Columbia University		n81024714		Columbia University	n81024714	0.95	Organization		http://example.org/1071977#Agent610-18	
Pickard, Bertram, 1892-1973	n89645477	100	Pickard, Bertram, 1892-1973	n89645477	n89645477	1	Pickard, Bertram, 1892-1973			Person		http://example.org/1056349#Agent100-10	
Kone, Eugene			Kone, Eugene				Kone, Eugene			Person		http://example.org/1061094#Agent100-14	
Jordan, Helene J. (Helene Jamieson)	n50082202	100	Jordan, Helene J. (Helene Jamieson)	n50082202	n50082202	1	Jordan, Helene J. (Helene Jamieson)			Person		http://example.org/1061094#Agent700-25	
Knowles, Ruth Sheldon, 1915-	n80002571	100	Knowles, Ruth Sheldon, 1915-	n80002571	n80002571	1	Knowles, Ruth Sheldon, 1915-			Person		http://example.org/1005388#Agent100-11	
Weaver, John D. (John Downing), 1912-2002	n50023762	100	Weaver, John D. (John Downing), 1912-2002	n50023762	n50023762	1	Weaver, John D. (John Downing), 1912-2002			Person		http://example.org/1044751#Agent100-11	
Pearson, Norman, 1928-	n2007022658	100	Pearson, Norman, 1928-	n2007022658	n2007022658	1	Pearson, Norman, 1928-			Person		http://example.org/101818#Agent100-10	
Asbury, Herbert, 1891-1963	n85289789	100	Asbury, Herbert, 1891-1963	n85289789	n85289789	1	Asbury, Herbert, 1891-1963			Person		http://example.org/1033854#Agent100-11	
Angell, Norman, 1874-1967	n79043566	100	Angell, Norman, 1874-1967	n79043566	n79043566	1	Angell, Norman, 1874-1967			Person		http://example.org/1053593#Agent100-10	
Oman, John Campbell, 1841-1911	n80007965	100	Oman, John Campbell, 1841-1911	n80007965	n80007965	1	Oman, John Campbell, 1841-1911			Person		http://example.org/1098135#Agent100-10	
Vālmīki	n80036601	83	Vālmīki	n80036601	n80036601	1	Vālmīki			Person		http://example.org/1098135#Agent700-18	
Greeley, Horace, 1811-1872	n80045878	100	Greeley, Horace, 1811-1872	n80045878	n80045878	1	Greeley, Horace, 1811-1872			Person		http://example.org/1072954#Agent700-22	
Brown, A. J. (Arthur Joseph)	n80128406	100	Brown, A. J. (Arthur Joseph)	n80128406	n80128406	1	Brown, A. J. (Arthur Joseph)			Person		http://example.org/1015586#Agent100-10	
Lipson, Leslie, 1912-2000	n50051352	100	Lipson, Leslie, 1912-2000	n50051352	n50051352	1	Lipson, Leslie, 1912-2000			Person		http://example.org/1040860#Agent100-11	
Levinson, Harry	n50049126	100	Levinson, Harry	n50049126	n50049126	1	Levinson, Harry			Person		http://example.org/1013192#Agent100-17	
Sparrow, Gerald, 1903-1988	n80038439	100	Sparrow, Gerald, 1903-1988	n80038439	n80038439	1	Sparrow, Gerald, 1903-1988			Person		http://example.org/1076603#Agent100-12	
Pearson, Norman	n90637936	100	Pearson, Norman				Pearson, Norman			Person		http://example.org/101816#Agent100-11	
Dodwell, C. R. (Charles Reginald)	n50027459	100	Dodwell, C. R. (Charles Reginald)	n50027459	n50027459	1	Dodwell, C. R. (Charles Reginald)			Person		http://example.org/1087821#Agent100-11	
Hughes, E. R. (Ernest Richard), 1883-1956	n79067872	100	Hughes, E. R. (Ernest Richard), 1883-1956	n79067872	n79067872	0.9756097561	Hughes, E. R. (Ernest Richard), 1883-1956			Person		http://example.org/1099267#Agent700-19	
Zhong, Yong	n83053644	100	Zhong, Yong				Zhong, Yong			Person		http://example.org/1099267#Agent700-20	
Finney, Guy Woodward, 1879-			Finney, Guy Woodward, 1879-				Finney, Guy Woodward, 1879-			Person		http://example.org/1004472#Agent100-11	
Julian Petroleum Corporation	n93036150	100	Julian Petroleum Corporation		n93036150		Julian Petroleum Corporation	n93036150	1	Organization		http://example.org/1004472#Agent610-19	
Churchill, Winston, 1874-1965	n78085430	100	Churchill, Winston, 1874-1965	n78085430	n78085430	0.9666666667	Churchill, Winston, 1874-1965			Person		http://example.org/1027805#Agent100-12	
Churchill, Winston, 1874-1965	n78085430	100	Churchill, Winston, 1874-1965	n78085430	n78085430	0.9666666667	Churchill, Winston, 1874-1965			Person		http://example.org/1027805#Agent600-20	
Mahoney, Tom	n50066347	100	Mahoney, Tom	n50066347	n50066347	1	Mahoney, Tom			Person		http://example.org/1031033#Agent100-13	
Sloane, Leonard	n79151516	100	Sloane, Leonard	n79151516	n79151516	1	Sloane, Leonard			Person		http://example.org/1031033#Agent700-24	
Guillet, Edwin Clarence, 1898-1975			Guillet, Edwin Clarence, 1898-1975				Guillet, Edwin Clarence, 1898-1975			Person		http://example.org/1053159#Agent100-12	
Knox, John, approximately 1514-1572	n79066759	100	Knox, John, approximately 1514-1572	n79066759	n79066759	1	Knox, John, approximately 1514-1572			Person		http://example.org/1062007#Agent100-10	
Hoover, Herbert, 1874-1964	n79021421	100	Hoover, Herbert, 1874-1964	n79021421	n79021421	1	Hoover, Herbert, 1874-1964			Person		http://example.org/1062007#Agent600-18	
Murray, Michele	n50026543	100	Murray, Michele				Murray, Michele			Person		http://example.org/1054284#Agent100-11	
Sanderlin, Walter S., 1920-	n82120484	100	Sanderlin, Walter S., 1920-	n82120484	n82120484	1	Sanderlin, Walter S., 1920-			Person		http://example.org/1006734#Agent100-10	
Dolson, Hildegarde	n50027803	100	Dolson, Hildegarde	n50027803	n50027803	0.9473684211	Dolson, Hildegarde			Person		http://example.org/105523#Agent100-13	
Mozart, Wolfgang Amadeus, 1756-1791	n80022788	100	Mozart, Wolfgang Amadeus, 1756-1791	n80022788	n80022788	0.9722222222	Mozart, Wolfgang Amadeus, 1756-1791			Person		http://example.org/1073776#Agent100-10	
Broder, Nathan	n81142687	100	Broder, Nathan	n81142687	n81142687	0.9333333333	Broder, Nathan			Person		http://example.org/1073776#Agent700-22	
Anderson, Anne, 1906-1997	n99277131	100	Anderson, Anne, 1906-1997	n99277131	n99277131	1	Anderson, Anne, 1906-1997			Person		http://example.org/105904#Agent100-12	
Lavender, David Sievert, 1910-2003	n79018114	86	Lavender, David Sievert, 1910-2003				Lavender, David Sievert, 1910-2003			Person		http://example.org/1007890#Agent100-12	
Huntington, Collis Potter, 1821-1900	n88609739	100	Huntington, Collis Potter, 1821-1900	n88609739	n88609739	1	Huntington, Collis Potter, 1821-1900			Person		http://example.org/1007890#Agent600-22	
Morris, Jan, 1926-	n80076612	100	Morris, Jan, 1926-	n80076612	n80076612	0.8181818182	Morris, Jan, 1926-			Person		http://example.org/1006820#Agent100-13	
Rivera, Juan F., 1906-	n85809208	100	Rivera, Juan F., 1906-	n85809208	n85809208	1	Rivera, Juan F., 1906- 			Person		http://example.org/104014#Agent100-10	
Herling, John	n88001952	100	Herling, John	n88001952	n88001952	0.9285714286	Herling, John			Person		http://example.org/105206#Agent100-11	
Li, Ming-Hsun, 1911-			Li, Ming-Hsun, 1911-				Li, Ming-Hsun, 1911-			Person		http://example.org/1017678#Agent100-11	
Jones, Elwood H., 1941-	n77001620	85	Jones, Elwood H., 1941-				Jones, Elwood H., 1941-			Person		http://example.org/1051460#Agent100-11	
Klein, Maury, 1939-	n85160882	100	Klein, Maury, 1939-	n85160882	n85160882	0.8260869565	Klein, Maury, 1939-			Person		http://example.org/1007915#Agent100-12	
Eleutherian Mills-Hagley Foundation	n50050012	100	Eleutherian Mills-Hagley Foundation		n50050012		Eleutherian Mills-Hagley Foundation	n50050012	1	Organization		http://example.org/1007915#Agent710-23	
Eidelberg, P. G. (Philip Gabriel), 1937-	no2002107135	100	Eidelberg, P. G. (Philip Gabriel), 1937-	no2002107135	no2002107135	1	Eidelberg, P. G. (Philip Gabriel), 1937-			Person		http://example.org/102144#Agent100-13	
Borkowski, Piotr	n83147179	100	Borkowski, Piotr	n83147179	n83147179	1	Borkowski, Piotr			Person		http://example.org/1037214#Agent100-12	
Greer, Colin	n79023330	100	Greer, Colin	n79023330	n79023330	0.9230769231	Greer, Colin			Person		http://example.org/1057143#Agent100-15	
Boxer, C. R. (Charles Ralph), 1904-2000	n50043124	100	Boxer, C. R. (Charles Ralph), 1904-2000	n50043124	n50043124	0.9743589744	Boxer, C. R. (Charles Ralph), 1904-2000			Person		http://example.org/1009683#Agent100-11	
Delieb, Eric	n50039050	100	Delieb, Eric	n50039050	n50039050	1	Delieb, Eric			Person		http://example.org/1088970#Agent100-14	
Boulton, Matthew, 1728-1809	n81026727	100	Boulton, Matthew, 1728-1809	n81026727	n81026727	1	Boulton, Matthew, 1728-1809			Person		http://example.org/1088970#Agent600-23	
Roberts, Michael	n80165466	100	Roberts, Michael				Roberts, Michael			Person		http://example.org/1088970#Agent700-25	
Rees, Goronwy, 1909-1979	n50048864	100	Rees, Goronwy, 1909-1979	n50048864	n50048864	1	Rees, Goronwy, 1909-1979			Person		http://example.org/1002149#Agent100-13	
Ginzberg, Eli, 1911-2002	n79039850	100	Ginzberg, Eli, 1911-2002	n79039850	n79039850	1	Ginzberg, Eli, 1911-2002			Person		http://example.org/1044967#Agent100-13	
Solow, Robert M.	n50013075	100	Solow, Robert M	n50013075	n50013075	0.9375	Solow, Robert M			Person		http://example.org/1044967#Agent700-25	
Cowles, Virginia	n83002896	100	Cowles, Virginia	n83002896	n83002896	0.9411764706	Cowles, Virginia			Person		http://example.org/1009031#Agent100-10	
South Sea Company	n50077698	100	South Sea Company		n50077698		South Sea Company	n50077698	1	Organization		http://example.org/1009031#Agent610-20	
Larson, Martin Alfred, 1897-	n79138989	100	Larson, Martin Alfred, 1897-	n79138989	n79138989	0.875	Larson, Martin Alfred, 1897-			Person		http://example.org/102428#Agent100-10	
Rugg, Harold Ordway, 1886-1960	n50023507	100	Rugg, Harold Ordway, 1886-1960	n50023507	n50023507	1	Rugg, Harold Ordway, 1886-1960			Person		http://example.org/1062026#Agent100-11	
Conference of College Teachers of English of Texas	n86106924	100	Conference of College Teachers of English of Texas		n86106924		Conference of College Teachers of English of Texas	n86106924	1	Meeting		http://example.org/1073544#Agent111-10	
Griffith, Reginald Harvey, 1873-1957	nr98010098	100	Griffith, Reginald Harvey, 1873-1957	nr98010098	nr98010098	1	Griffith, Reginald Harvey, 1873-1957			Person		http://example.org/1073544#Agent600-18	
Osborne, Mary Tom			Osborne, Mary Tom				Osborne, Mary Tom			Person		http://example.org/1073544#Agent700-19	
University of Texas. Humanities Research Center	n79059613	100	University of Texas. Humanities Research Center		n79061316		University of Texas. Humanities Research Center	n79061316	0.8245614035	Organization		http://example.org/1073544#Agent710-20	
Duché, Jean	n50026780	95	Duché, Jean	n50026780	n50026780	0.9166666667	Duché, Jean			Person		http://example.org/1005915#Agent100-15	
Morgan, Bryan, 1923-	n50005815	100	Morgan, Bryan, 1923-	n50005815	n50005815	0.8333333333	Morgan, Bryan, 1923-			Person		http://example.org/1054300#Agent100-12	
Jackson, Alan Arthur	n50027775	100	Jackson, Alan Arthur	n50027775	n50027775	0.9523809524	Jackson, Alan Arthur			Person		http://example.org/1054300#Agent700-22	
Snell, J. B.	n50014911	100	Snell, J. B	n50014911	n50014911	0.9166666667	Snell, J. B			Person		http://example.org/1054300#Agent700-23	
Leander Touati, Anne-Marie	nr89016671	100	Leander Touati, Anne-Marie	nr89016671	nr89016671	1	Leander Touati, Anne-Marie			Person		http://example.org/1002649#Agent100-10	
I︠A︡novskiĭ, V. S. (Vasiliĭ S.), 1906-1989	n50053093	97	I͡Anovskiĭ, V. S. (Vasiliĭ S.), 1906-1989	n50053093	n50053093	0.8636363636	I͡Anovskiĭ, V. S. (Vasiliĭ S.), 1906-1989			Person		http://example.org/1003991#Agent100-11	
Belk, Fred Richard, 1937-	no2004026344	100	Belk, Fred Richard, 1937-	no2004026344	no2004026344	0.8620689655	Belk, Fred Richard, 1937-			Person		http://example.org/108345#Agent100-14	
Kivimaa, Kirsti	no2010070943	100	Kivimaa, Kirsti	no2010070943	no2010070943	0.9375	Kivimaa, Kirsti			Person		http://example.org/1012220#Agent100-9	
Lehto, Leena			Lehto, Leena				Lehto, Leena			Person		http://example.org/1012220#Agent700-19	
Ferro, Marc	n50001238	100	Ferro, Marc	n50001238	n50001238	1	Ferro, Marc			Person		http://example.org/1042248#Agent100-19	
Kilian, Crawford, 1941-	n80070627	100	Kilian, Crawford, 1941-	n80070627	n80070627	0.8518518519	Kilian, Crawford, 1941-			Person		http://example.org/1010915#Agent100-11	
Gregor, Ian	n80057290	100	Gregor, Ian				Gregor, Ian			Person		http://example.org/1047183#Agent100-17	
Hardy, Thomas, 1840-1928	n79046230	100	Hardy, Thomas, 1840-1928	n79046230	n79046230	0.96	Hardy, Thomas, 1840-1928			Person		http://example.org/1047183#Agent600-25	
Woodward, Arthur, 1898-1986	n88610061	100	Woodward, Arthur, 1898-1986	n88610061	n88610061	1	Woodward, Arthur, 1898-1986			Person		http://example.org/100695#Agent100-11	
Bowman, Sarah A., 1813-1866			Bowman, Sarah A., 1813-1866				Bowman, Sarah A., 1813-1866			Person		http://example.org/100695#Agent600-20	
United States. Army	n79063202	100	United States. Army		n79063202		United States. Army	n79063202	1	Jurisdiction		http://example.org/100695#Agent610-21	
Harman, Fred, 1902-1982	no98106513	100	Harman, Fred, 1902-1982	no98106513	no98106513	1	Harman, Fred, 1902-1982			Person		http://example.org/1085204#Agent100-12	
Le Queux, William, 1864-1927	n86835863	100	Le Queux, William, 1864-1927	n86835863	n86835863	1	Le Queux, William, 1864-1927			Person		http://example.org/1068119#Agent100-11	
Flecker, James Elroy, 1884-1915	n50003513	100	Flecker, James Elroy, 1884-1915	n50003513	n50003513	1	Flecker, James Elroy, 1884-1915			Person		http://example.org/1061548#Agent100-10	
Drews, Robert	n82073935	100	Drews, Robert	n82073935	n82073935	1	Drews, Robert			Person		http://example.org/10873#Agent100-12	
Herodotus	n79086888	100	Herodotus	n79086888	n79086888	1	Herodotus			Person		http://example.org/10873#Agent600-21	
Pack, Roger A. (Roger Ambrose), 1907-1993	no2008074837	100	Pack, Roger A. (Roger Ambrose), 1907-1993	no2008074837	no2008074837	1	Pack, Roger A. (Roger Ambrose), 1907-1993			Person		http://example.org/1089885#Agent100-10	
Parks, George Bruner, 1890-	n50051633	100	Parks, George Bruner, 1890-	n50051633	n50051633	0.8709677419	Parks, George Bruner, 1890-			Person		http://example.org/1090681#Agent100-14	
Temple, Ruth Zabriskie	n50008237	100	Temple, Ruth Zabriskie	n50008237	n50008237	1	Temple, Ruth Zabriskie			Person		http://example.org/1090681#Agent700-25	
Hutton, James, 1902-	n80067382	87	Hutton, James, 1902-	n80067382	n80067382	0.8333333333	Hutton, James, 1902-			Person		http://example.org/1089907#Agent100-10	
Gow, A. S. F. (Andrew Sydenham Farrar), 1886-1978	n50058262	100	Gow, A. S. F. (Andrew Sydenham Farrar), 1886-1978	n50058262	n50058262	0.9591836735	Gow, A. S. F. (Andrew Sydenham Farrar), 1886-1978			Person		http://example.org/1089906#Agent100-10	
Society for the Promotion of Hellenic Studies	n82081755	86	Society for the Promotion of Hellenic Studies				Society for the Promotion of Hellenic Studies			Organization		http://example.org/1089906#Agent810-19	
Schlesinger, Kathleen	nr95031646	100	Schlesinger, Kathleen	nr95031646	nr95031646	1	Schlesinger, Kathleen			Person		http://example.org/1082074#Agent100-14	
Greece. Hypourgeio Exōterikōn	n84179612	96	Greece. Hypourgeio Exōterikōn		n84179612		Greece. Hypourgeio Exōterikōn	n84179612	1	Jurisdiction		http://example.org/1050496#Agent110-13	
Webster, T. B. L. (Thomas Bertram Lonsdale), 1905-1974	n50023787	100	Webster, T. B. L. (Thomas Bertram Lonsdale), 1905-1974	n50023787	n50023787	0.962962963	Webster, T. B. L. (Thomas Bertram Lonsdale), 1905-1974			Person		http://example.org/1090310#Agent100-15	
Glotz, Gustave, 1862-1935	n50030595	100	Glotz, Gustave, 1862-1935	n50030595	n50030595	1	Glotz, Gustave, 1862-1935			Person		http://example.org/1041257#Agent100-12	
Mallinson, N	n86122731	83	Mallinson, N				Mallinson, N			Person		http://example.org/1041257#Agent700-22	
Aristotle	n79004182	100	Aristotle	n79004182	n79004182	1	Aristotle			Person		http://example.org/1027454#Agent600-21	
Aristotle	n79004182	100	Aristotle	n79004182	n79004182	1	Aristotle			Person		http://example.org/1027454#Agent700-23	
Stathopoulos, Petros A.	n90665576	100	Stathopoulos, Petros A	n90665576	n90665576	0.9565217391	Stathopoulos, Petros A			Person		http://example.org/1061508#Agent100-11	
Ethnikon Kentron Koinn̄ikōn Ereunon (Greece)			Ethnikon Kentron Koinn̄ikōn Ereunon (Greece)				Ethnikon Kentron Koinn̄ikōn Ereunon (Greece)			Organization		http://example.org/1061508#Agent710-20	
McNeill, William Hardy, 1917-	n50007853	91	McNeill, William Hardy, 1917-	n50007853	n50007853	0.8787878788	McNeill, William Hardy, 1917-			Person		http://example.org/1066279#Agent100-11	
Littman, Robert	nr00025643	100	Littman, Robert				Littman, Robert			Person		http://example.org/1042254#Agent100-18	
Godolphin, Francis Richard Borroum	nr00017843	80	Godolphin, Francis Richard Borroum				Godolphin, Francis Richard Borroum			Person		http://example.org/1095394#Agent100-15	
Herodotus	n79086888	100	Herodotus	n79086888	n79086888	1	Herodotus			Person		http://example.org/1095394#Agent700-28	
Thucydides	n79021175	100	Thucydides	n79021175	n79021175	1	Thucydides			Person		http://example.org/1095394#Agent700-29	
Xenophon	n80036673	100	Xenophon	n80036673	n80036673	0.875	Xenophon			Person		http://example.org/1095394#Agent700-30	
Arrian	n79023201	100	Arrian	n79023201	n79023201	1	Arrian			Person		http://example.org/1095394#Agent700-31	
Rawlinson, George, 1812-1902	n84005926	100	Rawlinson, George, 1812-1902	n84005926	n84005926	1	Rawlinson, George, 1812-1902			Person		http://example.org/1095394#Agent700-32	
Jowett, Benjamin, 1817-1893	n50062804	100	Jowett, Benjamin, 1817-1893	n50062804	n50062804	1	Jowett, Benjamin, 1817-1893			Person		http://example.org/1095394#Agent700-33	
Dakyns, Henry Graham	n87914526	100	Dakyns, Henry Graham	n87914526	n87914526	1	Dakyns, Henry Graham			Person		http://example.org/1095394#Agent700-34	
Chinnock, Edward James			Chinnock, Edward James				Chinnock, Edward James			Person		http://example.org/1095394#Agent700-35	
Brown, Truesdell S. (Truesdell Sparhawk), 1906-1992	n87934807	100	Brown, Truesdell S. (Truesdell Sparhawk), 1906-1992	n87934807	n87934807	1	Brown, Truesdell S. (Truesdell Sparhawk), 1906-1992			Person		http://example.org/106117#Agent100-12	
Bakker, Willem Frederik, 1934-	n50021024	100	Bakker, Willem Frederik, 1934-	n50021024	n50021024	0.8823529412	Bakker, Willem Frederik, 1934-			Person		http://example.org/1090176#Agent100-12	
Oldfather, Charles Henry, 1887-	nr93031117	100	Oldfather, Charles Henry, 1887-	nr93031117	nr93031117	1	Oldfather, Charles Henry, 1887-			Person		http://example.org/1089871#Agent100-11	
Lobel, Edgar, 1888-	no97067368	86	Lobel, Edgar, 1888-	no97067368	no97067368	0.8260869565	Lobel, Edgar, 1888-			Person		http://example.org/1090020#Agent100-10	
Aristotle	n79004182	100	Aristotle	n79004182	n79004182	1	Aristotle			Person		http://example.org/1090020#Agent600-18	
Denniston, J. D. (John Dewar), 1887-1949	n79006403	100	Denniston, J. D. (John Dewar), 1887-1949	n79006403	n79006403	0.975	Denniston, J. D. (John Dewar), 1887-1949			Person		http://example.org/1090181#Agent100-10	
Prentice, William Kelly, 1871-1964	n85809315	100	Prentice, William Kelly, 1871-1964	n85809315	n85809315	1	Prentice, William Kelly, 1871-1964			Person		http://example.org/1041261#Agent600-18	
Wyatt, William F., 1932-	n98075072	100	Wyatt, William F., 1932-	n98075072	n98075072	0.8571428571	Wyatt, William F., 1932-			Person		http://example.org/1090163#Agent100-12	
Boardman, John, 1927-	n79021119	100	Boardman, John, 1927-	n79021119	n79021119	0.84	Boardman, John, 1927-			Person		http://example.org/1040800#Agent100-13	
Ehrenberg, Victor, 1891-1976	n79149067	100	Ehrenberg, Victor, 1891-1976				Ehrenberg, Victor, 1891-1976			Person		http://example.org/1041253#Agent100-12	
Allen, James Turney, 1873-	n93007788	90	Allen, James Turney, 1873-	n93007788	n93007788	0.8666666667	Allen, James Turney, 1873-			Person		http://example.org/1090337#Agent100-13	
Lucas, D. W. (Donald William)	n89626018	100	Lucas, D. W. (Donald William)	n89626018	n89626018	1	Lucas, D. W. (Donald William)			Person		http://example.org/1090281#Agent100-10	
Baldry, H. C.	n50017623	100	Baldry, H. C	n50017623	n50017623	0.9230769231	Baldry, H. C			Person		http://example.org/1090331#Agent100-18	
Unger, Irwin	n50046255	100	Unger, Irwin	n50046255	n50046255	0.9230769231	Unger, Irwin			Person		http://example.org/1019508#Agent100-16	
Barrett, Don Carlos			Barrett, Don Carlos				Barrett, Don Carlos			Person		http://example.org/1016951#Agent100-11	
Great Britain. Ministry of Housing and Local Government	n80099575	100	Great Britain. Ministry of Housing and Local Government		n80099575		Great Britain. Ministry of Housing and Local Government	n80099575	1	Jurisdiction		http://example.org/1000753#Agent710-20	
Great Britain. Her Majesty's Stationery Office	n50077448	100	Great Britain. Her Majesty's Stationery Office		n50077448		Great Britain. Her Majesty's Stationery Office	n50077448	1	Jurisdiction		http://example.org/1000753#Agent710-21	
Rosenmeyer, Thomas G.	n81015583	100	Rosenmeyer, Thomas G	n81015583	n81015583	0.9523809524	Rosenmeyer, Thomas G			Person		http://example.org/1091858#Agent100-17	
Theocritus	n50033430	100	Theocritus	n50033430	n50033430	1	Theocritus			Person		http://example.org/1091858#Agent600-27	
Reid, Ed	n87151119	100	Reid, Ed	n87151119	n87151119	0.8888888889	Reid, Ed			Person		http://example.org/1035353#Agent100-11	
Demaris, Ovid	n80087667	100	Demaris, Ovid	n80087667	n80087667	0.9285714286	Demaris, Ovid			Person		http://example.org/1035353#Agent700-20	
Nessu-ta-nebt-ȧshru, priestess, approximately 970			Nessu-ta-nebt-ȧshru, priestess, approximately 970				Nessu-ta-nebt-ȧshru, priestess, approximately 970			Person		http://example.org/1098594#Agent700-19	
Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934	n80057205	100	Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934	n80057205	n80057205	0.9827586207	Budge, E. A. Wallis (Ernest Alfred Wallis), Sir, 1857-1934			Person		http://example.org/1098594#Agent700-20	
Weinstock, Ruth	n79071396	100	Weinstock, Ruth	n79071396	n79071396	1	Weinstock, Ruth			Person		http://example.org/1055958#Agent100-13	
Educational Facilities Laboratories	n79071395	100	Educational Facilities Laboratories		n79071395		Educational Facilities Laboratories	n79071395	1	Organization		http://example.org/1055958#Agent710-24	
