Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Scott, Charles Kennedy, 1876-1965	no93005217	100	Scott, Charles Kennedy, 1876-1965	no93005217	no93005217	1	Scott, Charles Kennedy, 1876-1965			Person		http://example.org/1075586#Agent100-10	
Palermo, David Stuart, 1929-	n81084377	100	Palermo, David Stuart, 1929-	n81084377	n81084377	0.875	Palermo, David Stuart, 1929-			Person		http://example.org/1063797#Agent100-11	
Jenkins, James J.	n50028072	100	Jenkins, James J	n50028072	n50028072	0.9411764706	Jenkins, James J			Person		http://example.org/1063797#Agent700-21	
Goldsmith, Josephine Spivack, 1931-			Goldsmith, Josephine Spivack, 1931-				Goldsmith, Josephine Spivack, 1931-			Person		http://example.org/102675#Agent100-9	
Adams, Edward Larrabee			Adams, Edward Larrabee				Adams, Edward Larrabee			Person		http://example.org/1093826#Agent100-10	
Pathak, Shridharshastri			Pathak, Shridharshastri				Pathak, Shridharshastri			Person		http://example.org/1042318#Agent100-9	
Pāṇini	n84058004	86	Pāṇini	n80062965	n80062965	1	Pāṇini			Person		http://example.org/1042318#Agent600-18	
Chitrao, Siddheshvarshastri			Chitrao, Siddheshvarshastri				Chitrao, Siddheshvarshastri			Person		http://example.org/1042318#Agent700-20	
Swansea, Charleen	n79000087	100	Swansea, Charleen	n79000087	n79000087	1	Swansea, Charleen			Person		http://example.org/1029269#Agent100-11	
Hassett, Jo	no2014143214	100	Hassett, Jo	no2014143214	no2014143214	1	Hassett, Jo			Person		http://example.org/1029269#Agent700-20	
Staal, J. F			Staal, J. F				Staal, J. F			Person		http://example.org/1098782#Agent100-10	
Kleinschrod, Walter A.	n79060462	100	Kleinschrod, Walter A	n79060462	n79060462	0.9545454545	Kleinschrod, Walter A			Person		http://example.org/1026474#Agent100-10	
Adams, George C. S. (George Cotton Smith), 1911-1981	no2009163659	100	Adams, George C. S. (George Cotton Smith), 1911-1981	no2009163659	no2009163659	1	Adams, George C. S. (George Cotton Smith), 1911-1981			Person		http://example.org/1093791#Agent100-10	
Wartburg, Walther von, 1888-1971	n80164462	100	Wartburg, Walther von, 1888-1971	n80164462	n80164462	0.9393939394	Wartburg, Walther von, 1888-1971			Person		http://example.org/1093791#Agent700-21	
Helm, E. Eugene	n83208213	100	Helm, E. Eugene	n83208213	n83208213	1	Helm, E. Eugene			Person		http://example.org/1006074#Agent100-10	
Luper, Albert T. (Albert Thomas)	n83208203	100	Luper, Albert T. (Albert Thomas)	n83208203	n83208203	1	Luper, Albert T. (Albert Thomas)			Person		http://example.org/1006074#Agent700-20	
Davison, Archibald T. (Archibald Thompson), 1883-1961	n85064882	100	Davison, Archibald T. (Archibald Thompson), 1883-1961	n85064882	n85064882	0.9814814815	Davison, Archibald T. (Archibald Thompson), 1883-1961			Person		http://example.org/1073068#Agent100-10	
Hicks, Wilson, 1897-1970	n90656596	100	Hicks, Wilson, 1897-1970	n90656596	n90656596	1	Hicks, Wilson, 1897-1970			Person		http://example.org/1060802#Agent100-13	
Gellner, Ernest	n80016936	100	Gellner, Ernest	n80016936	n80016936	1	Gellner, Ernest			Person		http://example.org/1094362#Agent100-11	
Moore, Geroge Edward, 1873-			Moore, Geroge Edward, 1873-				Moore, Geroge Edward, 1873-			Person		http://example.org/1094362#Agent600-19	
Minteer, Catherine			Minteer, Catherine				Minteer, Catherine			Person		http://example.org/1061749#Agent100-10	
Sutro, Alfred, 1869-1945	n85050360	100	Sutro, Alfred, 1869-1945	n85050360	n85050360	1	Sutro, Alfred, 1869-1945			Person		http://example.org/1034082#Agent100-9	
Haydn, Hiram Collins, 1907-1973	n79142970	100	Haydn, Hiram Collins, 1907-1973	n79142970	n79142970	1	Haydn, Hiram Collins, 1907-1973			Person		http://example.org/1051256#Agent100-11	
Haydn, Hiram Collins, 1907-1973	n79142970	100	Haydn, Hiram Collins, 1907-1973	n79142970	n79142970	1	Haydn, Hiram Collins, 1907-1973			Person		http://example.org/1051256#Agent600-22	
West, Paul, 1930-	n80044528	85	West, Paul, 1930-	n80044528	n80044528	0.8095238095	West, Paul, 1930-			Person		http://example.org/1033635#Agent100-14	
Clinton-Baddeley, V. C. (Victor Clinton), 1900-1970	n50031806	100	Clinton-Baddeley, V. C. (Victor Clinton), 1900-1970	n50031806	n50031806	1	Clinton-Baddeley, V. C. (Victor Clinton), 1900-1970			Person		http://example.org/1075165#Agent100-11	
Bruchac, Joseph, 1942-	n79042033	100	Bruchac, Joseph, 1942- 	n79042033	n79042033	0.8461538462	Bruchac, Joseph, 1942- 			Person		http://example.org/1039741#Agent100-14	
Witherup, William	n50014442	100	Witherup, William	n50014442	n50014442	1	Witherup, William			Person		http://example.org/1039741#Agent700-26	
Bissett, Bill, 1939-	n85094107	100	Bissett, Bill, 1939-	n85094107	n85094107	0.8333333333	Bissett, Bill, 1939-			Person		http://example.org/1040915#Agent100-10	
Routley, Erik	n79089582	100	Routley, Erik	n79089582	n79089582	1	Routley, Erik			Person		http://example.org/1075024#Agent100-16	
Beier, Ulli	n79071346	100	Beier, Ulli	n79071346	n79071346	1	Beier, Ulli			Person		http://example.org/1025953#Agent100-12	
Lee, M. Owen, 1930-	n88137923	100	Lee, M. Owen, 1930-	n88137923	n88137923	0.8260869565	Lee, M. Owen, 1930-			Person		http://example.org/1091206#Agent100-15	
Horace	n79081354	100	Horace	n79081354	n79081354	0.8571428571	Horace			Person		http://example.org/1091206#Agent600-24	
Duckles, Vincent H. (Vincent Harris), 1913-1985	n88135810	100	Duckles, Vincent H. (Vincent Harris), 1913-1985	n88135810	n88135810	1	Duckles, Vincent H. (Vincent Harris), 1913-1985			Person		http://example.org/1083128#Agent100-12	
Purcell, Henry, 1659-1695	n79095298	100	Purcell, Henry, 1659-1695	n79095298	n79095298	1	Purcell, Henry, 1659-1695			Person		http://example.org/1083128#Agent600-21	
Zimmerman, Franklin B.	n83065613	100	Zimmerman, Franklin B	n83065613	n83065613	0.9545454545	Zimmerman, Franklin B			Person		http://example.org/1083128#Agent700-24	
William Andrews Clark Memorial Library	n50051016	100	William Andrews Clark Memorial Library		n50051016		William Andrews Clark Memorial Library	n50051016	0.9743589744	Organization		http://example.org/1083128#Agent710-25	
Engel, Lehman, 1910-1982	n50010358	100	Engel, Lehman, 1910-1982	n50010358	n50010358	1	Engel, Lehman, 1910-1982			Person		http://example.org/1074804#Agent100-13	
Prickett, Stephen	n81052370	100	Prickett, Stephen	n81052370	n81052370	1	Prickett, Stephen			Person		http://example.org/105821#Agent100-11	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/105821#Agent600-20	
Coleridge, Samuel Taylor, 1772-1834	n78095462	100	Coleridge, Samuel Taylor, 1772-1834	n78095462	n78095462	1	Coleridge, Samuel Taylor, 1772-1834			Person		http://example.org/105821#Agent600-21	
Weiskel, Thomas Francis, 1945-			Weiskel, Thomas Francis, 1945-				Weiskel, Thomas Francis, 1945-			Person		http://example.org/1078436#Agent100-9	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/1078436#Agent600-19	
Collins, William James, 1941-			Collins, William James, 1941-				Collins, William James, 1941-			Person		http://example.org/1062522#Agent100-9	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/1062522#Agent600-19	
Johnson, Lee M.	n83194976	100	Johnson, Lee M	n83194976	n83194976	0.9333333333	Johnson, Lee M			Person		http://example.org/1016903#Agent100-9	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/1016903#Agent600-18	
Wlecke, Albert Otto, 1936-			Wlecke, Albert Otto, 1936-				Wlecke, Albert Otto, 1936-			Person		http://example.org/10027#Agent100-9	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/10027#Agent600-19	
Jones, Alun R. (Alun Richard)	n86145680	100	Jones, Alun R. (Alun Richard)	n86145680	n86145680	1	Jones, Alun R. (Alun Richard)			Person		http://example.org/1030010#Agent100-12	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/1030010#Agent600-21	
Tydeman, William	n50018945	100	Tydeman, William	n50018945	n50018945	0.9411764706	Tydeman, William			Person		http://example.org/1030010#Agent700-22	
Rice, Richard Ashley, 1878-1955	n50044884	100	Rice, Richard Ashley, 1878-1955	n50044884	n50044884	1	Rice, Richard Ashley, 1878-1955			Person		http://example.org/1005429#Agent100-10	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/1005429#Agent600-20	
Harvey, William James, 1925-			Harvey, William James, 1925-				Harvey, William James, 1925-			Person		http://example.org/1028388#Agent100-11	
Wordsworth, William, 1770-1850	n79006595	100	Wordsworth, William, 1770-1850	n79006595	n79006595	0.9677419355	Wordsworth, William, 1770-1850			Person		http://example.org/1028388#Agent600-21	
Gravil, Richard	n84227245	100	Gravil, Richard	n84227245	n84227245	0.9375	Gravil, Richard			Person		http://example.org/1028388#Agent700-22	
Klonowicz, Sebastian Fabian, approximately 1545-1602	n86003149	100	Klonowicz, Sebastian Fabian, approximately 1545-1602	n86003149	n86003149	1	Klonowicz, Sebastian Fabian, approximately 1545-1602			Person		http://example.org/1097195#Agent100-10	
Budzyk, Kazimierz	nr92014490	100	Budzyk, Kazimierz	nr92014490	nr92014490	1	Budzyk, Kazimierz			Person		http://example.org/1097195#Agent700-19	
Obrębska-Jabłońska, Antonina	n87908277	96	Obrębska-Jabłońska, Antonina	n87908277	n87908277	1	Obrębska-Jabłońska, Antonina			Person		http://example.org/1097195#Agent700-20	
Białecki, Józef, 1935-			Białecki, Józef, 1935-				Białecki, Józef, 1935-			Person		http://example.org/1097852#Agent100-10	
Stocking, George Ward, 1892-1975	n50011385	100	Stocking, George Ward, 1892-1975	n50011385	n50011385	1	Stocking, George Ward, 1892-1975			Person		http://example.org/104163#Agent100-12	
Eastman, Crystal, 1881-1928	n91032403	100	Eastman, Crystal, 1881-1928	n91032403	n91032403	1	Eastman, Crystal, 1881-1928			Person		http://example.org/1001341#Agent100-11	
Russell Sage Foundation	n80050399	100	Russell Sage Foundation		n80050399		Russell Sage Foundation	n80050399	0.9565217391	Organization		http://example.org/1001341#Agent710-23	
Survey Associates	n84201909	100	Survey Associates				Survey Associates			Organization		http://example.org/1001341#Agent710-24	
Blum, Fred H.	nr92002144	100	Blum, Fred H	nr92002144	nr92002144	0.9230769231	Blum, Fred H			Person		http://example.org/1005533#Agent100-13	
Scott Bader &amp; Co., ltd., Wollaston, Eng. (Northamptonshire)			Scott Bader &amp; Co., ltd., Wollaston, Eng. (Northamptonshire)				Scott Bader &amp; Co., ltd., Wollaston, Eng. (Northamptonshire)			Organization		http://example.org/1005533#Agent610-22	
Scott Bader Commonwealth, ltd			Scott Bader Commonwealth, ltd				Scott Bader Commonwealth, ltd			Organization		http://example.org/1005533#Agent610-23	
Comitas, Lambros	n79117874	100	Comitas, Lambros	n79117874	n79117874	0.9411764706	Comitas, Lambros			Person		http://example.org/1053684#Agent100-12	
Lowenthal, David	n50043528	100	Lowenthal, David	n50043528	n50043528	1	Lowenthal, David			Person		http://example.org/1053684#Agent700-26	
Haworth, John Trevor			Haworth, John Trevor				Haworth, John Trevor			Person		http://example.org/109271#Agent700-33	
Smith, Michael A.	no2012043830	100	Smith, Michael A				Smith, Michael A			Person		http://example.org/109271#Agent700-34	
Gill, Eric, 1882-1940	n50027765	100	Gill, Eric, 1882-1940	n50027765	n50027765	1	Gill, Eric, 1882-1940			Person		http://example.org/1076377#Agent100-10	
Dunnette, Marvin D.	n81081938	100	Dunnette, Marvin D	n81081938	n81081938	0.9473684211	Dunnette, Marvin D			Person		http://example.org/1064866#Agent100-13	
Clayre, Alasdair	n50041914	100	Clayre, Alasdair	n50041914	n50041914	1	Clayre, Alasdair			Person		http://example.org/1058168#Agent100-12	
National Convention on Work and the College Student (1st : 1975 : Southern Illinois University at Carbondale)			National Convention on Work and the College Student (1st : 1975 : Southern Illinois University at Carbondale)				National Convention on Work and the College Student (1st : 1975 : Southern Illinois University at Carbondale)			Meeting		http://example.org/104726#Agent111-12	
Keene, Roland, 1914-			Keene, Roland, 1914-				Keene, Roland, 1914-			Person		http://example.org/104726#Agent700-23	
Adams, Frank C., 1916-	n50036847	100	Adams, Frank C., 1916-	n50036847	n50036847	1	Adams, Frank C., 1916-			Person		http://example.org/104726#Agent700-24	
King, John E., 1913-			King, John E., 1913-				King, John E., 1913-			Person		http://example.org/104726#Agent700-25	
Herzberg, Frederick	n50029516	100	Herzberg, Frederick	n50029516	n50029516	0.95	Herzberg, Frederick			Person		http://example.org/1012422#Agent100-13	
O'Toole, James	n79086409	100	O'Toole, James	n79086409	n79086409	0.9285714286	O'Toole, James			Person		http://example.org/1030159#Agent700-27	
W.E. Upjohn Institute for Employment Research	n80034911	100	W.E. Upjohn Institute for Employment Research		n80034911		W.E. Upjohn Institute for Employment Research	n80034911	1	Organization		http://example.org/1030159#Agent710-28	
Warr, Peter B. (Peter Bryan)	n50019491	100	Warr, Peter B. (Peter Bryan)	n50019491	n50019491	1	Warr, Peter B. (Peter Bryan)			Person		http://example.org/100605#Agent100-12	
Wall, Toby D.	n82159934	100	Wall, Toby D	n82159934	n82159934	0.9230769231	Wall, Toby D			Person		http://example.org/100605#Agent700-23	
Andrews, Edward Deming, 1894-1964	n50022496	100	Andrews, Edward Deming, 1894-1964	n50022496	n50022496	1	Andrews, Edward Deming, 1894-1964			Person		http://example.org/1030347#Agent100-14	
Shakers	n79099490	100	Shakers		n79099490		Shakers	n79099490	1	Organization		http://example.org/1030347#Agent610-22	
Andrews, Faith	n50022497	100	Andrews, Faith	n50022497	n50022497	1	Andrews, Faith			Person		http://example.org/1030347#Agent700-23	
Weber, Jean E.	n79132524	100	Weber, Jean E				Weber, Jean E			Person		http://example.org/1021382#Agent100-10	
Lundgren, Earl F.	n50039302	100	Lundgren, Earl F	n50039302	n50039302	0.9411764706	Lundgren, Earl F			Person		http://example.org/1021382#Agent700-20	
Strother, George B., 1918-	n81068797	100	Strother, George B., 1918-	n81068797	n81068797	1	Strother, George B., 1918- 			Person		http://example.org/1021382#Agent700-21	
University of Wisconsin. Bureau of Business Research and Service	n81138435	98	Wisconsin. University. Bureau of Business Research and Service				Wisconsin. University. Bureau of Business Research and Service			Jurisdiction		http://example.org/1021382#Agent810-22	
Charbonneau, Gerard			Charbonneau, Gerard				Charbonneau, Gerard			Person		http://example.org/100982#Agent100-9	
Séguin, Hubert			Séguin, Hubert				Séguin, Hubert			Person		http://example.org/100982#Agent700-19	
Forte, Allen	n50025191	100	Forte, Allen	n50025191	n50025191	0.9230769231	Forte, Allen			Person		http://example.org/1075914#Agent100-10	
Kuhn, Alfred B.	no93018636	100	Kuhn, Alfred B	no93018636	no93018636	0.9333333333	Kuhn, Alfred B			Person		http://example.org/1075914#Agent700-19	
Forte, Allen	n50025191	100	Forte, Allen	n50025191	n50025191	0.9230769231	Forte, Allen			Person		http://example.org/1075914#Agent700-20	
Canada	n79007233	100	Canada				Canada			Jurisdiction		http://example.org/1076516#Agent710-21	
Canada	n79007233	100	Canada				Canada			Jurisdiction		http://example.org/1076516#Agent710-22	
Canadian Bar Association. Ontario Branch. Committee on seminars			Canadian Bar Association. Ontario Branch. Committee on seminars				Canadian Bar Association. Ontario Branch. Committee on seminars			Organization		http://example.org/1076516#Agent710-23	
Thomas, Michael, 1944-	n50010193	100	Thomas, Michael, 1944-				Thomas, Michael, 1944-			Person		http://example.org/1034342#Agent100-12	
Political and Economic Planning	nr97042961	87	Political and Economic Planning				Political and Economic Planning			Organization		http://example.org/1034342#Agent810-23	
Mintz, Sidney Wilfred, 1922-			Mintz, Sidney Wilfred, 1922-				Mintz, Sidney Wilfred, 1922-			Person		http://example.org/1002040#Agent100-11	
Guest, David	no2011013033	100	Guest, David				Guest, David			Person		http://example.org/1075841#Agent100-12	
Fatchett, D. J			Fatchett, D. J				Fatchett, D. J			Person		http://example.org/1075841#Agent700-21	
Birchall, Ian	nr88006762	92	Birchall, Ian	nr88006762	nr88006762	0.8125	Birchall, Ian			Person		http://example.org/1044549#Agent100-11	
Ōkōchi, Kazuo, 1905-1984	n81061936	95	Ōkōchi, Kazuo, 1905-1984	n81061936	n81061936	1	Ōkōchi, Kazuo, 1905-1984			Person		http://example.org/1022308#Agent100-15	
Karsh, Bernard	n81068836	100	Karsh, Bernard	n81068836	n81068836	1	Karsh, Bernard			Person		http://example.org/1022308#Agent700-24	
Levine, Solomon Bernard	n50000818	100	Levine, Solomon Bernard	n50000818	n50000818	0.9583333333	Levine, Solomon Bernard			Person		http://example.org/1022308#Agent700-25	
Grob, Gerald N., 1931-	n79073647	88	Grob, Gerald N., 1931-	n79073647	n79073647	0.8461538462	Grob, Gerald N., 1931-			Person		http://example.org/109106#Agent100-12	
Wedderburn, Dorothy	no97005937	100	Wedderburn, Dorothy	no97005937	no97005937	1	Wedderburn, Dorothy			Person		http://example.org/1000423#Agent100-13	
Crompton, Rosemary	n50018370	100	Crompton, Rosemary	n50018370	n50018370	1	Crompton, Rosemary			Person		http://example.org/1000423#Agent700-26	
Boulter, Milton			Boulter, Milton				Boulter, Milton			Person		http://example.org/106709#Agent100-10	
Australia	n79021326	100	Australia				Australia			Jurisdiction		http://example.org/106709#Agent710-20	
Kolaja, Jiri Thomas, 1919-	no96044136	82	Kolaja, Jiri Thomas, 1919-				Kolaja, Jiri Thomas, 1919-			Person		http://example.org/109085#Agent100-10	
Kolaja, Jiri Thomas, 1919-	no96044136	82	Kolaja, Jiri Thomas, 1919-				Kolaja, Jiri Thomas, 1919-			Person		http://example.org/1000868#Agent100-11	
International Labour Office	n79086351	100	International Labour Office		n79086351		International Labour Office	n79086351	0.9642857143	Organization		http://example.org/109920#Agent710-20	
Brameld, Theodore, 1904-1987	n50043199	100	Brameld, Theodore, 1904-1987	n50043199	n50043199	1	Brameld, Theodore, 1904-1987			Person		http://example.org/1070950#Agent100-11	
Lambert, Richard D.	n50037269	100	Lambert, Richard D	n50037269	n50037269	0.9473684211	Lambert, Richard D			Person		http://example.org/104196#Agent100-11	
Berneri, Marie Louise, 1918-1949	n91075156	100	Berneri, Marie Louise, 1918-1949	n91075156	n91075156	1	Berneri, Marie Louise, 1918-1949			Person		http://example.org/1001469#Agent100-11	
Panitch, Leo	n86074001	100	Panitch, Leo	n86074001	n86074001	0.9230769231	Panitch, Leo			Person		http://example.org/100269#Agent100-10	
Noland, E. William, 1912-	no2013063470	100	Noland, E. William, 1912-	no2013063470	no2013063470	1	Noland, E. William, 1912-			Person		http://example.org/1013245#Agent100-10	
Bakke, E. Wight (Edward Wight), 1903- 	n50021023	93	Bakke, E. Wight (Edward Wight), 1903- 	n50021023	n50021023	0.9024390244	Bakke, E. Wight (Edward Wight), 1903- 			Person		http://example.org/1013245#Agent700-20	
Ivins, Wilson H.	no2011015957	100	Ivins, Wilson H	no2011015957	no2011015957	0.9375	Ivins, Wilson H			Person		http://example.org/1061975#Agent100-10	
Runge, W. B. (William B.)	n86800393	100	Runge, W. B. (William B.)	n86800393	n86800393	1	Runge, W. B. (William B.)			Person		http://example.org/1061975#Agent700-19	
Kienholz, Edward, 1927-1994	n79148194	100	Kienholz, Edward, 1927-1994	n79148194	n79148194	1	Kienholz, Edward, 1927-1994			Person		http://example.org/1077996#Agent100-11	
Washington Gallery of Modern Art (Washington, D.C.)	n50028349	100	Washington Gallery of Modern Art (Washington, D.C.)		n50028349		Washington Gallery of Modern Art (Washington, D.C.)	n50028349	1	Organization		http://example.org/1077996#Agent710-20	
Huizingh, William	no2010062466	100	Huizingh, William	no2010062466	no2010062466	1	Huizingh, William			Person		http://example.org/1014406#Agent100-11	
Mehta, Dileep R., 1932-	n87864882	95	Mehta, Dileep R., 1932-				Mehta, Dileep R., 1932-			Person		http://example.org/1056435#Agent100-11	
Park, Colin, 1918-	no2015017612	100	Park, Colin, 1918-	no2015017612	no2015017612	1	Park, Colin, 1918-			Person		http://example.org/1018689#Agent100-10	
Gladson, John W.	no2015017613	100	Gladson, John W	no2015017613	no2015017613	0.9375	Gladson, John W			Person		http://example.org/1018689#Agent700-20	
Jackson, Brian, 1932-	n50027777	100	Jackson, Brian, 1932-	n50027777	n50027777	1	Jackson, Brian, 1932-			Person		http://example.org/1026473#Agent100-17	
Berger, Bennett M.	n80107096	100	Berger, Bennett M	n80107096	n80107096	0.9444444444	Berger, Bennett M			Person		http://example.org/1032175#Agent100-11	
Saville, John	nb2010005854	100	Saville, John				Saville, John			Person		http://example.org/1029823#Agent700-27	
International Commission of Agricultural Engineering. Section III			International Commission of Agricultural Engineering. Section III				International Commission of Agricultural Engineering. Section III			Organization		http://example.org/1062445#Agent110-10	
Nederlandse Vereniging Techniek in de Landbouw			Nederlandse Vereniging Techniek in de Landbouw				Nederlandse Vereniging Techniek in de Landbouw			Organization		http://example.org/1062445#Agent710-23	
White, Michael, 1938-	n81121576	100	White, Michael, 1938-	n81121576	n81121576	0.84	White, Michael, 1938-			Person		http://example.org/1001236#Agent100-9	
International Labour Office	n79086351	100	International Labour Office		n79086351		International Labour Office	n79086351	0.9642857143	Organization		http://example.org/1001236#Agent710-22	
International Programme for the Improvement of Working Conditions and Environment	n88044611	100	International Programme for the Improvement of Working Conditions and Environment		n88044611		International Programme for the Improvement of Working Conditions and Environment	n88044611	1	Organization		http://example.org/1001236#Agent710-23	
Rainwater, Lee	n79090118	100	Rainwater, Lee	n79090118	n79090118	0.9333333333	Rainwater, Lee			Person		http://example.org/1031326#Agent100-11	
Gitelman, Howard M.	n87929370	100	Gitelman, Howard M	n87929370	n87929370	0.9473684211	Gitelman, Howard M			Person		http://example.org/1074445#Agent100-13	
Lens, Sidney	n80002267	100	Lens, Sidney	n80002267	n80002267	1	Lens, Sidney			Person		http://example.org/1002147#Agent100-11	
Hoffman, Lois Norma Wladis, 1929-	n50031234	81	Hoffman, Lois Norma Wladis, 1929-				Hoffman, Lois Norma Wladis, 1929-			Person		http://example.org/1075689#Agent100-17	
Nye, F. Ivan (Francis Ivan), 1918-	n50024540	100	Nye, F. Ivan (Francis Ivan), 1918-	n50024540	n50024540	1	Nye, F. Ivan (Francis Ivan), 1918- 			Person		http://example.org/1075689#Agent700-28	
Fillmore, Charles J.	n84167102	100	Fillmore, Charles J	n84167102	n84167102	0.95	Fillmore, Charles J			Person		http://example.org/1061304#Agent100-9	
Lehiste, Ilse	n78096876	100	Lehiste, Ilse	n78096876	n78096876	1	Lehiste, Ilse			Person		http://example.org/1061304#Agent700-23	
Ohio. State University, Columbus. Computer and Information Science Research Center	n87153802		Ohio. State University, Columbus. Computer and Information Science Research Center		n87153802		Ohio. State University, Columbus. Computer and Information Science Research Center	n87153802	0.8536585366	Jurisdiction		http://example.org/1061304#Agent810-24	
Seminar in Administrative Data Processing, London, 1967			Seminar in Administrative Data Processing, London, 1967				Seminar in Administrative Data Processing, London, 1967			Meeting		http://example.org/1012149#Agent111-13	
Walden, B. V. de G			Walden, B. V. de G				Walden, B. V. de G			Person		http://example.org/1012149#Agent700-25	
Veenhuis, A. A. M.	no94014885	100	Veenhuis, A. A. M	no94014885	no94014885	0.9444444444	Veenhuis, A. A. M			Person		http://example.org/1012149#Agent700-26	
IFIP Technical Committee for Education	n80017799	100	IFIP Technical Committee for Education		n78006425		IFIP Technical Committee for Education	n78006425	0.8947368421	Organization		http://example.org/1012149#Agent710-27	
IFIP Administrative Data Processing Group	n79135064	100	IFIP Administrative Data Processing Group		n79135064		IFIP Administrative Data Processing Group	n79135064	1	Organization		http://example.org/1012149#Agent710-28	
Interprovincial Conference on Education and the Development of Human Resources, Montreal, 1966			Interprovincial Conference on Education and the Development of Human Resources, Montreal, 1966				Interprovincial Conference on Education and the Development of Human Resources, Montreal, 1966			Meeting		http://example.org/105996#Agent111-10	
Kriegel, Leonard, 1933-	n79145351	100	Kriegel, Leonard, 1933-	n79145351	n79145351	0.8518518519	Kriegel, Leonard, 1933-			Person		http://example.org/1056124#Agent100-13	
Menge, J. Wilmer (Joseph Wilmer), 1905-	no97052833	93	Menge, J. Wilmer (Joseph Wilmer), 1905-	no97052833	no97052833	0.9069767442	Menge, J. Wilmer (Joseph Wilmer), 1905-			Person		http://example.org/1070288#Agent100-10	
Faunce, Roland C., 1905-1983	no2016159925	100	Faunce, Roland C., 1905-1983	no2016159925	no2016159925	1	Faunce, Roland C., 1905-1983			Person		http://example.org/1070288#Agent700-19	
Buck, Vernon E	n79087104	92	Buck, Vernon E				Buck, Vernon E			Person		http://example.org/1032746#Agent100-11	
Dubin, Robert	n50023843	100	Dubin, Robert	n50023843	n50023843	0.9285714286	Dubin, Robert			Person		http://example.org/1002190#Agent100-11	
Alyeshmerni, Mansoor	no2005068284	100	Alyeshmerni, Mansoor	no2005068284	no2005068284	0.9523809524	Alyeshmerni, Mansoor			Person		http://example.org/1089366#Agent100-14	
Taubr, Paul	no2010060969	100	Taubr, Paul	no2010060969	no2010060969	0.9166666667	Taubr, Paul			Person		http://example.org/1089366#Agent700-25	
Bolinger, Dwight Le Merton, 1907-			Bolinger, Dwight Le Merton, 1907-				Bolinger, Dwight Le Merton, 1907-			Person		http://example.org/1089366#Agent700-26	
Lifton, Walter M., 1918-	no2008062734	100	Lifton, Walter M., 1918-	no2008062734	no2008062734	1	Lifton, Walter M., 1918-			Person		http://example.org/1064042#Agent100-13	
Klein, Josephine, 1926-	n86058711	100	Klein, Josephine, 1926-	n86058711	n86058711	0.8518518519	Klein, Josephine, 1926-			Person		http://example.org/1022770#Agent100-11	
Esbensen, Thorwald	n79074330	100	Esbensen, Thorwald	n79074330	n79074330	1	Esbensen, Thorwald			Person		http://example.org/1059912#Agent100-13	
American Home Economics Association	n79021166	100	American Home Economics Association		n79021166		American Home Economics Association	n79021166	0.9722222222	Organization		http://example.org/1033331#Agent710-21	
University of Chicago. Center for Continuing Education	n50045851	100	University of Chicago. Center for Continuing Education		n50045851		University of Chicago. Center for Continuing Education	n50045851	1	Organization		http://example.org/1033331#Agent710-22	
National School Public Relations Association	n79107713	100	National School Public Relations Association		n79107713		National School Public Relations Association	n79107713	1	Organization		http://example.org/1068383#Agent110-13	
Uris, Auren	n79046054	100	Uris, Auren	n79046054	n79046054	0.9166666667	Uris, Auren			Person		http://example.org/1012168#Agent100-10	
Shapin, Betty	n79103909	100	Shapin, Betty	n79103909	n79103909	1	Shapin, Betty			Person		http://example.org/1012168#Agent700-19	
King, Clarence	nr90022907	100	King, Clarence				King, Clarence			Person		http://example.org/1033991#Agent100-10	
North Central Association of Colleges and Secondary Schools. Project on Guidance and Motivation of Superior and Talented Students			North Central Association of Colleges and Secondary Schools. Project on Guidance and Motivation of Superior and Talented Students				North Central Association of Colleges and Secondary Schools. Project on Guidance and Motivation of Superior and Talented Students			Organization		http://example.org/1072276#Agent110-10	
Shertzer, Bruce	n79043658	100	Shertzer, Bruce	n79043658	n79043658	0.9375	Shertzer, Bruce			Person		http://example.org/1072276#Agent700-19	
Welfare Council of New York City. Central Harlem Street Clubs Project			Welfare Council of New York City. Central Harlem Street Clubs Project				Welfare Council of New York City. Central Harlem Street Clubs Project			Organization		http://example.org/1031054#Agent110-9	
